ID,Zone,Total_Import_MWh,Peak_Import_MW
1,1,1558.1968388550092,0.3781
2,1,6823.262067627923,1.1536
3,1,6732.896148906315,1.1481
4,1,3125.5479965083923,0.5306
5,1,3519.3020898280392,0.5974
6,1,2188.420264947404,0.5251
7,1,2892.4068109940426,0.489
8,1,5728.577205476598,0.9666
9,1,5539.937011821013,0.9318
10,1,3141.9807938785293,0.5411
11,1,5198.8986047004755,0.9003
12,1,2288.2665586808334,0.3873
13,1,527.8518881827302,0.3644
14,1,1156.5293092396557,0.2802
15,1,364.7895210238647,0.2386
16,1,3909.2363445123965,0.6692
17,1,466.49095534050554,0.3047
18,1,1038.3259821712197,0.1769
19,1,1617.5245473597233,0.2768
20,1,0.0,0.0
21,1,0.0,0.0
22,1,0.0,0.0
23,1,606.4011357222727,0.1559
24,1,0.0,0.0
25,1,0.0,0.0
26,1,0.0,0.0
27,1,1004.2929979976915,0.171
28,1,0.0,0.0
29,1,0.0,0.0
30,1,0.0,0.0
31,1,0.0,0.0
32,1,0.0,0.0
33,1,0.0,0.0
34,1,0.0,0.0
35,1,0.0,0.0
36,1,0.0,0.0
37,1,0.0,0.0
38,1,1278.9807393325882,0.2163
39,1,377.740565086314,0.097
40,1,0.0,0.0
41,1,0.0,0.0
42,1,403.90778412349874,0.1059
43,1,0.0,0.0
44,1,0.0,0.0
45,1,0.0,0.0
46,1,0.0,0.0
47,1,620.803888727164,0.1542
48,1,0.0,0.0
49,1,1563.4868136921953,0.2726
50,1,1885.0610089423851,0.3201
51,1,0.0,0.0
52,1,1247.6014002177728,0.2184
53,1,0.0,0.0
54,1,0.0,0.0
55,1,1665.9546644884963,0.2815
56,1,0.0,0.0
57,1,1419.4983737409436,0.2361
58,1,1956.2533190562617,0.3378
59,1,0.0,0.0
60,1,3395.0290339972457,0.5764
61,1,0.0,0.0
62,1,2272.2787413191677,0.3907
63,1,623.282607574075,0.1542
64,1,0.0,0.0
65,1,0.0,0.0
66,1,3597.31725630873,0.61
67,1,2914.9730851332724,0.4924
68,1,1453.3589629186781,0.2483
69,1,2826.8984289225086,0.4697
70,1,0.0,0.0
71,1,1188.5552128437378,0.2025
72,1,678.7974566986617,0.1756
73,1,811.9342440254662,0.1344
74,1,5628.674023356356,0.97
75,1,895.1247311139286,0.2084
76,1,0.0,0.0
77,1,2496.2327532617855,0.4293
78,1,0.0,0.0
79,1,525.6396069172134,0.0903
80,1,864.4883105145608,0.147
81,1,1369.68172751223,0.2281
82,1,3964.38102788568,0.9103
83,1,2046.2439903088414,0.4999
84,1,2801.1656045692625,0.6587
85,1,414.86205043340607,0.1008
86,1,2689.6325876407104,0.6381
87,1,2347.628092797346,0.5835
88,1,1111.4076067633896,0.2697
89,1,5565.417265024929,1.2855
90,1,1722.3556383130767,0.4121
91,1,1628.9743862154864,0.3903
92,1,1381.2307323076814,0.3289
93,1,6456.876942836768,1.4703
94,1,872.2648139662406,0.2159
95,1,434.3601892210766,0.0723
96,1,0.0,0.0
97,1,834.2746457363263,0.1378
98,1,0.0,0.0
99,1,250.62324558641762,0.076
100,1,1830.8785883192284,0.3067
101,1,0.0,0.0
102,1,1169.6957523216377,0.2
103,1,1439.4193065023396,0.2432
104,1,1678.6479212804918,0.2857
105,1,0.0,0.0
106,1,0.0,0.0
107,1,0.0,0.0
108,1,635.7096942030979,0.1554
109,1,574.1104648349307,0.1806
110,1,0.0,0.0
111,1,650.223139116426,0.2172
112,1,1418.205265821752,0.2407
113,1,2037.5133628606925,0.3457
114,1,554.6092153250697,0.1731
115,1,536.3336964025859,0.1743
116,1,1048.7218838213726,0.1785
117,1,1568.4245830059913,0.2621
118,1,608.138251782779,0.1865
119,1,500.55607937336583,0.1571
120,1,1090.591293987779,0.189
121,1,1569.9634968972657,0.2609
122,1,1170.2343277432874,0.1953
123,1,1061.1879512079975,0.1827
124,1,1138.6604912438227,0.1911
125,1,1549.5083644868312,0.2663
126,1,1214.1516523566006,0.2042
127,1,2034.3194681382147,0.3525
128,1,906.2663052347903,0.3046
129,1,830.7334456907815,0.2651
130,1,1243.4304936307399,0.2126
131,1,1466.522588025382,0.2462
132,1,1200.8711314600678,0.2008
133,1,0.0,0.0
134,1,817.0058709141053,0.2613
135,1,1206.0651378154207,0.3878
136,1,595.193177685988,0.189
137,1,340.62926897413007,0.0836
138,1,0.0,0.0
139,1,0.0,0.0
140,1,0.0,0.0
141,1,0.0,0.0
142,1,0.0,0.0
143,1,0.0,0.0
144,1,0.0,0.0
145,1,0.0,0.0
146,1,0.0,0.0
147,1,0.0,0.0
148,1,0.0,0.0
149,1,0.0,0.0
150,1,0.0,0.0
151,1,0.0,0.0
152,1,840.0307362537515,0.2042
153,1,330.7390174106627,0.0853
154,1,0.0,0.0
155,1,0.0,0.0
156,1,0.0,0.0
157,1,0.0,0.0
158,1,0.0,0.0
159,1,0.0,0.0
160,1,0.0,0.0
161,1,0.0,0.0
162,1,0.0,0.0
163,1,0.0,0.0
164,1,0.0,0.0
165,1,0.0,0.0
166,1,0.0,0.0
167,1,0.0,0.0
168,1,0.0,0.0
169,1,2801.006542924721,0.4726
170,1,2042.455189813162,0.3487
171,1,1792.3622950071017,0.3075
172,1,0.0,0.0
173,1,1468.0744428250364,0.2491
174,1,979.6633618159796,0.247
175,1,1243.832646717641,0.2054
176,1,764.5173976841842,0.1323
177,1,2496.9472895390977,0.4348
178,1,980.5889210165874,0.1655
179,1,0.0,0.0
180,1,0.0,0.0
181,1,0.0,0.0
182,1,1756.3112989192657,0.3016
183,1,0.0,0.0
184,1,0.0,0.0
185,1,1574.2886240877137,0.2655
186,1,0.0,0.0
187,1,0.0,0.0
188,1,6197.43583605733,1.4619
189,1,5858.875850192886,1.3477
190,1,20028.436780780215,4.2934
191,1,3405.5743917208583,0.8028
