ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,2.6300496337499625e-10,122.131,-122.130999999737,2.1192815801242234e-10,1.2311461829214507e-11,1.8048623035212026e-12,0,0,1,0
2,pltd_kefamenanu,1,diesel,,1.3504752871540404e-11,4.2,-4.199999999986495,1.0882066116743946e-11,3.068663669375941e-11,4.498665922757487e-12,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,32.999999999992404,33.0,-7.595701845275471e-12,26.591244228485188,140.37740919938858,20.579350985658852,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,2.602362769721367e-11,16.8,-16.799999999973977,2.096971635781635e-11,1.460209771747208e-10,2.1406698967347434e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,1.3504752871540404e-11,4.2,-4.199999999986495,1.0882066116743946e-11,3.0686636691615064e-11,4.498665922443126e-12,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,2.5906388145813253e-11,8.4,-8.399999999974094,2.0875245280709465e-11,1.4496587978116902e-10,2.12520215181069e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,1.3504752871540404e-11,4.2,-4.199999999986495,1.0882066116743946e-11,3.068663669202024e-11,4.498665922502525e-12,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.984891236914559e-12,2.1,-2.099999999998015,1.599415989326886e-12,1.1946223344209239e-11,1.751318282305384e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,1.3504752871540404e-11,4.2,-4.199999999986495,1.0882066116743946e-11,3.068663673774036e-11,4.498665929205102e-12,0,0,0,1
10,pltmg_maumere,1,gas,,2.602362769721367e-11,16.8,-16.799999999973977,2.096971635781635e-11,1.460209770787904e-10,2.140669895328402e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,2.601741044827577e-11,4.2,-4.199999999973983,2.0964706527969772e-11,1.4646172845470195e-10,2.147131317656985e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,0.5303309419976536,0.9954,-0.4650690580023463,0.42733816971471117,0.749848280915582,0.10992787975618154,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.984891236914558e-12,2.1,-2.099999999998015,1.5994159893268853e-12,1.1946223344209232e-11,1.751318282305383e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.73339675946238e-11,0.42,-0.419999999982666,1.3967629265375621e-11,1.3672097471055352e-10,2.004331709579752e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,2.8380470843971316e-12,0.672,-0.671999999997162,2.2868849440352067e-12,8.394491403417635e-12,1.230633802990716e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,2.601741044827577e-11,4.2,-4.199999999973983,2.0964706527969772e-11,1.4646172712814938e-10,2.147131298209703e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,0.36168668263548004,0.42,-0.058313317364519945,0.2914454215803902,0.508844672044299,0.07459671155711647,0,1,0,1
18,plts_adonara,1,solar,PLN,0.5893922818385441,1.68,-1.090607718161456,0.474929518568379,0.8326981840643681,0.12207368901246277,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,0.40681433413445856,0.504,-0.09718566586554145,0.3278090701400138,0.573515029016527,0.08407739639159002,0,1,0,1
20,plts_betun,1,solar,IPP,0.23952928543345758,0.252,-0.012470714566542418,0.1930115675405175,0.33380439167614573,0.048935778028931336,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,2.601741044827577e-11,4.2,-4.199999999973983,2.0964706527969772e-11,1.4646172658630182e-10,2.147131290266209e-11,0,0,0,1
22,plts_flores,1,solar,PLN,1.0157050022402785,12.6,-11.584294997759722,0.8184502963233805,1.4361280568786328,0.2105366063629158,0,1,0,1
23,plts_lembata,1,solar,PLN,0.5578934905473846,1.26,-0.7021065094526154,0.44954794123124275,0.7886882434180409,0.11562182456657923,0,1,0,1
24,pltb_maubesi,1,wind,PLN,3.0135790316799924e-11,0.84,-0.8399999999698642,2.4283277585837283e-11,8.914514196671839e-12,1.3068692289325104e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,0.600516513610622,1.8312,-1.230683486389378,0.4838933720200659,0.8482221769196794,0.12434950888611877,0,1,0,1
