ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,2.192492922622005e-10,0.2773,-0.2772999997807507,1.2292944131211412e-11
2,plts_bel1,1,1,solar,0.9327994369193465,0.0,0.9327994369193465,1.463682692371048
3,batt_bel1,1,1,battery,0.14009403354001443,0.0,0.14009403354001443,0.2513950826863157
4,pltd_bel2,1,2,diesel,2.192492923153846e-10,0.846,-0.8459999997807507,1.2292944131190075e-11
5,plts_bel2,1,2,solar,8.758455444113443e-10,0.0,8.758455444113443e-10,1.025178076498639e-9
6,batt_bel2,1,2,battery,0.13216923897885,0.0,0.13216923897885,0.2368582561338169
7,pltd_bel3,1,3,diesel,2.1924929231517522e-10,0.842,-0.8419999997807507,1.2292944131193395e-11
8,plts_bel3,1,3,solar,8.757530198927571e-10,0.0,8.757530198927571e-10,1.0250692143788754e-9
9,batt_bel3,1,3,battery,0.13217504062014082,0.0,0.13217504062014082,0.23686535363165534
10,pltd_bel4,1,4,diesel,2.192492922804752e-10,0.3891,-0.3890999997807507,1.2292944131568733e-11
11,plts_bel4,1,4,solar,8.754091994087984e-10,0.0,8.754091994087984e-10,1.024664708491688e-9
12,batt_bel4,1,4,battery,0.13304526860853774,0.0,0.13304526860853774,0.23851011451436946
13,pltd_bel5,1,5,diesel,2.192492922867653e-10,0.4381,-0.4380999997807507,1.2292944131501067e-11
14,plts_bel5,1,5,solar,8.755329237311764e-10,0.0,8.755329237311764e-10,1.0248102995886003e-9
15,batt_bel5,1,5,battery,0.13302290692691393,0.0,0.13302290692691393,0.2384705794350051
16,pltd_bel6,1,6,diesel,2.1924929228002346e-10,0.3851,-0.3850999997807507,1.229294413115793e-11
17,plts_bel6,1,6,solar,1.1976265601479912,0.0,1.1976265601479912,1.8891878900350088
18,batt_bel6,1,6,battery,0.13784414600629283,0.0,0.13784414600629283,0.24722111441219882
19,pltd_bel7,1,7,diesel,2.1924929227605971e-10,0.3586,-0.3585999997807507,1.2292944131615457e-11
20,plts_bel7,1,7,solar,8.754402490630191e-10,0.0,8.754402490630191e-10,1.0247012562567581e-9
21,batt_bel7,1,7,battery,0.13302153607473435,0.0,0.13302153607473435,0.2384822051411327
22,pltd_bel8,1,8,diesel,2.1924929230784103e-10,0.7089,-0.7088999997807507,1.2292944131286215e-11
23,plts_bel8,1,8,solar,1.2264981227683768e-9,0.0,1.2264981227683768e-9,1.4645831082895476e-9
24,batt_bel8,1,8,battery,0.13231780848077435,0.0,0.13231780848077435,0.23714198245032164
25,pltd_bel9,1,9,diesel,2.1924929230623268e-10,0.6833,-0.6832999997807507,1.229294413130193e-11
26,plts_bel9,1,9,solar,1.2210189942666127e-9,0.0,1.2210189942666127e-9,1.45426273587127e-9
27,batt_bel9,1,9,battery,0.1323742641094056,0.0,0.1323742641094056,0.23724518064385505
28,pltd_bel10,1,10,diesel,2.1924929228156853e-10,0.3968,-0.3967999997807507,1.2292944131549154e-11
29,plts_bel10,1,10,solar,8.754029478204339e-10,0.0,8.754029478204339e-10,1.0246573929393297e-9
30,batt_bel10,1,10,battery,0.13301959878129185,0.0,0.13301959878129185,0.23847804169839495
31,pltd_bel11,1,11,diesel,2.1924929230473507e-10,0.6602,-0.6601999997807507,1.2292944131321262e-11
32,plts_bel11,1,11,solar,8.756653581330643e-10,0.0,8.756653581330643e-10,1.0249661178695437e-9
33,batt_bel11,1,11,battery,0.1325286967201025,0.0,0.1325286967201025,0.237535193305597
34,pltd_bel12,1,12,diesel,2.1924929226376905e-10,0.284,-0.2839999997807507,1.2292944131804781e-11
35,plts_bel12,1,12,solar,8.753765417962436e-10,0.0,8.753765417962436e-10,1.0246263130177552e-9
36,batt_bel12,1,12,battery,0.13261432003199797,0.0,0.13261432003199797,0.23776394959117317
37,pltd_bel13,1,13,diesel,2.1917085944168812e-10,0.2672,-0.26719999978082914,1.0265809789809017e-11
38,plts_bel13,1,13,solar,2.04145227940379,0.0,2.04145227940379,3.203478438855555
39,batt_bel13,1,13,battery,1.9182933788721024,0.0,1.9182933788721024,3.2702786773010657
40,pltd_bel14,1,14,diesel,2.1924929224848068e-10,0.2055,-0.2054999997807507,1.2292944131299053e-11
41,plts_bel14,1,14,solar,0.7449571929932611,0.0,0.7449571929932611,1.1629816264045583
42,batt_bel14,1,14,battery,0.14173898362664963,0.0,0.14173898362664963,0.25452142887079116
43,pltd_bel15,1,15,diesel,2.1917085939817025e-10,0.1749,-0.17489999978082915,1.0265809082335716e-11
44,plts_bel15,1,15,solar,1.3413212130444654,0.0,1.3413212130444654,2.10420553101454
45,batt_bel15,1,15,battery,1.2557685163618222,0.0,1.2557685163618222,2.1477194168368325
46,pltd_bel16,1,16,diesel,2.1924929229169136e-10,0.4908,-0.49079999978075073,1.2292944131455446e-11
47,plts_bel16,1,16,solar,8.756653214260333e-10,0.0,8.756653214260333e-10,1.024966009719863e-9
48,batt_bel16,1,16,battery,0.13293992988438783,0.0,0.13293992988438783,0.23829802608606945
49,pltd_bel17,1,17,diesel,2.1917309968594334e-10,0.2234,-0.2233999997808269,1.0323424881552175e-11
50,plts_bel17,1,17,solar,1.7089063876400705,0.0,1.7089063876400705,2.6323398544099645
51,batt_bel17,1,17,battery,1.6033117118655686,0.0,1.6033117118655686,2.664433308640416
52,pltd_bel18,1,18,diesel,2.1924929224569805e-10,0.1297,-0.12969999978075072,1.2292944133209345e-11
53,plts_bel18,1,18,solar,1.226359331643859e-9,0.0,1.226359331643859e-9,1.4644164554800533e-9
54,batt_bel18,1,18,battery,0.12037343341134554,0.0,0.12037343341134554,0.21551307540984907
55,pltd_bel19,1,19,diesel,2.1924929224897244e-10,0.203,-0.20299999978075073,1.2292944132235844e-11
56,plts_bel19,1,19,solar,8.752988186715134e-10,0.0,8.752988186715134e-10,1.0245348769292148e-9
57,batt_bel19,1,19,battery,0.13064104406395005,0.0,0.13064104406395005,0.23418084081509954
58,pltd_bel20,1,20,diesel,0.005584125239633076,0.0444,-0.03881587476036692,0.008715865001066268
59,plts_bel20,1,20,solar,0.13859212056906645,0.0,0.13859212056906645,0.19767136513980949
60,batt_bel20,1,20,battery,0.06602202462218973,0.0,0.06602202462218973,0.15254387009795528
61,pltd_bel21,1,21,diesel,0.020940197120308948,0.1664,-0.14545980287969104,0.03268365368523044
62,plts_bel21,1,21,solar,0.5197207192089585,0.0,0.5197207192089585,0.7428622503674711
63,batt_bel21,1,21,battery,0.24758250610836588,0.0,0.24758250610836588,0.5808312047527043
64,pltd_bel22,1,22,diesel,0.014890861815452218,0.1183,-0.10340913818454778,0.023242321410390374
65,plts_bel22,1,22,solar,0.36957870158683914,0.0,0.36957870158683914,0.5280958701094981
66,batt_bel22,1,22,battery,0.17605793674458503,0.0,0.17605793674458503,0.4121481652294423
67,pltd_bel23,1,23,diesel,2.192492922473339e-10,0.1143,-0.11429999978075071,1.2292944130937962e-11
68,plts_bel23,1,23,solar,0.4789981539536937,0.0,0.4789981539536937,0.7404007409653693
69,batt_bel23,1,23,battery,0.1417813590783756,0.0,0.1417813590783756,0.2548576702516671
70,pltd_bel24,1,24,diesel,0.00845358397523818,0.0672,-0.05874641602476181,0.013194693511001342
71,plts_bel24,1,24,solar,0.209813032095982,0.0,0.209813032095982,0.2995417550058265
72,batt_bel24,1,24,battery,0.09994995557979892,0.0,0.09994995557979892,0.232530028420916
73,pltd_bel25,1,25,diesel,0.006165733531538473,0.049,-0.04283426646846153,0.009623682252802877
74,plts_bel25,1,25,solar,0.15302849297336155,0.0,0.15302849297336155,0.21831507369237976
75,batt_bel25,1,25,battery,0.07289939082323461,0.0,0.07289939082323461,0.16872610507039448
76,pltd_bel26,1,26,diesel,0.017256381472526325,0.1371,-0.11984361852747367,0.02693398184486854
77,plts_bel26,1,26,solar,0.4282881151664231,0.0,0.4282881151664231,0.6120747499599796
78,batt_bel26,1,26,battery,0.20402609790422815,0.0,0.20402609790422815,0.4781050680952622
79,pltd_bel27,1,27,diesel,2.1924929224657228e-10,0.1254,-0.12539999978075073,1.2292944133314443e-11
80,plts_bel27,1,27,solar,1.2208790257463805e-9,0.0,1.2208790257463805e-9,1.4540951193103873e-9
81,batt_bel27,1,27,battery,0.119087861396808,0.0,0.119087861396808,0.2131867291049078
