ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,1.1617438399307303e-7,122.131,-122.13099988382561,9.361277023801019e-8,4.272855678507206e-9,6.264013363729204e-10,0,0,1,0
2,pltd_kefamenanu,1,diesel,,5.680869996638194e-9,4.2,-4.19999999431913,4.577618227603479e-9,9.064505647795642e-9,1.328858000025591e-9,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,32.99999998683635,33.0,-1.316364972581141e-8,26.591244217884103,155.91329562088305,22.85691445804882,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,8.550891550385131e-9,16.8,-16.79999999144911,6.8902680481101126e-9,3.936999312401205e-8,5.7716473855933555e-9,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,5.680869996638194e-9,4.2,-4.19999999431913,4.577618227603479e-9,9.064505648702427e-9,1.3288580001585257e-9,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,8.545232077494802e-9,8.4,-8.399999991454768,6.8857076715697725e-9,3.934969582417935e-8,5.768671798141638e-9,0,0,0,1
7,pltd_ruteng,1,diesel,,5.680869996638194e-9,4.2,-4.19999999431913,4.577618227603479e-9,9.064505647824079e-9,1.32885800002976e-9,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,8.497259839882322e-10,2.1,-2.099999999150274,6.847051868947326e-10,5.000569935851054e-9,7.330843646789618e-10,0,0,0,1
9,pltd_bajawa,1,diesel,,5.680869996638194e-9,4.2,-4.19999999431913,4.577618227603479e-9,9.064505647958124e-9,1.3288580000494107e-9,0,0,0,1
10,pltmg_maumere,1,gas,,8.550891550385131e-9,16.8,-16.79999999144911,6.8902680481101126e-9,3.9369993143651364e-8,5.771647388472482e-9,0,0,0,1
11,pltmg_alor,1,gas,PLN,8.533839412905309e-9,4.2,-4.199999991466161,6.876527516220908e-9,3.9294254308172095e-8,5.7605440628913754e-9,0,0,0,1
