ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,7.385198109735837e-8,0.2773,-0.2772999261480189,4.271725607315776e-9
2,plts_bel1,1,1,solar,0.805522520706939,0.0,0.805522520706939,1.2382865587243175
3,batt_bel1,1,1,battery,0.09231134093683159,0.0,0.09231134093683159,0.22675489109186003
4,pltd_bel2,1,2,diesel,9.431296184665665e-8,0.846,-0.8459999056870381,4.268846219799408e-9
5,plts_bel2,1,2,solar,3.7321247436163195e-7,0.0,3.7321247436163195e-7,4.274924281372962e-7
6,batt_bel2,1,2,battery,0.00010408592136004463,0.0,0.00010408592136004463,0.00024217384695522556
7,pltd_bel3,1,3,diesel,9.426968240563895e-8,0.842,-0.8419999057303176,4.268844735728516e-9
8,plts_bel3,1,3,solar,3.7297886902451496e-7,0.0,3.7297886902451496e-7,4.266458086976933e-7
9,batt_bel3,1,3,battery,0.00010385116668150678,0.0,0.00010385116668150678,0.00024157072548624026
10,pltd_bel4,1,4,diesel,8.037890414574486e-8,0.3891,-0.38909991962109586,4.2704856601445865e-9
11,plts_bel4,1,4,solar,3.7512573014213024e-7,0.0,3.7512573014213024e-7,4.2858194544687886e-7
12,batt_bel4,1,4,battery,0.00010352494609345097,0.0,0.00010352494609345097,0.00024062729548007125
13,pltd_bel5,1,5,diesel,8.287143253317033e-8,0.4381,-0.43809991712856744,4.270226948723748e-9
14,plts_bel5,1,5,solar,3.7240021932658126e-7,0.0,3.7240021932658126e-7,4.265907458941923e-7
15,batt_bel5,1,5,battery,0.00010392356303057254,0.0,0.00010392356303057254,0.00024160454513834655
16,pltd_bel6,1,6,diesel,8.022686250091477e-8,0.3851,-0.3850999197731375,4.270393256490556e-9
17,plts_bel6,1,6,solar,1.1163800699988435,0.0,1.1163800699988435,1.7300592575809421
18,batt_bel6,1,6,battery,0.127561811461685,0.0,0.127561811461685,0.313414607649473
19,pltd_bel7,1,7,diesel,7.870873187281855e-8,0.3586,-0.3585999212912681,4.270727270340075e-9
20,plts_bel7,1,7,solar,3.710531522457893e-7,0.0,3.710531522457893e-7,4.245058178395556e-7
21,batt_bel7,1,7,battery,0.00010354351224961056,0.0,0.00010354351224961056,0.00024064055434308576
22,pltd_bel8,1,8,diesel,9.222133075281596e-8,0.7089,-0.7088999077786692,4.26898805247101e-9
23,plts_bel8,1,8,solar,5.465044579035892e-7,0.0,5.465044579035892e-7,6.406224835353294e-7
24,batt_bel8,1,8,battery,0.00010524565892517641,0.0,0.00010524565892517641,0.0002451689596378191
25,pltd_bel9,1,9,diesel,9.167882061325396e-8,0.6833,-0.6832999083211794,4.2690340409947015e-9
26,plts_bel9,1,9,solar,5.811390046478291e-7,0.0,5.811390046478291e-7,6.802744962845792e-7
27,batt_bel9,1,9,battery,0.00010563816236662857,0.0,0.00010563816236662857,0.000246340306730135
28,pltd_bel10,1,10,diesel,8.076287283763519e-8,0.3968,-0.39679991923712715,4.2704555741273075e-9
29,plts_bel10,1,10,solar,3.9480212346916534e-7,0.0,3.9480212346916534e-7,4.5364576317693504e-7
30,batt_bel10,1,10,battery,0.00010490491593568179,0.0,0.00010490491593568179,0.0002443517544923036
31,pltd_bel11,1,11,diesel,9.114391499281513e-8,0.6602,-0.660199908856085,4.269083752284567e-9
32,plts_bel11,1,11,solar,3.79944239246928e-7,0.0,3.79944239246928e-7,4.3595843821608646e-7
33,batt_bel11,1,11,battery,0.00010450937831855949,0.0,0.00010450937831855949,0.00024321578725833314
34,pltd_bel12,1,12,diesel,7.43104136642077e-8,0.284,-0.2839999256895863,4.271745221972278e-9
35,plts_bel12,1,12,solar,3.7821767539794073e-7,0.0,3.7821767539794073e-7,4.332225701377689e-7
36,batt_bel12,1,12,battery,0.00010370682135317349,0.0,0.00010370682135317349,0.0002411885468189705
37,pltd_bel13,1,13,diesel,7.29091746982769e-8,0.2672,-0.2671999270908253,3.742959697725902e-9
38,plts_bel13,1,13,solar,2.976275924809126,0.0,2.976275924809126,4.6533481067246
39,batt_bel13,1,13,battery,2.020564566173804,0.0,2.020564566173804,4.61604399904291
40,pltd_bel14,1,14,diesel,6.619566326639368e-8,0.2055,-0.20549993380433673,4.2735905285057714e-9
41,plts_bel14,1,14,solar,0.5997804784118634,0.0,0.5997804784118634,0.9144554873190186
42,batt_bel14,1,14,battery,0.06922445074493863,0.0,0.06922445074493863,0.17000004597847024
43,pltd_bel15,1,15,diesel,6.187974863896948e-8,0.1749,-0.17489993812025137,3.745206569780127e-9
44,plts_bel15,1,15,solar,1.948691617541244,0.0,1.948691617541244,3.043575401915397
45,batt_bel15,1,15,battery,1.3229727212331908,0.0,1.3229727212331908,3.0247288918186044
46,pltd_bel16,1,16,diesel,8.52968435344855e-8,0.4908,-0.4907999147031565,4.269921200157663e-9
47,plts_bel16,1,16,solar,3.8233935269460736e-7,0.0,3.8233935269460736e-7,4.369174194010787e-7
48,batt_bel16,1,16,battery,0.00010386463749852083,0.0,0.00010386463749852083,0.00024156798813760216
49,pltd_bel17,1,17,diesel,6.832741063531425e-8,0.2234,-0.22339993167258934,3.76031241170015e-9
50,plts_bel17,1,17,solar,2.535832044198598,0.0,2.535832044198598,3.8934852883150586
51,batt_bel17,1,17,battery,1.7072613038710325,0.0,1.7072613038710325,3.8940944095004695
52,pltd_bel18,1,18,diesel,5.45572767737876e-8,0.1297,-0.12969994544272323,4.2776541566121444e-9
53,plts_bel18,1,18,solar,5.222741823049628e-7,0.0,5.222741823049628e-7,6.110747289025014e-7
54,batt_bel18,1,18,battery,0.00010031983539688975,0.0,0.00010031983539688975,0.00023304571180077078
55,pltd_bel19,1,19,diesel,6.576301650297036e-8,0.203,-0.2029999342369835,4.27385009994542e-9
56,plts_bel19,1,19,solar,3.991563647901694e-7,0.0,3.991563647901694e-7,4.583495062256584e-7
57,batt_bel19,1,19,battery,0.00010346565462271049,0.0,0.00010346565462271049,0.000240986552800617
58,pltd_bel20,1,20,diesel,0.0052713628605874745,0.0444,-0.03912863713941253,0.00729483889393581
