Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,3.598487198356756e-11,2.989649900298744e-7,4.382831608973435e-11
1,2,2000.0,3.597095049480948e-11,2.9948922147381866e-7,4.3905168504550785e-11
1,3,2000.0,3.597086399310837e-11,2.994877867677288e-7,4.390495817640502e-11
1,4,2000.0,3.596015351233613e-11,2.9930736603686825e-7,4.387850846796087e-11
1,5,2000.0,3.5961768448090547e-11,2.9934880306210106e-7,4.3884583142589294e-11
1,6,2000.0,3.599482581393177e-11,2.9927971718609806e-7,4.387445514194784e-11
1,7,2000.0,3.5959026636912506e-11,2.992772204725665e-7,4.3874089123338653e-11
1,8,2000.0,3.596842258159378e-11,2.994623086821879e-7,4.3901223084927125e-11
1,9,2000.0,3.5967977084096676e-11,2.994561920450398e-7,4.390032638492789e-11
1,10,2000.0,3.596046989663312e-11,2.993197642676153e-7,4.388032605060183e-11
1,11,2000.0,3.5967393311490564e-11,2.994475572081553e-7,4.3899060516438336e-11
1,12,2000.0,3.5955295804894456e-11,2.9911527558684894e-7,4.3850347976792914e-11
1,13,2000.0,3.580621972260369e-11,2.9680656294453824e-7,4.3511890328499554e-11
1,14,2000.0,3.5976768609475926e-11,2.9793251036227257e-7,4.367695440279116e-11
1,15,2000.0,3.579560949698611e-11,2.966711017449682e-7,4.3492031694643944e-11
1,16,2000.0,3.596321840129004e-11,2.993779725013275e-7,4.3888859387116957e-11
1,17,2000.0,3.581546235348798e-11,2.9683551506107567e-7,4.3516134713485703e-11
1,18,2000.0,3.59338319490011e-11,2.9375896703340366e-7,4.306511227300335e-11
1,19,2000.0,3.594843413583882e-11,2.9822343739803874e-7,4.3719604353480483e-11
1,20,2000.0,3.8449206616631766e-11,2.6174900595258984e-7,3.837244678019828e-11
1,21,2000.0,3.851468438688345e-11,3.0035224515786423e-7,4.4031687916785295e-11
1,22,2000.0,3.850483725144368e-11,2.9569481115198996e-7,4.334890733516556e-11
1,23,2000.0,3.5961195710656955e-11,2.916634260021211e-7,4.2757905617505386e-11
1,24,2000.0,3.8482802857831384e-11,2.8050885568289775e-7,4.11226437972259e-11
1,25,2000.0,3.845872660403466e-11,2.6673488308208997e-7,3.9103377177080115e-11
1,26,2000.0,3.850925633465511e-11,2.977830824607603e-7,4.365504824816265e-11
1,27,2000.0,3.593254498339534e-11,2.9326995837935343e-7,4.299342352490549e-11
1,28,2000.0,3.849785308429418e-11,2.900295303774728e-7,4.2518376253590355e-11
1,29,2000.0,3.8655585209396813e-11,2.7969443863195073e-7,4.1003250125297263e-11
1,30,2000.0,3.8461912274006286e-11,2.68277056146711e-7,3.932945999879958e-11
1,31,2000.0,3.850082167371419e-11,2.9254327844728854e-7,4.2886892128853326e-11
