ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,0.5574643499870563,0.0,0.5574643499870563
6,1,2,batt_bel2,0.00057478261016975,0.0,0.00057478261016975
9,1,3,batt_bel3,0.0005735136681659739,0.0,0.0005735136681659739
12,1,4,batt_bel4,0.000571762949874386,0.0,0.000571762949874386
15,1,5,batt_bel5,0.0005739125078779057,0.0,0.0005739125078779057
18,1,6,batt_bel6,0.7705770709578662,0.0,0.7705770709578662
21,1,7,batt_bel7,0.0005718255605517087,0.0,0.0005718255605517087
24,1,8,batt_bel8,0.0005812046661822197,0.0,0.0005812046661822197
27,1,9,batt_bel9,0.0005833810579216709,0.0,0.0005833810579216709
30,1,10,batt_bel10,0.0005793161305863506,0.0,0.0005793161305863506
33,1,11,batt_bel11,0.0005771178008247079,0.0,0.0005771178008247079
36,1,12,batt_bel12,0.0005727009793580358,0.0,0.0005727009793580358
39,1,13,batt_bel13,7.489914872323698,0.0,7.489914872323698
42,1,14,batt_bel14,0.41795879540302927,0.0,0.41795879540302927
45,1,15,batt_bel15,4.904007885278036,0.0,4.904007885278036
48,1,16,batt_bel16,0.0005736455145175885,0.0,0.0005736455145175885
51,1,17,batt_bel17,6.257093432208038,0.0,6.257093432208038
54,1,18,batt_bel18,0.0005541957613992933,0.0,0.0005541957613992933
57,1,19,batt_bel19,0.0005714908354704848,0.0,0.0005714908354704848
60,1,20,batt_bel20,0.2693567940430559,0.0,0.2693567940430559
63,1,21,batt_bel21,1.0100874521753915,0.0,1.0100874521753915
66,1,22,batt_bel22,0.7182836766874421,0.0,0.7182836766874421
69,1,23,batt_bel23,0.25737167011587936,0.0,0.25737167011587936
72,1,24,batt_bel24,0.40777529614538216,0.0,0.40777529614538216
75,1,25,batt_bel25,0.2974135922153721,0.0,0.2974135922153721
78,1,26,batt_bel26,0.8323861909009835,0.0,0.8323861909009835
81,1,27,batt_bel27,0.0005543836539190798,0.0,0.0005543836539190798
84,1,28,batt_bel28,0.5641763692922679,0.0,0.5641763692922679
87,1,29,batt_bel29,0.40062477404314445,0.0,0.40062477404314445
90,1,30,batt_bel30,0.3061491389226665,0.0,0.3061491389226665
93,1,31,batt_bel31,0.623432539482742,0.0,0.623432539482742
96,1,32,batt_bel32,0.9415387839193016,0.0,0.9415387839193016
99,1,33,batt_bel33,0.5567043428184554,0.0,0.5567043428184554
102,1,34,batt_bel34,0.44530945701980845,0.0,0.44530945701980845
105,1,35,batt_bel35,0.4595578337655428,0.0,0.4595578337655428
108,1,36,batt_bel36,0.2683270986602946,0.0,0.2683270986602946
111,1,37,batt_bel37,0.4695695643730479,0.0,0.4695695643730479
114,1,38,batt_bel38,0.0005574519951767712,0.0,0.0005574519951767712
117,1,39,batt_bel39,0.1708053058901224,0.0,0.1708053058901224
120,1,40,batt_bel40,0.3857187802830904,0.0,0.3857187802830904
123,1,41,batt_bel41,0.4173965963219506,0.0,0.4173965963219506
126,1,42,batt_bel42,0.17895680486314017,0.0,0.17895680486314017
129,1,43,batt_bel43,0.827581007609226,0.0,0.827581007609226
132,1,44,batt_bel44,0.6482412444877582,0.0,0.6482412444877582
135,1,45,batt_bel45,0.49131620641310697,0.0,0.49131620641310697
138,1,46,batt_bel46,0.6631861003123611,0.0,0.6631861003123611
141,1,47,batt_bel47,0.25507717978623135,0.0,0.25507717978623135
144,1,48,batt_bel48,0.6650546231231875,0.0,0.6650546231231875
147,1,49,batt_bel49,0.0005640289102294032,0.0,0.0005640289102294032
150,1,50,batt_bel50,0.0005705836266129339,0.0,0.0005705836266129339
153,1,51,batt_bel51,0.8929640263007893,0.0,0.8929640263007893
156,1,52,batt_bel52,0.0005604321111626897,0.0,0.0005604321111626897
159,1,53,batt_bel53,0.8331865301030631,0.0,0.8331865301030631
162,1,54,batt_bel54,0.7707286045138982,0.0,0.7707286045138982
165,1,55,batt_bel55,0.0005629494682216,0.0,0.0005629494682216
168,1,56,batt_bel56,0.9689335258158454,0.0,0.9689335258158454
171,1,57,batt_bel57,0.0005561769570026589,0.0,0.0005561769570026589
174,1,58,batt_bel58,0.0005623673662795808,0.0,0.0005623673662795808
177,1,59,batt_bel59,0.4732987309599502,0.0,0.4732987309599502
180,1,60,batt_bel60,0.0005651203267182646,0.0,0.0005651203267182646
