ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,4.903304981751809e-11,0.2773,-0.27729999995096694,2.693511471698399e-12
2,plts_bel1,1,1,solar,0.7225906135980207,0.0,0.7225906135980207,1.1179095374675483
3,batt_bel1,1,1,battery,0.008820998101935382,0.0,0.008820998101935382,0.021902409287523454
4,pltd_bel2,1,2,diesel,6.169025180135339e-11,0.846,-0.8459999999383098,2.481578548483443e-12
5,plts_bel2,1,2,solar,2.2242399239315752e-10,0.0,2.2242399239315752e-10,2.5362876262506594e-10
6,batt_bel2,1,2,battery,0.008646628177602155,0.0,0.008646628177602155,0.021416100655457713
7,pltd_bel3,1,3,diesel,6.167056988393716e-11,0.842,-0.8419999999383294,2.482012340868638e-12
8,plts_bel3,1,3,solar,2.3024351527473632e-10,0.0,2.3024351527473632e-10,2.612752342002265e-10
9,batt_bel3,1,3,battery,0.00863842987806595,0.0,0.00863842987806595,0.021423389102649435
10,pltd_bel4,1,4,diesel,5.3143289411666196e-11,0.3891,-0.38909999994685673,2.6208958324114166e-12
11,plts_bel4,1,4,solar,2.317147300851661e-10,0.0,2.317147300851661e-10,2.619430644801775e-10
12,batt_bel4,1,4,battery,0.008636781824443482,0.0,0.008636781824443482,0.021441853445877252
13,pltd_bel5,1,5,diesel,5.464737225605083e-11,0.4381,-0.4380999999453526,2.59404921596446e-12
14,plts_bel5,1,5,solar,2.2108233411340878e-10,0.0,2.2108233411340878e-10,2.516299846842777e-10
15,batt_bel5,1,5,battery,0.00863916588994672,0.0,0.00863916588994672,0.0214054646330854
16,pltd_bel6,1,6,diesel,5.301576170504715e-11,0.3851,-0.38509999994698424,2.6295268132171803e-12
17,plts_bel6,1,6,solar,0.9048707091329198,0.0,0.9048707091329198,1.4147062109410329
18,batt_bel6,1,6,battery,0.008786488544150903,0.0,0.008786488544150903,0.02181648424644441
19,pltd_bel7,1,7,diesel,5.2128604603806744e-11,0.3586,-0.3585999999478714,2.6383430946500264e-12
20,plts_bel7,1,7,solar,2.2526567364951045e-10,0.0,2.2526567364951045e-10,2.5565167627895343e-10
21,batt_bel7,1,7,battery,0.008641419700306338,0.0,0.008641419700306338,0.021425828219512614
22,pltd_bel8,1,8,diesel,6.055855118899644e-11,0.7089,-0.7088999999394414,2.5027216361574756e-12
23,plts_bel8,1,8,solar,2.720254517013117e-10,0.0,2.720254517013117e-10,3.2973967294020456e-10
24,batt_bel8,1,8,battery,0.008609974620734241,0.0,0.008609974620734241,0.02127932812816598
25,pltd_bel9,1,9,diesel,6.021140644297573e-11,0.6833,-0.6832999999397886,2.5078878305846543e-12
26,plts_bel9,1,9,solar,2.6474375741069747e-10,0.0,2.6474375741069747e-10,3.173608744632864e-10
27,batt_bel9,1,9,battery,0.008612521241315011,0.0,0.008612521241315011,0.021289300364794535
28,pltd_bel10,1,10,diesel,5.3381827845096235e-11,0.3968,-0.39679999994661813,2.613485825845082e-12
29,plts_bel10,1,10,solar,1.9556552672197972e-10,0.0,1.9556552672197972e-10,2.2917373923037633e-10
30,batt_bel10,1,10,battery,0.008629326695114901,0.0,0.008629326695114901,0.02133721752858608
31,pltd_bel11,1,11,diesel,5.98667028999603e-11,0.6602,-0.6601999999401333,2.5131882196537563e-12
32,plts_bel11,1,11,solar,2.0629017336439238e-10,0.0,2.0629017336439238e-10,2.397336302345035e-10
33,batt_bel11,1,11,battery,0.00862057106424656,0.0,0.00862057106424656,0.02132855707240949
34,pltd_bel12,1,12,diesel,4.9306103652679975e-11,0.284,-0.28399999995069386,2.682698450427759e-12
35,plts_bel12,1,12,solar,2.0469712827232055e-10,0.0,2.0469712827232055e-10,2.3823360725162807e-10
36,batt_bel12,1,12,battery,0.008629891132755212,0.0,0.008629891132755212,0.021353336815252557
37,pltd_bel13,1,13,diesel,4.857110977840302e-11,0.2672,-0.2671999999514289,2.3384772735732766e-12
38,plts_bel13,1,13,solar,3.1225601940535266,0.0,3.1225601940535266,4.865507814819415
39,batt_bel13,1,13,battery,2.64617365214875,0.0,2.64617365214875,5.823614683934995
40,pltd_bel14,1,14,diesel,4.561344174372096e-11,0.2055,-0.20549999995438656,2.7301428064323575e-12
41,plts_bel14,1,14,solar,0.5711195278887216,0.0,0.5711195278887216,0.8712936516118791
42,batt_bel14,1,14,battery,0.008855320186278381,0.0,0.008855320186278381,0.02198923717383942
43,pltd_bel15,1,15,diesel,4.397303389473634e-11,0.1749,-0.17489999995602695,2.3793119195229894e-12
44,plts_bel15,1,15,solar,2.044480123442797,0.0,2.044480123442797,3.1719553672273593
45,batt_bel15,1,15,battery,1.732612214236813,0.0,1.732612214236813,3.8205364482410786
46,pltd_bel16,1,16,diesel,5.613212271819927e-11,0.4908,-0.4907999999438679,2.570874680227801e-12
47,plts_bel16,1,16,solar,2.2988391035704619e-10,0.0,2.2988391035704619e-10,2.6050935102131076e-10
48,batt_bel16,1,16,battery,0.008631263219416556,0.0,0.008631263219416556,0.02142758984910823
49,pltd_bel17,1,17,diesel,4.6500719087647595e-11,0.2234,-0.22339999995349927,2.3641770216560764e-12
50,plts_bel17,1,17,solar,2.6559004254104956,0.0,2.6559004254104956,4.064022370992816
51,batt_bel17,1,17,battery,2.062294931194546,0.0,2.062294931194546,4.594393167768548
52,pltd_bel18,1,18,diesel,4.145149291244867e-11,0.1297,-0.12969999995854853,2.7567896354919906e-12
53,plts_bel18,1,18,solar,2.911830564267024e-10,0.0,2.911830564267024e-10,3.4496925774221715e-10
54,batt_bel18,1,18,battery,0.008580448636842798,0.0,0.008580448636842798,0.02122562328272616
55,pltd_bel19,1,19,diesel,4.546902050622298e-11,0.203,-0.202999999954531,2.7279136650296927e-12
56,plts_bel19,1,19,solar,1.988087387442375e-10,0.0,1.988087387442375e-10,2.3206912354431868e-10
57,batt_bel19,1,19,battery,0.008635879714937652,0.0,0.008635879714937652,0.021356906826561564
58,pltd_bel20,1,20,diesel,0.005241279246408208,0.0444,-0.039158720753591794,0.007139785235185098
59,plts_bel20,1,20,solar,0.14226668213756194,0.0,0.14226668213756194,0.195605340427066
60,batt_bel20,1,20,battery,0.0500083470364788,0.0,0.0500083470364788,0.13247435682384864
61,pltd_bel21,1,21,diesel,4.3514322909183254e-11,0.1664,-0.16639999995648566,2.7456452519526816e-12
