Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.291005909914989e-14,1.3278214659332475e-10,1.9465884254153465e-14
1,2,2000.0,2.3094290899197053e-14,1.641246128105191e-10,2.4060694891552002e-14
1,3,2000.0,2.3094100435852693e-14,1.639482757648175e-10,2.4034843852015344e-14
1,4,2000.0,2.2991328777447135e-14,1.4055616365897092e-10,2.0605556418463014e-14
1,5,2000.0,2.302526861062375e-14,1.4372490124320126e-10,2.1070093862908234e-14
1,6,2000.0,2.316726465396158e-14,1.3977189958299882e-10,2.0490583177562488e-14
1,7,2000.0,2.29509858096562e-14,1.3857922661820212e-10,2.0315737127235432e-14
1,8,2000.0,2.3083551877711267e-14,1.586040853940969e-10,2.325138467578119e-14
1,9,2000.0,2.3081644102499987e-14,1.5742409826394942e-10,2.3078398370873866e-14
1,10,2000.0,2.2996209270285453e-14,1.411629866311608e-10,2.0694516764732966e-14
1,11,2000.0,2.3079958582334403e-14,1.560982118935562e-10,2.288402321365276e-14
1,12,2000.0,2.2716509476340765e-14,1.3371808240904895e-10,1.9603092596732858e-14
1,13,2000.0,2.250755741354997e-14,1.4176445157018428e-10,2.0782691622470588e-14
1,14,2000.0,2.2232664864637467e-14,1.2815523525579867e-10,1.87875783006704e-14
1,15,2000.0,2.1316268990570033e-14,1.3184059455601328e-10,1.9327852572577317e-14
1,16,2000.0,2.3046970756992253e-14,1.4688836107869895e-10,2.153385758853215e-14
1,17,2000.0,2.2109962603743082e-14,1.367378906578719e-10,2.0045796976421512e-14
1,18,2000.0,2.0477422249211335e-14,1.2383873702987973e-10,1.8154778959759456e-14
1,19,2000.0,2.1894682909710532e-14,1.285250510561443e-10,1.8841793357058468e-14
1,20,2000.0,1.8424941395506382e-14,1.178377965511109e-10,1.7275040111030443e-14
1,21,2000.0,2.1236765367017462e-14,1.2583201086045036e-10,1.8446993227025048e-14
1,22,2000.0,2.0247090013200453e-14,1.2268889467904222e-10,1.798621188439443e-14
1,23,2000.0,2.0396464267474308e-14,1.2235801068416833e-10,1.7937704237010978e-14
1,24,2000.0,1.8624127748705155e-14,1.1914804042126913e-10,1.7467122075176792e-14
1,25,2000.0,1.863552554974578e-14,1.1836489972365142e-10,1.7352313521725453e-14
1,26,2000.0,2.0655405874792418e-14,1.23883310488999e-10,1.8161313436104985e-14
1,27,2000.0,2.0382733412392012e-14,1.235438715985979e-10,1.8111551639647944e-14
1,28,2000.0,1.962213997446465e-14,1.2134170879689096e-10,1.778871421529059e-14
1,29,2000.0,1.858523771296498e-14,1.1923311916353225e-10,1.7479594632609193e-14
