ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,7.709346918595166,122.131,-114.42165308140483,6.212155356197909,3.066790601722374,0.4495920002535532,0,0,1,0
2,pltd_kefamenanu,1,diesel,,2.3953283800892677e-11,4.2,-4.199999999976047,1.9301443018906114e-11,4.006158720230129e-11,5.873035189784141e-12,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,33.00000000000951,33.0,9.50706180447014e-12,26.591244228498972,251.96563435735504,36.938202915535626,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,3.583267016438185e-11,16.8,-16.799999999964168,2.887379647575914e-11,1.509432785074491e-10,2.2128309142097924e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,2.3953283800892677e-11,4.2,-4.199999999976047,1.9301443018906114e-11,4.006158719841146e-11,5.873035189213892e-12,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,3.5788261243396846e-11,8.4,-8.399999999964212,2.8838011976855018e-11,1.502228486423767e-10,2.2022694006881848e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,2.3953283800892677e-11,4.2,-4.199999999976047,1.9301443018906114e-11,4.0061587174841664e-11,5.873035185758556e-12,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,2.9306776299514563e-12,2.1,-2.0999999999970695,2.3615262003944017e-12,1.489959046755439e-11,2.1842823822090756e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,2.3953283800892677e-11,4.2,-4.199999999976047,1.9301443018906114e-11,4.006158717261342e-11,5.8730351854318944e-12,0,0,0,1
10,pltmg_maumere,1,gas,,3.583267016438185e-11,16.8,-16.799999999964168,2.887379647575914e-11,1.5094327866394243e-10,2.2128309165039872e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,3.552180771748681e-11,4.2,-4.199999999964478,2.862330498343028e-11,1.5168589986501026e-10,2.2237177553716706e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,1.486632389518827e-10,0.9954,-0.9953999998513368,1.1979213620509318e-10,1.8242238623693516e-10,2.6743151447388754e-11,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,2.930677629951655e-12,2.1,-2.0999999999970695,2.3615262003945617e-12,1.4899590467554394e-11,2.1842823822090764e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.6597612173541165e-11,0.42,-0.4199999999834024,1.3374277542921625e-11,1.0052912396417698e-10,1.4737585898889902e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,4.508386787387153e-12,0.672,-0.6719999999954916,3.63283679211864e-12,1.0292326410322525e-11,1.5088567232078256e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,3.552180771748681e-11,4.2,-4.199999999964478,2.862330498343028e-11,1.5168589958066746e-10,2.223717751203201e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,1.488624533450246e-10,0.42,-0.4199999998511375,1.1995266222272555e-10,1.826696304258494e-10,2.677939748563557e-11,0,1,0,1
18,plts_adonara,1,solar,PLN,1.4861628029746637e-10,1.68,-1.6799999998513837,1.1975429714302575e-10,1.8237873681799786e-10,2.673675243548396e-11,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,1.488255643679535e-10,0.504,-0.5039999998511744,1.1992293725913048e-10,1.8261783569412583e-10,2.677180436955353e-11,0,1,0,1
20,plts_betun,1,solar,IPP,1.489237971441379e-10,0.252,-0.2519999998510762,1.200020927664869e-10,1.8275151866013798e-10,2.6791402314080773e-11,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,3.552180771748681e-11,4.2,-4.199999999964478,2.862330498343028e-11,1.5168589955802177e-10,2.2237177508712145e-11,0,0,0,1
22,plts_flores,1,solar,PLN,1.4837918364487508e-10,12.6,-12.59999999985162,1.1956324577954657e-10,1.8223225877789941e-10,2.6715278731017768e-11,0,1,0,1
23,plts_lembata,1,solar,PLN,1.4863918426889756e-10,1.26,-1.259999999851361,1.1977275305509025e-10,1.8239781413176305e-10,2.6739549172780056e-11,0,1,0,1
24,pltb_maubesi,1,wind,PLN,4.672975849241549e-11,0.84,-0.8399999999532702,3.7654618812431404e-11,1.0676598689125166e-11,1.5651911016853918e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,1.4860888382229748e-10,1.8312,-1.831199999851391,1.197483370982486e-10,1.823734036247132e-10,2.673597058848233e-11,0,1,0,1
26,plts_rote,1,solar,PLN,1.488255643679536e-10,0.504,-0.5039999998511744,1.1992293725913055e-10,1.8261783569412604e-10,2.677180436955356e-11,0,1,0,1
27,plts_rote,1,solar,PLN,1.4869169364333372e-10,0.84,-0.8399999998513082,1.1981506486114835e-10,1.8245282264029623e-10,2.67476134290643e-11,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,1.489237971441378e-10,0.252,-0.2519999998510762,1.200020927664868e-10,1.8275151866013792e-10,2.679140231408077e-11,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,2.9363681267347598e-12,1.26,-1.2599999999970637,2.3661115758412584e-12,1.4666469516134346e-11,2.1501068128724908e-12,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,4.50825751750873e-12,0.84,-0.8399999999954917,3.6327326270608053e-12,1.0292263145633592e-11,1.5088474485941538e-12,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.00000000000762,100.0,7.617018127348274e-12,80.57952796513132,757.0465034932741,110.98314035504909,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,1.4837024848723933e-10,12.39,-12.38999999985163,1.1955604587170072e-10,1.8222730064498573e-10,2.671455186792743e-11,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,1.4815225610746287e-10,17.1192,-17.119199999851848,1.1938038864107691e-10,1.8210995034594838e-10,2.6697348295031087e-11,0,1,0,1
34,plts_lembata,1,solar,PLN,1.4863918426889745e-10,1.26,-1.259999999851361,1.1977275305509017e-10,1.8239781413176292e-10,2.6739549172780036e-11,0,1,0,1
35,plts_sumba,1,solar,PLN,1.4859512045617776e-10,2.1,-2.099999999851405,1.197372466427972e-10,1.823644537159193e-10,2.6734658530399694e-11,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,4.715566613563093e-11,1.26,-1.2599999999528444,3.799781318090179e-11,1.0691843006014626e-11,1.5674259210170349e-12,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,1.4859512045617766e-10,2.1,-2.099999999851405,1.1973724664279713e-10,1.8236445371591922e-10,2.673465853039968e-11,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,4.506539120792829e-12,0.735,-0.7349999999954935,3.631347951098564e-12,1.0303226272704653e-11,1.5104546448031628e-12,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,4.9003418051315255e-12,12.6,-12.599999999995099,3.948672295252677e-12,2.3954032582295705e-11,3.5116650666546036e-12,0,0,0,1
40,plts_sumba,1,solar,PLN,1.4859512045617755e-10,2.1,-2.099999999851405,1.1973724664279703e-10,1.8236445371591914e-10,2.6734658530399668e-11,0,1,0,1
41,plts_sumba,1,solar,PLN,1.485951204561776e-10,2.1,-2.099999999851405,1.1973724664279708e-10,1.8236445371591917e-10,2.6734658530399675e-11,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,1.485951204561776e-10,2.1,-2.099999999851405,1.1973724664279708e-10,1.8236445371591917e-10,2.6734658530399675e-11,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,4.893568257253796e-11,4.62,-4.619999999951064,3.9432142023463116e-11,1.0937545114736276e-11,1.6034458900571911e-12,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,4.8935682572538014e-11,4.62,-4.619999999951064,3.9432142023463155e-11,1.0937545114736261e-11,1.603445890057189e-12,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,2.9967028907457093e-12,9.24,-9.239999999997003,2.4147290438801535e-12,1.5334179910210206e-11,2.2479932650789305e-12,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,2.9417458840937414e-12,4.2,-4.1999999999970585,2.3704449473362355e-12,1.52094086256485e-11,2.229701774499561e-12,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,1.485951204561776e-10,2.1,-2.099999999851405,1.1973724664279708e-10,1.823644537159192e-10,2.673465853039968e-11,0,1,0,1
48,pltm_flores,1,hydropower,PLN,4.497231530723983e-12,2.1,-2.099999999995503,3.623847938956159e-12,1.0364767767603103e-11,1.519476637949499e-12,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,4.497231530723957e-12,2.1,-2.099999999995503,3.623847938956138e-12,1.0364767767603098e-11,1.5194766379494983e-12,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,3.0035217487407612e-12,8.4,-8.399999999996997,2.4202236474651786e-12,1.537434926118835e-11,2.2538820984557536e-12,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,3.0035217487405383e-12,8.4,-8.399999999996997,2.420223647464999e-12,1.537434926118835e-11,2.2538820984557536e-12,0,0,0,1
52,plts_sumba,1,solar,PLN,1.485951204561777e-10,2.1,-2.099999999851405,1.1973724664279716e-10,1.823644537159192e-10,2.673465853039968e-11,0,1,0,1
53,plts_sumba,1,solar,PLN,1.485951204561777e-10,2.1,-2.099999999851405,1.1973724664279716e-10,1.8236445371591922e-10,2.673465853039968e-11,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,3.5932146147388266e-11,21.0,-20.999999999964068,2.895395375330438e-11,1.4998812547088959e-10,2.1988283551823235e-11,0,0,0,1
55,pltu_atambua,1,coal,PLN,24.000000000007297,24.0,7.297273896256229e-12,19.33908671163592,182.0470339068274,26.688124734838443,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,3.0035217487408307e-12,8.4,-8.399999999996997,2.4202236474652347e-12,1.5374349261188354e-11,2.253882098455754e-12,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,2.9417458840937107e-12,4.2,-4.1999999999970585,2.370444947336211e-12,1.5209408625648505e-11,2.2297017744995617e-12,0,0,0,1
58,plts_rote,1,solar,PLN,1.488624533450246e-10,0.42,-0.4199999998511375,1.1995266222272555e-10,1.8266963042584934e-10,2.6779397485635567e-11,0,1,0,1
59,plts_sumba,1,solar,PLN,1.485951204561777e-10,2.1,-2.099999999851405,1.1973724664279716e-10,1.8236445371591925e-10,2.6734658530399684e-11,0,1,0,1
60,plts_sumba,1,solar,PLN,1.4859512045617766e-10,2.1,-2.099999999851405,1.1973724664279713e-10,1.823644537159192e-10,2.673465853039968e-11,0,1,0,1
61,plt_ebt_base_timor_3,1,gas,PLN,3.5932146147388266e-11,21.0,-20.999999999964068,2.895395375330438e-11,1.4998812527034404e-10,2.1988283522423226e-11,0,0,0,1
62,pltp_gunung_sirung,1,geothermal,PLN,2.9306776299520396e-12,2.1,-2.0999999999970695,2.3615262003948715e-12,1.489959046755439e-11,2.1842823822090756e-12,0,0,0,1
63,plts_sumba,1,solar,PLN,1.4859512045617766e-10,2.1,-2.099999999851405,1.1973724664279713e-10,1.823644537159192e-10,2.673465853039968e-11,0,1,0,1
64,plts_sumba,1,solar,PLN,1.485951204561776e-10,2.1,-2.099999999851405,1.1973724664279708e-10,1.8236445371591922e-10,2.673465853039968e-11,0,1,0,1
65,east_nusa_tenggara_solar_potential_ruen,1,solar,,1.4801418735729318e-10,3054.24,-3054.239999999852,1.1926913349392283e-10,1.8221649905936137e-10,2.6712968353720742e-11,0,1,0,1
66,east_nusa_tenggara_wind_potential_ruen,1,wind,,5.1496751595734464e-11,4278.96,-4278.959999999948,4.14958393532159e-11,1.1083963600397555e-11,1.6249108638332228e-12,0,1,0,1
67,east_nusa_tenggara_geothermal_potential_ruen,1,geothermal,,2.7379180659297e-12,314.16,-314.1599999999973,2.206201453598037e-12,1.1536171711916687e-11,1.6912046464196783e-12,0,0,0,1
68,east_nusa_tenggara_hydropower_potential_ruen,1,hydropower,,5.384605723756711e-12,87.36,-87.35999999999461,4.338889874986269e-12,7.990495533339117e-12,1.1714079428290323e-12,0,0,0,1
69,east_nusa_tenggara_hydropower_mini_potential_ruen,1,hydropower_mini,,5.220323075351788e-12,39.9,-39.899999999994776,4.206511692372977e-12,8.223614016849198e-12,1.2055831503696154e-12,0,0,0,1
70,east_nusa_tenggara_biomass_potential_ruen,1,biomass,,2.1927348825556692e-11,80.85,-80.84999999997807,1.7668954178900002e-11,9.718621022732906e-11,1.4247514202185063e-11,0,0,0,1
71,east_nusa_tenggara_biogas_potential_ruen,1,biogas,,1.3987033753437572e-11,20.16,-20.159999999986013,1.1270685774842727e-11,7.954179987893459e-11,1.1660840779691219e-11,0,0,0,1
72,gas_candidate_1,1,gas,,4.6128434405545704e-11,105.0,-104.99999999995387,3.7170074701691126e-11,1.4224536624099504e-10,2.0853193791311085e-11,0,0,1,1
73,gas_candidate_2,1,gas,,4.6128434405545704e-11,105.0,-104.99999999995387,3.7170074701691126e-11,1.4224536622624375e-10,2.0853193789148544e-11,0,0,1,1
74,gas_candidate_3,1,gas,,4.6128434405545704e-11,105.0,-104.99999999995387,3.7170074701691126e-11,1.422453661883112e-10,2.085319378358763e-11,0,0,1,1
75,gas_candidate_4,1,gas,,4.6128434405545704e-11,105.0,-104.99999999995387,3.7170074701691126e-11,1.422453661974012e-10,2.0853193784920226e-11,0,0,1,1
76,ccgt_candidate_1,1,ccgt,,5.924505330767715e-11,105.0,-104.99999999994075,4.773938429801304e-11,2.2833136686945009e-10,3.3473415463647964e-11,0,0,1,1
77,ccgt_candidate_2,1,ccgt,,5.924505330767715e-11,105.0,-104.99999999994075,4.773938429801304e-11,2.2833136712045753e-10,3.347341550044569e-11,0,0,1,1
78,ccgt_candidate_3,1,ccgt,,5.924505330767715e-11,105.0,-104.99999999994075,4.773938429801304e-11,2.283313668294888e-10,3.347341545778963e-11,0,0,1,1
79,ccgt_candidate_4,1,ccgt,,5.924505330767715e-11,105.0,-104.99999999994075,4.773938429801304e-11,2.2833136701035578e-10,3.347341548430476e-11,0,0,1,1
