ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,2.4358860328480803e-9,0.2773,-0.27729999756411394,1.1920570854904416e-9
2,plts_bel1,1,1,solar,1.2405497707070296e-9,0.0,1.2405497707070296e-9,1.9350046438284533e-9
3,batt_bel1,1,1,battery,0.003327781361552544,0.0,0.003327781361552544,0.0029811414476774217
4,pltd_bel2,1,2,diesel,2.4358867715695085e-9,0.846,-0.8459999975641131,1.192058200208862e-9
5,plts_bel2,1,2,solar,5.680354984067768e-10,0.0,5.680354984067768e-10,8.325239757654e-10
6,batt_bel2,1,2,battery,0.003330853090100117,0.0,0.003330853090100117,0.0029810579469686546
7,pltd_bel3,1,3,diesel,2.4358867691010303e-9,0.842,-0.8419999975641133,1.1920581950037542e-9
8,plts_bel3,1,3,solar,5.680261425612387e-10,0.0,5.680261425612387e-10,8.325105449758414e-10
9,batt_bel3,1,3,battery,0.003330876928838848,0.0,0.003330876928838848,0.0029810747107158063
10,pltd_bel4,1,4,diesel,2.4358863049643654e-9,0.3891,-0.3890999975641137,1.1920573570245227e-9
11,plts_bel4,1,4,solar,5.682554819272183e-10,0.0,5.682554819272183e-10,8.328549952390265e-10
12,batt_bel4,1,4,battery,0.003329198996191209,0.0,0.003329198996191209,0.0029796923824393887
13,pltd_bel5,1,5,diesel,2.4358863841518436e-9,0.4381,-0.4380999975641136,1.192057508874222e-9
14,plts_bel5,1,5,solar,5.682690807918534e-10,0.0,5.682690807918534e-10,8.328744394034395e-10
15,batt_bel5,1,5,battery,0.0033298166286369647,0.0,0.0033298166286369647,0.0029801671755643752
16,pltd_bel6,1,6,diesel,2.4358862751510333e-9,0.3851,-0.3850999975641137,1.1920573657871598e-9
17,plts_bel6,1,6,solar,1.2405134982542715e-9,0.0,1.2405134982542715e-9,1.934947368672675e-9
18,batt_bel6,1,6,battery,0.0033287443180701065,0.0,0.0033287443180701065,0.002981463881900665
19,pltd_bel7,1,7,diesel,2.4358862489392968e-9,0.3586,-0.3585999975641137,1.1920572715484639e-9
20,plts_bel7,1,7,solar,5.682801643644358e-10,0.0,5.682801643644358e-10,8.328910751271133e-10
21,batt_bel7,1,7,battery,0.003328813046455732,0.0,0.003328813046455732,0.002979426407831278
22,pltd_bel8,1,8,diesel,2.4358866677888497e-9,0.7089,-0.7088999975641133,1.1920579413728833e-9
23,plts_bel8,1,8,solar,6.907682192491738e-10,0.0,6.907682192491738e-10,1.0386781056561709e-9
24,batt_bel8,1,8,battery,0.0033306648674391232,0.0,0.0033306648674391232,0.002980424934984801
25,pltd_bel9,1,9,diesel,2.4358866598937672e-9,0.6833,-0.6832999975641133,1.1920579724031174e-9
26,plts_bel9,1,9,solar,6.559477428165656e-10,0.0,6.559477428165656e-10,9.802736261792017e-10
27,batt_bel9,1,9,battery,0.003330506120211053,0.0,0.003330506120211053,0.0029803812090193004
28,pltd_bel10,1,10,diesel,2.435886318664062e-9,0.3968,-0.39679999756411366,1.1920573811461779e-9
29,plts_bel10,1,10,solar,5.683031042739042e-10,0.0,5.683031042739042e-10,8.329239385643092e-10
30,batt_bel10,1,10,battery,0.003329317042974274,0.0,0.003329317042974274,0.0029797765070596247
31,pltd_bel11,1,11,diesel,2.435886635913578e-9,0.6602,-0.6601999975641134,1.1920579367780852e-9
