ID,Zone,Total_Import_MWh,Peak_Import_MW
1,1,2172.0538121522404,0.3781
2,1,6842.63521734223,1.1536
3,1,6727.7517695393435,1.1481
4,1,3107.7838309442504,0.5306
5,1,3491.617005381777,0.5974
6,1,3128.2019555083243,0.5251
7,1,2828.324206475019,0.489
8,1,5731.092404887691,0.9666
9,1,5453.473652146085,0.9318
10,1,3207.884436157043,0.5411
11,1,5433.413769784286,0.9003
12,1,2251.705394193054,0.3873
13,1,2436.4747843175387,0.3644
14,1,1630.935986563663,0.2802
15,1,1615.1933988975247,0.2386
16,1,3931.1577820182556,0.6692
17,1,2055.5978348700796,0.3047
18,1,1050.4712765415063,0.1769
19,1,1637.679810465885,0.2768
20,1,0.0,0.0
21,1,1329.2307560283627,0.2269
22,1,943.3333332491699,0.1613
23,1,917.6568867361323,0.1559
24,1,522.8759583426942,0.0916
25,1,0.0,0.0
26,1,1090.8227682616803,0.1869
27,1,992.2642753705353,0.171
28,1,746.2027057671014,0.1269
29,1,519.7595341158888,0.0903
30,1,0.0,0.0
31,1,828.4959574658982,0.1411
32,1,1256.8572103777224,0.2117
33,1,738.1425761366759,0.1252
34,1,589.3457139723976,0.1008
35,1,593.8760576381354,0.1033
36,1,354.03197316425377,0.0605
37,1,620.3114704344845,0.1059
38,1,1291.4492119795073,0.2163
39,1,561.5164707788769,0.097
40,1,508.989331010834,0.087
41,1,542.9167126916326,0.0941
42,1,626.0530947198814,0.1059
43,1,1097.8740981103017,0.1861
44,1,854.8389572028298,0.1458
45,1,650.6210516242018,0.1105
46,1,869.8057890389892,0.1491
47,1,896.4043939536506,0.1542
48,1,878.4275224958978,0.1495
49,1,1626.3907259994394,0.2726
50,1,1858.6291551549077,0.3201
51,1,1167.7226022386415,0.2008
52,1,1285.5011250388366,0.2184
53,1,1111.7388522758213,0.1874
54,1,986.7530477037305,0.1722
55,1,1636.997486072144,0.2815
56,1,1268.4484560787243,0.2176
57,1,1367.5440609773427,0.2361
58,1,1946.4219470826827,0.3378
59,1,622.0833787725019,0.1067
60,1,3414.6395217566546,0.5764
61,1,453.49597764116965,0.076
62,1,2280.7197685062547,0.3907
63,1,896.5407057682296,0.1542
64,1,855.8908093768106,0.1441
65,1,414.58439737929456,0.0706
66,1,3638.836673707859,0.61
67,1,2928.2997237725012,0.4924
68,1,1469.4413902342123,0.2483
69,1,2717.170125255751,0.4697
70,1,501.6469954195189,0.0861
71,1,1196.6143913583874,0.2025
72,1,1026.6787484487083,0.1756
73,1,790.2066796446792,0.1344
74,1,5620.803482210484,0.97
75,1,1253.0507309231098,0.2084
76,1,538.0507918751678,0.0937
77,1,2503.1614153703795,0.4293
78,1,792.5903874776868,0.1361
79,1,537.9304945259978,0.0903
80,1,848.7686660955935,0.147
81,1,1342.7452356609326,0.2281
