Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.9691179227312286e-13,1.2030016096929266e-9,1.7636023134619261e-13
1,2,2000.0,2.9691179227831505e-13,1.203001609734608e-9,1.7636023135230312e-13
1,3,2000.0,2.9691179227830394e-13,1.2030016097345125e-9,1.763602313522891e-13
1,4,2000.0,2.9691179227538135e-13,1.2030016097107443e-9,1.763602313488047e-13
1,5,2000.0,2.969117922759973e-13,1.2030016097156869e-9,1.7636023134952926e-13
1,6,2000.0,2.969117922753262e-13,1.2030016097102914e-9,1.763602313487383e-13
1,7,2000.0,2.969117922749106e-13,1.203001609706988e-9,1.76360231348254e-13
1,8,2000.0,2.9691179227784087e-13,1.203001609730678e-9,1.7636023135172698e-13
1,9,2000.0,2.969117922777288e-13,1.20300160972977e-9,1.7636023135159387e-13
1,10,2000.0,2.969117922754889e-13,1.2030016097116025e-9,1.763602313489305e-13
1,11,2000.0,2.9691179227762136e-13,1.203001609728888e-9,1.7636023135146455e-13
1,12,2000.0,2.9691179227331703e-13,1.2030016096944103e-9,1.7636023134641014e-13
1,13,2000.0,2.969117922638836e-13,1.2053778159494724e-9,1.7670858356929367e-13
1,14,2000.0,2.9691179227030315e-13,1.2030016096712772e-9,1.7636023134301882e-13
1,15,2000.0,2.9691179225498456e-13,1.2053778160641233e-9,1.767085835861015e-13
1,16,2000.0,2.9691179227652023e-13,1.2030016097198974e-9,1.7636023135014656e-13
1,17,2000.0,2.969117922605746e-13,1.205377815991654e-9,1.767085835754775e-13
1,18,2000.0,2.9691179226360917e-13,1.2030016096223908e-9,1.7636023133585205e-13
1,19,2000.0,2.9691179227017683e-13,1.2030016096702716e-9,1.7636023134287137e-13
1,20,2000.0,1.5290763420476644e-13,1.2624775721330005e-9,1.850794170986924e-13
1,21,2000.0,2.9691179226765157e-13,1.203001609651589e-9,1.7636023134013255e-13
1,22,2000.0,2.969117922618201e-13,1.2030016096096593e-9,1.7636023133398562e-13
1,23,2000.0,2.969117922610502e-13,1.2030016096045308e-9,1.7636023133323376e-13
1,24,2000.0,2.9691179224490683e-13,1.20300160949908e-9,1.7636023131777466e-13
1,25,2000.0,1.5290763568254975e-13,1.2624775728235693e-9,1.8507941719992992e-13
1,26,2000.0,2.9691179226464223e-13,1.203001609629581e-9,1.7636023133690614e-13
1,27,2000.0,2.969117922629705e-13,1.2030016096178436e-9,1.7636023133518542e-13
1,28,2000.0,2.969117922560036e-13,1.2030016095701877e-9,1.7636023132819906e-13
1,29,2000.0,2.969117922443983e-13,1.2030016094956099e-9,1.7636023131726595e-13
1,30,2000.0,1.5288470526697005e-13,1.26123963291972e-9,1.8489793500898648e-13
1,31,2000.0,2.969117922588431e-13,1.2030016095889545e-9,1.7636023133095028e-13
1,32,2000.0,2.969117922666688e-13,1.203001609644241e-9,1.763602313390553e-13
1,33,2000.0,2.9691179225564766e-13,1.2030016095677326e-9,1.7636023132783916e-13
1,34,2000.0,2.9691179224872274e-13,1.2030016095225915e-9,1.7636023132122147e-13
1,35,2000.0,2.969117922496394e-13,1.203001609528287e-9,1.7636023132205645e-13
1,36,2000.0,2.969117922222994e-13,1.203001609367965e-9,1.763602312985532e-13
1,37,2000.0,2.969117922503767e-13,1.2030016095335417e-9,1.7636023132282676e-13
1,38,2000.0,2.9691179226699907e-13,1.203001609646614e-9,1.7636023133940318e-13
1,39,2000.0,2.969117922473099e-13,1.2030016095135967e-9,1.7636023131990282e-13
1,40,2000.0,2.9691179224265197e-13,1.2030016094854488e-9,1.7636023131577633e-13
1,41,2000.0,2.969117922460441e-13,1.203001609505973e-9,1.7636023131878519e-13
1,42,2000.0,2.9691179225037357e-13,1.2030016095335485e-9,1.7636023132282776e-13
1,43,2000.0,2.9691179226455075e-13,1.2030016096289934e-9,1.7636023133681999e-13
1,44,2000.0,2.9691179225955455e-13,1.203001609594143e-9,1.7636023133171092e-13
1,45,2000.0,2.969117922518464e-13,1.2030016095428303e-9,1.7636023132418847e-13
1,46,2000.0,2.9691179226012374e-13,1.2030016095978153e-9,1.763602313322493e-13
1,47,2000.0,2.969117922608263e-13,1.203001609602906e-9,1.7636023133299556e-13
1,48,2000.0,2.969117922602015e-13,1.2030016095982731e-9,1.763602313323164e-13
1,49,2000.0,2.9691179227000437e-13,1.2030016096689696e-9,1.763602313426805e-13
1,50,2000.0,2.969117922716744e-13,1.203001609681707e-9,1.7636023134454782e-13
1,51,2000.0,2.969117922658325e-13,1.203001609638215e-9,1.7636023133817188e-13
1,52,2000.0,2.9691179226714135e-13,1.2030016096476579e-9,1.763602313395562e-13
1,53,2000.0,2.969117922646514e-13,1.203001609629818e-9,1.763602313369409e-13
1,54,2000.0,2.9691179226314236e-13,1.203001609618887e-9,1.7636023133533842e-13
1,55,2000.0,2.9691179227034556e-13,1.203001609671641e-9,1.7636023134307213e-13
1,56,2000.0,2.9691179226707117e-13,1.2030016096472244e-9,1.7636023133949267e-13
1,57,2000.0,2.96911792268212e-13,1.203001609655651e-9,1.76360231340728e-13
1,58,2000.0,2.969117922721625e-13,1.2030016096855198e-9,1.7636023134510679e-13
1,59,2000.0,2.9691179225070083e-13,1.2030016095353543e-9,1.763602313230925e-13
1,60,2000.0,2.9691179227581907e-13,1.2030016097142556e-9,1.7636023134931946e-13
1,61,2000.0,2.9691179223635643e-13,1.2030016094470449e-9,1.7636023131014631e-13
1,62,2000.0,2.9691179227337983e-13,1.2030016096949267e-9,1.7636023134648582e-13
1,63,2000.0,2.969117922608263e-13,1.203001609602906e-9,1.7636023133299556e-13
1,64,2000.0,2.9691179225929535e-13,1.2030016095922825e-9,1.7636023133143816e-13
1,65,2000.0,2.9691179223210855e-13,1.2030016094230515e-9,1.7636023130662888e-13
1,66,2000.0,2.9691179227609816e-13,1.2030016097164963e-9,1.7636023134964793e-13
1,67,2000.0,2.969117922749494e-13,1.2030016097073119e-9,1.763602313483015e-13
1,68,2000.0,2.9691179226886386e-13,1.2030016096605135e-9,1.7636023134144087e-13
1,69,2000.0,2.969117922746605e-13,1.203001609705014e-9,1.763602313479646e-13
1,70,2000.0,2.969117922423316e-13,1.2030016094829776e-9,1.7636023131541406e-13
1,71,2000.0,2.9691179226595954e-13,1.2030016096391712e-9,1.7636023133831206e-13
1,72,2000.0,2.96911792263489e-13,1.2030016096214638e-9,1.7636023133571616e-13
1,73,2000.0,2.969117922576034e-13,1.2030016095806389e-9,1.7636023132973122e-13
1,74,2000.0,2.9691179227784976e-13,1.203001609730761e-9,1.7636023135173915e-13
1,75,2000.0,2.969117922664018e-13,1.2030016096424353e-9,1.7636023133879057e-13
1,76,2000.0,2.969117922458355e-13,1.2030016095048123e-9,1.7636023131861502e-13
1,77,2000.0,2.969117922740713e-13,1.2030016097003354e-9,1.7636023134727874e-13
1,78,2000.0,2.9691179225790614e-13,1.203001609582771e-9,1.7636023133004376e-13
1,79,2000.0,2.9691179224440075e-13,1.2030016094956103e-9,1.7636023131726603e-13
