ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,6.163327222774675,122.131,-115.96767277722533,4.966379983057893,2.8139890235446465,0.4125312478381952,0,0,1,0
2,pltd_kefamenanu,1,diesel,,9.0803808916462e-11,4.2,-4.199999999909196,7.316928059923933e-11,1.468142839543452e-10,2.1522997870071903e-11,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,33.00000000006007,33.0,6.006928288115887e-11,26.59124422853971,248.04755598329575,36.36381198960994,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,1.3389112041295448e-10,16.8,-16.79999999986611,1.0788883281597608e-10,5.61396212052713e-10,8.230077585662172e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,9.0803808916462e-11,4.2,-4.199999999909196,7.316928059923933e-11,1.4681428657419005e-10,2.1522998254141588e-11,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.3367262852170825e-10,8.4,-8.399999999866328,1.0771277308136779e-10,5.608823125028006e-10,8.222543809914822e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,9.0803808916462e-11,4.2,-4.199999999909196,7.316928059923933e-11,1.4681428686452954e-10,2.1522998296705404e-11,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.1055728831100183e-11,2.1,-2.0999999999889445,8.908654105204779e-12,5.4502721788488774e-11,7.990107865332452e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,9.0803808916462e-11,4.2,-4.199999999909196,7.316928059923933e-11,1.4681428180680774e-10,2.1522997555242565e-11,0,0,0,1
10,pltmg_maumere,1,gas,,1.3389112041295448e-10,16.8,-16.79999999986611,1.0788883281597608e-10,5.613962598311539e-10,8.23007828609489e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.3278889099410662e-10,4.2,-4.199999999867211,1.0700066155317573e-10,5.598475547379974e-10,8.207374244278536e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,5.94206802414479e-10,0.9954,-0.9953999994057932,4.788090365222511e-10,7.277292983858372e-10,1.0668523332523959e-10,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.1055728831100235e-11,2.1,-2.0999999999889445,8.90865410520482e-12,5.450272178848876e-11,7.990107865332449e-12,0,0,0,1
