ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,9.303105513561368e-9,0.2773,-0.2772999906968945,4.6868149797760004e-9
2,plts_bel1,1,1,solar,4.945072021832849e-9,0.0,4.945072021832849e-9,7.678544973390272e-9
3,batt_bel1,1,1,battery,0.002139716651165315,0.0,0.002139716651165315,0.0030584011771179666
4,pltd_bel2,1,2,diesel,9.30311310499209e-9,0.846,-0.8459999906968869,4.676764961453281e-9
5,plts_bel2,1,2,solar,2.240606116125623e-9,0.0,2.240606116125623e-9,3.2687630783162956e-9
6,batt_bel2,1,2,battery,0.0026022255558283986,0.0,0.0026022255558283986,0.0037525742532966435
7,pltd_bel3,1,3,diesel,9.303113075425134e-9,0.842,-0.8419999906968869,4.6768582183360785e-9
8,plts_bel3,1,3,solar,2.2405974848553246e-9,0.0,2.2405974848553246e-9,3.2687436774396306e-9
9,batt_bel3,1,3,battery,0.002599385827034654,0.0,0.002599385827034654,0.003747900704561698
10,pltd_bel4,1,4,diesel,9.30310635379084e-9,0.3891,-0.38909999069689366,4.685518508708871e-9
11,plts_bel4,1,4,solar,2.2408870273835433e-9,0.0,2.2408870273835433e-9,3.2688220937850642e-9
12,batt_bel4,1,4,battery,0.0022559661899090736,0.0,0.0022559661899090736,0.003231539094629239
13,pltd_bel5,1,5,diesel,9.30310669838936e-9,0.4381,-0.4380999906968933,4.685169163152768e-9
14,plts_bel5,1,5,solar,2.2407534502413333e-9,0.0,2.2407534502413333e-9,3.2686379348069385e-9
15,batt_bel5,1,5,battery,0.002301746421433524,0.0,0.002301746421433524,0.003300121588865083
16,pltd_bel6,1,6,diesel,9.303106396260331e-9,0.3851,-0.3850999906968936,4.685348008495676e-9
17,plts_bel6,1,6,solar,4.9449971227576375e-9,0.0,4.9449971227576375e-9,7.67857628814426e-9
18,batt_bel6,1,6,battery,0.0022446947704718697,0.0,0.0022446947704718697,0.0032198320098055294
19,pltd_bel7,1,7,diesel,9.30310604053074e-9,0.3586,-0.3585999906968939,4.685719069427102e-9
20,plts_bel7,1,7,solar,2.2409770337770097e-9,0.0,2.2409770337770097e-9,3.2689546779389986e-9
21,batt_bel7,1,7,battery,0.002228822508011045,0.0,0.002228822508011045,0.0031901307502040883
22,pltd_bel8,1,8,diesel,9.303111015069265e-9,0.7089,-0.7088999906968889,4.67930937767565e-9
23,plts_bel8,1,8,solar,2.751141214431742e-9,0.0,2.751141214431742e-9,4.12074621613987e-9
24,batt_bel8,1,8,battery,0.0024930709403697586,0.0,0.0024930709403697586,0.00358298948858366
25,pltd_bel9,1,9,diesel,9.303110296969661e-9,0.6833,-0.6832999906968897,4.67977590294448e-9
26,plts_bel9,1,9,solar,2.6173813756482945e-9,0.0,2.6173813756482945e-9,3.894462075034386e-9
27,batt_bel9,1,9,battery,0.0024952110019003794,0.0,0.0024952110019003794,0.0035858033921228557
28,pltd_bel10,1,10,diesel,9.303106384609287e-9,0.3968,-0.3967999906968936,4.685442685679674e-9
29,plts_bel10,1,10,solar,2.2408661894261506e-9,0.0,2.2408661894261506e-9,3.268800770068017e-9
30,batt_bel10,1,10,battery,0.0022662339407847677,0.0,0.0022662339407847677,0.0032465902528299316
31,pltd_bel11,1,11,diesel,9.303110596089923e-9,0.6602,-0.6601999906968894,4.680962896938421e-9
32,plts_bel11,1,11,solar,2.240459268543785e-9,0.0,2.240459268543785e-9,3.2683496083055775e-9
33,batt_bel11,1,11,battery,0.0024809090504592686,0.0,0.0024809090504592686,0.0035649358639468836
34,pltd_bel12,1,12,diesel,9.303105516667755e-9,0.284,-0.28399999069689447,4.6868105145665414e-9
35,plts_bel12,1,12,solar,2.24117502976798e-9,0.0,2.24117502976798e-9,3.2692444512981437e-9
36,batt_bel12,1,12,battery,0.0021574377121331414,0.0,0.0021574377121331414,0.0030800146260103107
37,pltd_bel13,1,13,diesel,9.250109076140776e-9,0.2672,-0.2671999907498909,4.733710101459436e-9
38,plts_bel13,1,13,solar,5.718476871552385e-9,0.0,5.718476871552385e-9,8.84180085588562e-9
39,batt_bel13,1,13,battery,0.24060609577406117,0.0,0.24060609577406117,0.29755228764021635
40,pltd_bel14,1,14,diesel,9.30310591093724e-9,0.2055,-0.20549999069689406,4.690381596373536e-9
41,plts_bel14,1,14,solar,4.945138449753551e-9,0.0,4.945138449753551e-9,7.678572769652378e-9
42,batt_bel14,1,14,battery,0.0020700197421522535,0.0,0.0020700197421522535,0.002948477251933035
43,pltd_bel15,1,15,diesel,9.22976419104365e-9,0.1749,-0.1748999907702358,4.7270506643673335e-9
44,plts_bel15,1,15,solar,5.736680255593354e-9,0.0,5.736680255593354e-9,8.870644152777418e-9
45,batt_bel15,1,15,battery,0.1575530959831633,0.0,0.1575530959831633,0.19400177105494473
46,pltd_bel16,1,16,diesel,9.303107312000991e-9,0.4908,-0.49079999069689273,4.684684722295259e-9
47,plts_bel16,1,16,solar,2.240634619154121e-9,0.0,2.240634619154121e-9,3.2684758810903726e-9
48,batt_bel16,1,16,battery,0.002346218667967095,0.0,0.002346218667967095,0.003366369882305739
49,pltd_bel17,1,17,diesel,9.222177131722022e-9,0.2234,-0.22339999077782285,4.719726023785145e-9
