ID,Zone,Total_Import_MWh,Peak_Import_MW
1,1,2166.7962888300995,0.3781
2,1,6698.101281212929,1.1536
3,1,6713.685181506588,1.1481
4,1,2995.527024642218,0.5306
5,1,3555.2668372442918,0.5974
6,1,3103.3079716180864,0.5251
7,1,2898.4711144014404,0.489
8,1,5699.8265242986035,0.9666
9,1,5341.898812399409,0.9318
10,1,3098.9922112854824,0.5411
11,1,5403.342370101833,0.9003
12,1,2290.844504650673,0.3873
13,1,2441.9982251751762,0.3644
14,1,1618.5465517753005,0.2802
15,1,1607.6167426098991,0.2386
16,1,3941.5844691478774,0.6692
17,1,2067.7370283735577,0.3047
18,1,1051.6366182692852,0.1769
19,1,1636.456790538042,0.2768
20,1,0.0,0.0
21,1,1338.9773567462669,0.2269
22,1,957.9724605516459,0.1613
23,1,935.6110277277771,0.1559
24,1,540.583306547286,0.0916
25,1,0.0,0.0
26,1,1107.5620494762443,0.1869
27,1,1027.4750471785935,0.171
28,1,745.3957519702859,0.1269
29,1,525.8811184255842,0.0903
30,1,0.0,0.0
31,1,817.0083285453619,0.1411
32,1,1236.6752346568483,0.2117
33,1,725.744979443824,0.1252
34,1,605.2174079305157,0.1008
35,1,620.1846639828815,0.1033
36,1,348.700422530357,0.0605
37,1,626.452375838504,0.1059
38,1,1266.5520156861778,0.2163
39,1,569.5859669265373,0.097
40,1,510.51434993177855,0.087
41,1,559.8639955143768,0.0941
42,1,616.3746825928184,0.1059
43,1,1094.3128406018461,0.1861
44,1,849.4787841759218,0.1458
45,1,671.6422561127237,0.1105
46,1,873.5264251428955,0.1491
47,1,905.6708239427816,0.1542
48,1,867.7152370210987,0.1495
49,1,1594.2395476890285,0.2726
50,1,1856.5362236545532,0.3201
51,1,1168.434835353881,0.2008
52,1,1273.9933177218375,0.2184
53,1,1082.2684929400564,0.1874
54,1,1002.5415932542971,0.1722
55,1,1627.5460371167571,0.2815
56,1,1296.8394917893781,0.2176
57,1,1348.4270526528348,0.2361
58,1,2000.5847372100277,0.3378
59,1,621.9215662560898,0.1067
60,1,3390.8067169711267,0.5764
61,1,436.45986678837903,0.076
62,1,2268.6783244743233,0.3907
63,1,898.9531967003206,0.1542
64,1,822.5982442713668,0.1441
65,1,419.77449831523137,0.0706
66,1,3451.972186203654,0.61
67,1,2877.0092669308433,0.4924
68,1,1452.149909653101,0.2483
69,1,2745.2129171765887,0.4697
70,1,507.9698197166316,0.0861
71,1,1165.3331647327166,0.2025
72,1,1025.7003717826012,0.1756
73,1,792.9205684226345,0.1344
74,1,5612.909477087217,0.97
75,1,1232.6933024751877,0.2084
76,1,543.0514323873497,0.0937
77,1,2542.9548371555643,0.4293
78,1,806.0470109076824,0.1361
79,1,527.7799606059286,0.0903
80,1,867.4355390676205,0.147
81,1,1334.506200384488,0.2281
82,1,5313.302433484934,0.9103
83,1,2926.9459246346905,0.4999
84,1,3809.1703591936093,0.6587
85,1,591.8572126210187,0.1008
86,1,3772.9816922694886,0.6381
87,1,3408.7666358374813,0.5835
88,1,1566.2259311454245,0.2697
89,1,7604.825338771409,1.2855
90,1,2413.445298740685,0.4121
91,1,2212.1577276682483,0.3903
92,1,1888.3143713508284,0.3289
93,1,8545.44847626103,1.4703
94,1,1263.559876974411,0.2159
95,1,438.0325779777713,0.0723
96,1,432.6250130140289,0.0739
97,1,803.4069445176743,0.1378
98,1,413.8894520877673,0.0714
99,1,439.73131872085696,0.076
100,1,1811.993860632709,0.3067
101,1,955.1099727322598,0.1638
102,1,1181.4719548162147,0.2
103,1,1397.162744829385,0.2432
104,1,1656.9870632838708,0.2857
105,1,942.3158477432455,0.1638
106,1,624.6904149978678,0.1071
107,1,634.5336002793496,0.1092
108,1,901.524677356535,0.1554
109,1,1052.8879288118856,0.1806
110,1,728.1647989462356,0.1252
111,1,1247.9476083138802,0.2172
112,1,1417.4817597714596,0.2407
113,1,2002.5996714893863,0.3457
114,1,995.1093700491598,0.1731
115,1,1024.0215724982586,0.1743
116,1,1072.6627874502708,0.1785
117,1,1528.8930473492608,0.2621
118,1,1088.2597556196847,0.1865
119,1,911.0505695309394,0.1571
120,1,1098.7796734194164,0.189
121,1,1515.8958366067568,0.2609
122,1,1156.4201533180967,0.1953
123,1,1069.3104672006564,0.1827
124,1,1124.0868960899604,0.1911
125,1,1571.143607497059,0.2663
126,1,1196.508158370926,0.2042
127,1,2121.356244492196,0.3525
128,1,1810.7840870356276,0.3046
129,1,1544.5611209881954,0.2651
130,1,1269.3879196303226,0.2126
131,1,1452.4766843640405,0.2462
132,1,1183.9605141894635,0.2008
133,1,686.3118838218031,0.1672
134,1,1503.1651319165123,0.2613
135,1,2333.578311949105,0.3878
136,1,1108.978734989782,0.189
137,1,488.5959958437042,0.0836
138,1,0.0,0.0
139,1,1608.1556233069562,0.281
140,1,0.0,0.0
141,1,0.0,0.0
142,1,980.0396479473754,0.1659
143,1,1266.568965712874,0.2151
144,1,952.8139209587608,0.1613
145,1,955.0841942634132,0.1643
146,1,855.8672372265294,0.1445
147,1,0.0,0.0
148,1,0.0,0.0
149,1,697.6817288518896,0.1189
150,1,1347.2521959151013,0.2285
