Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.1326443738953189e-12,4.583647997281134e-9,6.71963540777269e-13
1,2,2000.0,1.1326443740665065e-12,4.5836510832063545e-9,6.719639931744076e-13
1,3,2000.0,1.1326443740661317e-12,4.583651078406294e-9,6.719639924707179e-13
1,4,2000.0,1.132644373968589e-12,4.583649868712288e-9,6.719638151293802e-13
1,5,2000.0,1.1326443739890359e-12,4.583650163609899e-9,6.719638583614178e-13
1,6,2000.0,1.132644373967542e-12,4.583649761344232e-9,6.719637993892057e-13
1,7,2000.0,1.1326443739529501e-12,4.583649567616091e-9,6.719637709886288e-13
1,8,2000.0,1.1326443740505316e-12,4.583650914965559e-9,6.719639685102797e-13
1,9,2000.0,1.1326443740467963e-12,4.5836509052916814e-9,6.719639670920876e-13
1,10,2000.0,1.1326443739721562e-12,4.5836499251292755e-9,6.719638234001197e-13
1,11,2000.0,1.1326443740431903e-12,4.5836508911665526e-9,6.719639650213414e-13
1,12,2000.0,1.1326443739001269e-12,4.583648273850259e-9,6.719635813223478e-13
1,13,2000.0,1.1326443733921346e-12,4.596962937201361e-9,6.739155131318957e-13
1,14,2000.0,1.1326443738045875e-12,4.583645607232592e-9,6.719631903957647e-13
1,15,2000.0,1.1326443730107785e-12,4.5969614435192e-9,6.739152941578483e-13
1,16,2000.0,1.1326443740064713e-12,4.58365041409569e-9,6.719638950826754e-13
1,17,2000.0,1.1326443732572654e-12,4.596962609802874e-9,6.739154651352243e-13
1,18,2000.0,1.1326443735838595e-12,4.58364031701958e-9,6.71962414849678e-13
1,19,2000.0,1.1326443737967551e-12,4.583645603095007e-9,6.719631897891941e-13
1,20,2000.0,5.77143801646269e-13,4.819685188395866e-9,7.065666313266868e-13
1,21,2000.0,1.1326443737144507e-12,4.583643745510606e-9,6.719629174670192e-13
1,22,2000.0,1.1326443735270167e-12,4.583638578228783e-9,6.719621599426647e-13
1,23,2000.0,1.1326443735201278e-12,4.58363778534127e-9,6.719620437052267e-13
1,24,2000.0,1.1326443730028168e-12,4.583629006147556e-9,6.719607566740024e-13
1,25,2000.0,5.771438002034754e-13,4.819685196707274e-9,7.065666325451405e-13
1,26,2000.0,1.1326443736173603e-12,4.583641247864563e-9,6.719625513117036e-13
1,27,2000.0,1.1326443735634256e-12,4.583639683090774e-9,6.719623219156121e-13
1,28,2000.0,1.132644373343499e-12,4.583634151999242e-9,6.719615110566952e-13
1,29,2000.0,1.132644372987094e-12,4.583628816103073e-9,6.719607288134505e-13
1,30,2000.0,5.771437954124356e-13,4.8160015306221605e-9,7.060266064988425e-13
1,31,2000.0,1.1326443734324984e-12,4.583636121237804e-9,6.719617997473882e-13
1,32,2000.0,1.1326443736824362e-12,4.5836430124430805e-9,6.719628099992009e-13
1,33,2000.0,1.1326443733323966e-12,4.583633922102318e-9,6.719614773537689e-13
1,34,2000.0,1.1326443731180405e-12,4.583630508424415e-9,6.719609769080339e-13
1,35,2000.0,1.132644373146294e-12,4.5836308241178715e-9,6.719610231887459e-13
1,36,2000.0,1.132644372359057e-12,4.583623356690219e-9,6.719599284626394e-13
1,37,2000.0,1.132644373168951e-12,4.583631249957153e-9,6.719610856168537e-13
1,38,2000.0,1.1326443736931508e-12,4.5836433156605295e-9,6.719628544509282e-13
1,39,2000.0,1.1326443731406652e-12,4.583629782863055e-9,6.719608705406207e-13
1,40,2000.0,1.1326443729342966e-12,4.5836282610778986e-9,6.719606474466696e-13
1,41,2000.0,1.1326443730369445e-12,4.583629419915482e-9,6.719608173324475e-13
1,42,2000.0,1.1326443732211667e-12,4.583631131988553e-9,6.719610683226378e-13
1,43,2000.0,1.1326443736140387e-12,4.583641169246553e-9,6.719625397862906e-13
