ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,0.00855886660466126,0.0,0.00855886660466126
6,1,2,batt_bel2,0.010408902223313594,0.0,0.010408902223313594
9,1,3,batt_bel3,0.010397543308138616,0.0,0.010397543308138616
12,1,4,batt_bel4,0.009023864759636294,0.0,0.009023864759636294
15,1,5,batt_bel5,0.009206985685734095,0.0,0.009206985685734095
18,1,6,batt_bel6,0.008978779081887479,0.0,0.008978779081887479
21,1,7,batt_bel7,0.00891529003204418,0.0,0.00891529003204418
24,1,8,batt_bel8,0.009972283761479035,0.0,0.009972283761479035
27,1,9,batt_bel9,0.009980844007601518,0.0,0.009980844007601518
30,1,10,batt_bel10,0.00906493576313907,0.0,0.00906493576313907
33,1,11,batt_bel11,0.009923636201837074,0.0,0.009923636201837074
36,1,12,batt_bel12,0.008629750848532566,0.0,0.008629750848532566
39,1,13,batt_bel13,0.9624243830962447,0.0,0.9624243830962447
42,1,14,batt_bel14,0.008280078968609014,0.0,0.008280078968609014
45,1,15,batt_bel15,0.6302123839326532,0.0,0.6302123839326532
48,1,16,batt_bel16,0.00938487467186838,0.0,0.00938487467186838
51,1,17,batt_bel17,0.8047523779710914,0.0,0.8047523779710914
54,1,18,batt_bel18,0.007984056165189444,0.0,0.007984056165189444
57,1,19,batt_bel19,0.008320596242509994,0.0,0.008320596242509994
60,1,20,batt_bel20,0.1429688894307032,0.0,0.1429688894307032
63,1,21,batt_bel21,0.008156647739562517,0.0,0.008156647739562517
66,1,22,batt_bel22,0.00799950422265652,0.0,0.00799950422265652
69,1,23,batt_bel23,0.007991872299751032,0.0,0.007991872299751032
72,1,24,batt_bel24,0.007901485045589157,0.0,0.007901485045589157
75,1,25,batt_bel25,0.15786284358759892,0.0,0.15786284358759892
78,1,26,batt_bel26,0.008009887855461938,0.0,0.008009887855461938
81,1,27,batt_bel27,0.008056430937956176,0.0,0.008056430937956176
84,1,28,batt_bel28,0.007968113465588145,0.0,0.007968113465588145
87,1,29,batt_bel29,0.007920149701641644,0.0,0.007920149701641644
90,1,30,batt_bel30,0.1784687961911975,0.0,0.1784687961911975
93,1,31,batt_bel31,0.008011177327275375,0.0,0.008011177327275375
96,1,32,batt_bel32,0.008127993759054146,0.0,0.008127993759054146
99,1,33,batt_bel33,0.007956454766128681,0.0,0.007956454766128681
102,1,34,batt_bel34,0.007962919029958944,0.0,0.007962919029958944
105,1,35,batt_bel35,0.007932015796167301,0.0,0.007932015796167301
108,1,36,batt_bel36,0.007871751452609219,0.0,0.007871751452609219
111,1,37,batt_bel37,0.007941912470929222,0.0,0.007941912470929222
114,1,38,batt_bel38,0.008147680418379512,0.0,0.008147680418379512
117,1,39,batt_bel39,0.007899245653462438,0.0,0.007899245653462438
120,1,40,batt_bel40,0.007912428562817696,0.0,0.007912428562817696
123,1,41,batt_bel41,0.007909680659035783,0.0,0.007909680659035783
126,1,42,batt_bel42,0.00791124803612073,0.0,0.00791124803612073
129,1,43,batt_bel43,0.008099186610587922,0.0,0.008099186610587922
132,1,44,batt_bel44,0.008016629175296382,0.0,0.008016629175296382
135,1,45,batt_bel45,0.007954389570181122,0.0,0.007954389570181122
138,1,46,batt_bel46,0.008030104590125167,0.0,0.008030104590125167
141,1,47,batt_bel47,0.007988718293871239,0.0,0.007988718293871239
144,1,48,batt_bel48,0.008017724310876677,0.0,0.008017724310876677
147,1,49,batt_bel49,0.008267473628091495,0.0,0.008267473628091495
150,1,50,batt_bel50,0.008414087090914853,0.0,0.008414087090914853
153,1,51,batt_bel51,0.008121822347410641,0.0,0.008121822347410641
156,1,52,batt_bel52,0.008138461520345386,0.0,0.008138461520345386
159,1,53,batt_bel53,0.008080610165537388,0.0,0.008080610165537388
162,1,54,batt_bel54,0.0079974620757056,0.0,0.0079974620757056
165,1,55,batt_bel55,0.008300347899971793,0.0,0.008300347899971793
168,1,56,batt_bel56,0.00812653142254578,0.0,0.00812653142254578
171,1,57,batt_bel57,0.00818756161377109,0.0,0.00818756161377109
174,1,58,batt_bel58,0.008321855032832054,0.0,0.008321855032832054
177,1,59,batt_bel59,0.007934035542276077,0.0,0.007934035542276077
