ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,7.708737734082545,122.131,-114.42226226591745,6.211664478193201,3.0667719577346553,0.44958926704192587,0,0,1,0
2,pltd_kefamenanu,1,diesel,,9.2219565317464e-11,4.2,-4.199999999907781,7.431009042430279e-11,1.4939125536299314e-10,2.1900782297075027e-11,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,33.00000000005539,33.0,5.538680625249981e-11,26.59124422853594,247.223778592081,36.24304609027795,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,1.405027205692022e-10,16.8,-16.799999999859498,1.13216429012822e-10,6.19415065620534e-10,9.080634921181748e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,9.2219565317464e-11,4.2,-4.199999999907781,7.431009042430279e-11,1.4939125536731854e-10,2.1900782297709135e-11,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.3915979479861562e-10,8.4,-8.39999999986084,1.121343057659613e-10,6.153461635278964e-10,9.020984750425473e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,9.2219565317464e-11,4.2,-4.199999999907781,7.431009042430279e-11,1.493912553532901e-10,2.190078229565256e-11,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.0827850052164805e-11,2.1,-2.0999999999891723,8.72503046080596e-12,5.195198577179961e-11,7.616169551051066e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,9.2219565317464e-11,4.2,-4.199999999907781,7.431009042430279e-11,1.4939125536151184e-10,2.1900782296857866e-11,0,0,0,1
10,pltmg_maumere,1,gas,,1.405027205692022e-10,16.8,-16.799999999859498,1.13216429012822e-10,6.194150655225639e-10,9.080634919745504e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.3344436666784532e-10,4.2,-4.199999999866556,1.075288407570006e-10,5.815892986269423e-10,8.526108562772317e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,6.080318785556914e-10,0.9954,-0.9953999993919681,4.899492176176593e-10,7.640990134789714e-10,1.1201703946426673e-10,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.0827850052164843e-11,2.1,-2.0999999999891723,8.725030460805991e-12,5.195198577179975e-11,7.616169551051086e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,5.531586300122626e-11,0.42,-0.4199999999446841,4.457326129622345e-11,3.3935051891315066e-10,4.9748841182556945e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.5418825206349006e-11,0.672,-0.6719999999845813,1.2424416569043768e-11,4.226449087754772e-11,6.1959812263227025e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,1.3344436666784532e-10,4.2,-4.199999999866556,1.075288407570006e-10,5.815892982288113e-10,8.526108556935712e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,6.00637256923232e-10,0.42,-0.4199999993993627,4.839906664114166e-10,7.610043311340166e-10,1.1156335852992571e-10,0,1,0,1
18,plts_adonara,1,solar,PLN,6.077421879820775e-10,1.68,-1.6799999993922579,4.897157863208818e-10,7.596482541553116e-10,1.1136455742462322e-10,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,6.032530213496141e-10,0.504,-0.503999999396747,4.860984370388749e-10,7.631707861567549e-10,1.1188096118808739e-10,0,1,0,1
20,plts_betun,1,solar,IPP,5.954372514028167e-10,0.252,-0.25199999940456275,4.798005265089054e-10,7.56906846763752e-10,1.1096266665582114e-10,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,1.3344436666784532e-10,4.2,-4.199999999866556,1.075288407570006e-10,5.815892991121881e-10,8.52610856988603e-11,0,0,0,1
22,plts_flores,1,solar,PLN,6.029654611424915e-10,12.6,-12.599999999397035,4.8586672238136e-10,7.429943850151644e-10,1.0892309750412045e-10,0,1,0,1
23,plts_lembata,1,solar,PLN,6.073373975433163e-10,1.26,-1.2599999993926627,4.893896080960801e-10,7.615041886463516e-10,1.1163663772240996e-10,0,1,0,1
24,pltb_maubesi,1,wind,PLN,1.6739265322606609e-10,0.84,-0.8399999998326073,1.3488420981786294e-10,3.804506060516579e-11,5.577412063163932e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,6.079640308151615e-10,1.8312,-1.8311999993920358,4.898945462286053e-10,7.591819418155178e-10,1.1129619595988119e-10,0,1,0,1
26,plts_rote,1,solar,PLN,6.032530213496138e-10,0.504,-0.503999999396747,4.860984370388746e-10,7.631707861567543e-10,1.1188096118808732e-10,0,1,0,1
27,plts_rote,1,solar,PLN,6.075633511817632e-10,0.84,-0.8399999993924366,4.895716804713606e-10,7.648072686804824e-10,1.1212086979182755e-10,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,5.954372514028134e-10,0.252,-0.25199999940456275,4.798005265089029e-10,7.569068467637476e-10,1.109626666558205e-10,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,1.0272492061752927e-11,1.26,-1.2599999999897276,8.277525613615463e-12,5.038957586652472e-11,7.387120005205323e-12,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.5450078517563945e-11,0.84,-0.8399999999845499,1.2449600339694238e-11,4.204517383650379e-11,6.163829312488984e-12,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.00000000005637,100.0,5.637446065520635e-11,80.5795279651706,765.6912786586491,112.25046579818836,0,0,1,-1
