ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,1.569671829221726e-8,0.2773,-0.2772999843032817,8.337811029343204e-9
2,plts_bel1,1,1,solar,3.93824685186979e-9,0.0,3.93824685186979e-9,6.150821874410176e-9
3,batt_bel1,1,1,battery,0.0022879082875504127,0.0,0.0022879082875504127,0.002015252347725494
4,pltd_bel2,1,2,diesel,1.6968570105180925e-8,0.846,-0.8459999830314299,9.010724748943733e-9
5,plts_bel2,1,2,solar,1.5347098383488103e-9,0.0,1.5347098383488103e-9,2.2550683543088174e-9
6,batt_bel2,1,2,battery,0.0022832544154550616,0.0,0.0022832544154550616,0.002013838307673637
7,pltd_bel3,1,3,diesel,1.6966618691501584e-8,0.842,-0.8419999830333813,9.009678828099781e-9
8,plts_bel3,1,3,solar,1.5352244692537878e-9,0.0,1.5352244692537878e-9,2.25582290489872e-9
9,batt_bel3,1,3,battery,0.0022832805615640587,0.0,0.0022832805615640587,0.0020138605163844657
10,pltd_bel4,1,4,diesel,1.631762174943021e-8,0.3891,-0.38909998368237825,8.6493718586038e-9
11,plts_bel4,1,4,solar,1.5561168906704566e-9,0.0,1.5561168906704566e-9,2.28816427137669e-9
12,batt_bel4,1,4,battery,0.002287750992465766,0.0,0.002287750992465766,0.0020141348012168306
13,pltd_bel5,1,5,diesel,1.647269693052129e-8,0.4381,-0.43809998352730306,8.734505205208633e-9
14,plts_bel5,1,5,solar,1.552022344930463e-9,0.0,1.552022344930463e-9,2.281888921163949e-9
15,batt_bel5,1,5,battery,0.002287260889875266,0.0,0.002287260889875266,0.0020145453455771467
16,pltd_bel6,1,6,diesel,1.628306052519572e-8,0.3851,-0.3850999837169395,8.638832174577606e-9
17,plts_bel6,1,6,solar,3.922702464199697e-9,0.0,3.922702464199697e-9,6.125608295459769e-9
18,batt_bel6,1,6,battery,0.0022845613489863373,0.0,0.0022845613489863373,0.002014335488596385
19,pltd_bel7,1,7,diesel,1.6195060469714606e-8,0.3586,-0.3585999838049395,8.583326305517935e-9
20,plts_bel7,1,7,solar,1.5577094178185273e-9,0.0,1.5577094178185273e-9,2.2906953166213103e-9
21,batt_bel7,1,7,battery,0.002288203779904144,0.0,0.002288203779904144,0.002013931578580292
22,pltd_bel8,1,8,diesel,1.68746649554168e-8,0.7089,-0.708899983125335,8.976575592633727e-9
23,plts_bel8,1,8,solar,1.8660048776850104e-9,0.0,1.8660048776850104e-9,2.8120110267176033e-9
24,batt_bel8,1,8,battery,0.002285258582594135,0.0,0.002285258582594135,0.0020149842956206396
25,pltd_bel9,1,9,diesel,1.686301647286326e-8,0.6833,-0.6832999831369836,8.956226250225136e-9
26,plts_bel9,1,9,solar,1.7818048130175223e-9,0.0,1.7818048130175223e-9,2.6693314025654216e-9
27,batt_bel9,1,9,battery,0.0022851700053443643,0.0,0.0022851700053443643,0.002014920786961171
28,pltd_bel10,1,10,diesel,1.6345344194442933e-8,0.3968,-0.3967999836546558,8.6643489110296e-9
29,plts_bel10,1,10,solar,1.554096620042439e-9,0.0,1.554096620042439e-9,2.285177262963513e-9
30,batt_bel10,1,10,battery,0.0022877478368339556,0.0,0.0022877478368339556,0.002014276636222507
31,pltd_bel11,1,11,diesel,1.6838638640452987e-8,0.6602,-0.6601999831613614,8.93966636719439e-9
32,plts_bel11,1,11,solar,1.539773881563137e-9,0.0,1.539773881563137e-9,2.262952664026638e-9
33,batt_bel11,1,11,battery,0.0022851393904596484,0.0,0.0022851393904596484,0.002014999701509865
34,pltd_bel12,1,12,diesel,1.57748570157185e-8,0.284,-0.28399998422514294,8.368606867379369e-9
35,plts_bel12,1,12,solar,1.5630417359903556e-9,0.0,1.5630417359903556e-9,2.2990391675076297e-9
36,batt_bel12,1,12,battery,0.002289877790152953,0.0,0.002289877790152953,0.0020137009205530784
37,pltd_bel13,1,13,diesel,1.5638449870772778e-8,0.2672,-0.2671999843615501,8.338286720395526e-9
38,plts_bel13,1,13,solar,2.526495091779303e-9,0.0,2.526495091779303e-9,3.871923338726791e-9
39,batt_bel13,1,13,battery,0.152084297664434,0.0,0.152084297664434,0.16646061097820658
40,pltd_bel14,1,14,diesel,1.5005681793910157e-8,0.2055,-0.2054999849943182,8.00381102699747e-9
41,plts_bel14,1,14,solar,3.946680553482977e-9,0.0,3.946680553482977e-9,6.164562420540937e-9
42,batt_bel14,1,14,battery,0.002292166502215891,0.0,0.002292166502215891,0.002017172050879246
43,pltd_bel15,1,15,diesel,1.4654087052559623e-8,0.1749,-0.17489998534591294,7.86231320403955e-9
44,plts_bel15,1,15,solar,2.549951358555549e-9,0.0,2.549951358555549e-9,3.909462227709481e-9
45,batt_bel15,1,15,battery,0.09959930320776039,0.0,0.09959930320776039,0.10894637360268314
46,pltd_bel16,1,16,diesel,1.65964001036114e-8,0.4908,-0.4907999834035999,8.803820004156703e-9
47,plts_bel16,1,16,solar,1.5500420916758497e-9,0.0,1.5500420916758497e-9,2.2786837069719027e-9
48,batt_bel16,1,16,battery,0.002286585308348393,0.0,0.002286585308348393,0.0020147366512633415
49,pltd_bel17,1,17,diesel,1.5242741462160734e-8,0.2234,-0.22339998475725853,8.135629465438859e-9
50,plts_bel17,1,17,solar,1.9758136532875127e-9,0.0,1.9758136532875127e-9,2.952122067336189e-9
51,batt_bel17,1,17,battery,0.1271702983103101,0.0,0.1271702983103101,0.13925639320160918
52,pltd_bel18,1,18,diesel,1.3982420115401978e-8,0.1297,-0.1296999860175799,7.512130796240302e-9
53,plts_bel18,1,18,solar,1.9128261331740767e-9,0.0,1.9128261331740767e-9,2.885831450526799e-9
54,batt_bel18,1,18,battery,0.002298891361721425,0.0,0.002298891361721425,0.0020153663173508346
55,pltd_bel19,1,19,diesel,1.5007867364771415e-8,0.203,-0.20299998499213265,7.998284094560144e-9
56,plts_bel19,1,19,solar,1.5696394064031575e-9,0.0,1.5696394064031575e-9,2.3093718753324034e-9
57,batt_bel19,1,19,battery,0.0022933247393311343,0.0,0.0022933247393311343,0.002014215316169385
58,pltd_bel20,1,20,diesel,0.006128793210564236,0.0444,-0.03827120678943577,0.01249952894485518
59,plts_bel20,1,20,solar,0.13240167133058722,0.0,0.13240167133058722,0.18103083779866916
60,batt_bel20,1,20,battery,0.04337617918124642,0.0,0.04337617918124642,0.08169719601800558
61,pltd_bel21,1,21,diesel,1.4553394309868655e-8,0.1664,-0.16639998544660567,7.773398827221127e-9
62,plts_bel21,1,21,solar,1.2473656119597241e-9,0.0,1.2473656119597241e-9,1.7838853322285416e-9
63,batt_bel21,1,21,battery,0.002295528353560075,0.0,0.002295528353560075,0.0020148826452433
64,pltd_bel22,1,22,diesel,1.3809868174527772e-8,0.1183,-0.11829998619013182,7.411680169140127e-9
65,plts_bel22,1,22,solar,1.2555173197078105e-9,0.0,1.2555173197078105e-9,1.7958392803202022e-9
66,batt_bel22,1,22,battery,0.002299370516728834,0.0,0.002299370516728834,0.002015489476614471
67,pltd_bel23,1,23,diesel,1.3710663573067634e-8,0.1143,-0.11429998628933642,7.371370389609387e-9
68,plts_bel23,1,23,solar,3.939952204242931e-9,0.0,3.939952204242931e-9,6.154058255001961e-9
69,batt_bel23,1,23,battery,0.002301405714519424,0.0,0.002301405714519424,0.0020214420162803963
70,pltd_bel24,1,24,diesel,1.2714084305676458e-8,0.0672,-0.0671999872859157,6.8618064524331725e-9
71,plts_bel24,1,24,solar,1.2469951673389262e-9,0.0,1.2469951673389262e-9,1.783623752211461e-9
72,batt_bel24,1,24,battery,0.002306534427564171,0.0,0.002306534427564171,0.0020164729168342145
73,pltd_bel25,1,25,diesel,0.006767179569254746,0.049,-0.042232820430745256,0.013801723123641717
74,plts_bel25,1,25,solar,0.14619262350316165,0.0,0.14619262350316165,0.19988785128556397
75,batt_bel25,1,25,battery,0.04789466910998745,0.0,0.04789466910998745,0.09020717791116704
76,pltd_bel26,1,26,diesel,1.4122343640475664e-8,0.1371,-0.13709998587765637,7.567000256425488e-9
77,plts_bel26,1,26,solar,1.3017971882215074e-9,0.0,1.3017971882215074e-9,1.8605891066180717e-9
78,batt_bel26,1,26,battery,0.0022972404313129032,0.0,0.0022972404313129032,0.002017666117870103
79,pltd_bel27,1,27,diesel,1.3929855726033698e-8,0.1254,-0.1253999860701443,7.48082854279833e-9
80,plts_bel27,1,27,solar,1.8258691807496712e-9,0.0,1.8258691807496712e-9,2.7386068052738713e-9
81,batt_bel27,1,27,battery,0.0022990128967951226,0.0,0.0022990128967951226,0.0020152300948629806
82,pltd_bel28,1,28,diesel,1.3318471170760984e-8,0.093,-0.09299998668152883,7.1771989732622834e-9
83,plts_bel28,1,28,solar,1.8260477881543845e-9,0.0,1.8260477881543845e-9,2.738911341579684e-9
84,batt_bel28,1,28,battery,0.002302543447812797,0.0,0.002302543447812797,0.002015669849477232
85,pltd_bel29,1,29,diesel,1.268618512697581e-8,0.0662,-0.06619998731381486,6.852151279951539e-9
86,plts_bel29,1,29,solar,1.570710964259914e-9,0.0,1.570710964259914e-9,2.3112838824748423e-9
87,batt_bel29,1,29,battery,0.0023068677568700655,0.0,0.0023068677568700655,0.002016696819230753
88,pltd_bel30,1,30,diesel,0.006968685316496785,0.0508,-0.043831314683503216,0.012335584818180525
89,plts_bel30,1,30,solar,0.1503046893508657,0.0,0.1503046893508657,0.20964704474664234
90,batt_bel30,1,30,battery,0.04959794473622021,0.0,0.04959794473622021,0.09487832453384228
91,pltd_bel31,1,31,diesel,1.3523897714136533e-8,0.1035,-0.10349998647610228,7.283860170904916e-9
92,plts_bel31,1,31,solar,2.0856716772376613e-9,0.0,2.0856716772376613e-9,3.148374374404851e-9
93,batt_bel31,1,31,battery,0.002300961870677827,0.0,0.002300961870677827,0.002015845355394519
94,pltd_bel32,1,32,diesel,1.439540152258093e-8,0.1553,-0.15529998560459848,7.70856106739369e-9
95,plts_bel32,1,32,solar,1.8273405384619883e-9,0.0,1.8273405384619883e-9,2.740597246546293e-9
96,batt_bel32,1,32,battery,0.002296416464100379,0.0,0.002296416464100379,0.0020147923568923217
97,pltd_bel33,1,33,diesel,1.3292925139351522e-8,0.0918,-0.09179998670707487,7.16440141353117e-9
98,plts_bel33,1,33,solar,1.8280687679085212e-9,0.0,1.8280687679085212e-9,2.741904489738402e-9
99,batt_bel33,1,33,battery,0.0023027002306445603,0.0,0.0023027002306445603,0.002015734444150187
100,pltd_bel34,1,34,diesel,1.2881610767539895e-8,0.0739,-0.07389998711838923,6.9589688343171515e-9
101,plts_bel34,1,34,solar,2.060013696466122e-9,0.0,2.060013696466122e-9,3.1095917236639606e-9
102,batt_bel34,1,34,battery,0.0023053583579587976,0.0,0.0023053583579587976,0.0020162182132939417
103,pltd_bel35,1,35,diesel,1.2929689248471276e-8,0.0758,-0.07579998707031076,6.981122427675377e-9
104,plts_bel35,1,35,solar,1.8237734624813556e-9,0.0,1.8237734624813556e-9,2.7353850347967947e-9
105,batt_bel35,1,35,battery,0.0023052395470321107,0.0,0.0023052395470321107,0.0020162797830314194
106,pltd_bel36,1,36,diesel,1.210827602381401e-8,0.0444,-0.04439998789172398,6.533107648976765e-9
107,plts_bel36,1,36,solar,1.5581835833412163e-9,0.0,1.5581835833412163e-9,2.291763181044937e-9
108,batt_bel36,1,36,battery,0.002311703179956364,0.0,0.002311703179956364,0.0020205727808136286
109,pltd_bel37,1,37,diesel,1.2970609489544082e-8,0.0776,-0.07759998702939051,6.998385661985306e-9
110,plts_bel37,1,37,solar,1.5733554276011902e-9,0.0,1.5733554276011902e-9,2.3153418588919084e-9
111,batt_bel37,1,37,battery,0.0023046271317815905,0.0,0.0023046271317815905,0.0020158963918824394
112,pltd_bel38,1,38,diesel,1.4437734738052027e-8,0.1587,-0.15869998556226528,7.723484057616059e-9
113,plts_bel38,1,38,solar,1.5749063774259466e-9,0.0,1.5749063774259466e-9,2.317395311102636e-9
114,batt_bel38,1,38,battery,0.00229586378844196,0.0,0.00229586378844196,0.002014559351894283
115,pltd_bel39,1,39,diesel,1.281294082521876e-8,0.0712,-0.07119998718705918,6.920040271089302e-9
116,plts_bel39,1,39,solar,3.910807044342906e-9,0.0,3.910807044342906e-9,6.107345173631222e-9
117,batt_bel39,1,39,battery,0.0023096500257522084,0.0,0.0023096500257522084,0.0020254758316332958
118,pltd_bel40,1,40,diesel,1.2624116216692634e-8,0.0638,-0.06379998737588378,6.819415437280161e-9
119,plts_bel40,1,40,solar,1.5701471999286446e-9,0.0,1.5701471999286446e-9,2.3103757732307102e-9
120,batt_bel40,1,40,battery,0.0023073118072009903,0.0,0.0023073118072009903,0.002016910992736076
121,pltd_bel41,1,41,diesel,1.275804598138615e-8,0.069,-0.06899998724195402,6.889675337904641e-9
122,plts_bel41,1,41,solar,1.5757441050544648e-9,0.0,1.5757441050544648e-9,2.3186951864285105e-9
123,batt_bel41,1,41,battery,0.0023063129183301307,0.0,0.0023063129183301307,0.002016585210223765
124,pltd_bel42,1,42,diesel,1.2966170469403436e-8,0.0776,-0.07759998703382953,6.9984173150907025e-9
125,plts_bel42,1,42,solar,3.917792349748206e-9,0.0,3.917792349748206e-9,6.118560735933331e-9
126,batt_bel42,1,42,battery,0.0023080379174271193,0.0,0.0023080379174271193,0.002024607334114806
127,pltd_bel43,1,43,diesel,1.4110361150870874e-8,0.1365,-0.13649998588963885,7.569461322176484e-9
128,plts_bel43,1,43,solar,1.8244928596593001e-9,0.0,1.8244928596593001e-9,2.736507949161302e-9
129,batt_bel43,1,43,battery,0.002298041762558651,0.0,0.002298041762558651,0.0020151279401808973
130,pltd_bel44,1,44,diesel,1.3598903048940222e-8,0.1069,-0.10689998640109695,7.317232002266023e-9
131,plts_bel44,1,44,solar,1.8253081911555723e-9,0.0,1.8253081911555723e-9,2.737856362672942e-9
132,batt_bel44,1,44,battery,0.002300951506273038,0.0,0.002300951506273038,0.0020154963361923017
133,pltd_bel45,1,45,diesel,1.3053122796930388e-8,0.081,-0.08099998694687721,7.0437434183601755e-9
134,plts_bel45,1,45,solar,1.823403556738617e-9,0.0,1.823403556738617e-9,2.734915044866823e-9
135,batt_bel45,1,45,battery,0.002304352024722771,0.0,0.002304352024722771,0.0020160607415422222
136,pltd_bel46,1,46,diesel,1.364636335332703e-8,0.1094,-0.10939998635363664,7.340807688571999e-9
137,plts_bel46,1,46,solar,1.8248348052817896e-9,0.0,1.8248348052817896e-9,2.7371577347580596e-9
138,batt_bel46,1,46,battery,0.0023007235355145673,0.0,0.0023007235355145673,0.002015508865730783
139,pltd_bel47,1,47,diesel,1.3689438446162943e-8,0.1131,-0.11309998631056156,7.360849471146228e-9
140,plts_bel47,1,47,solar,3.939539609134583e-9,0.0,3.939539609134583e-9,6.15340062063574e-9
141,batt_bel47,1,47,battery,0.002301591065421729,0.0,0.002301591065421729,0.002021524849410324
142,pltd_bel48,1,48,diesel,1.3652068463335273e-8,0.1097,-0.10969998634793154,7.3436505258822735e-9
143,plts_bel48,1,48,solar,1.8258336451512306e-9,0.0,1.8258336451512306e-9,2.7386265560978127e-9
144,batt_bel48,1,48,battery,0.002300633280493577,0.0,0.002300633280493577,0.0020154368183415627
145,pltd_bel49,1,49,diesel,1.496995487443128e-8,0.1999,-0.1998999850300451,7.991434773801542e-9
146,plts_bel49,1,49,solar,2.3530558621970375e-9,0.0,2.3530558621970375e-9,3.6175854645980006e-9
147,batt_bel49,1,49,battery,0.0022934842368862052,0.0,0.0022934842368862052,0.0020138305838116504
148,pltd_bel50,1,50,diesel,1.535043019143465e-8,0.2348,-0.2347999846495698,8.173869345371302e-9
149,plts_bel50,1,50,solar,2.3441736367090415e-9,0.0,2.3441736367090415e-9,3.603703952340981e-9
150,batt_bel50,1,50,battery,0.0022918473082685995,0.0,0.0022918473082685995,0.002013514784719024
151,pltd_bel51,1,51,diesel,1.427709119716567e-8,0.1473,-0.14729998572290878,7.650967527065622e-9
152,plts_bel51,1,51,solar,1.8246663117057095e-9,0.0,1.8246663117057095e-9,2.736685396992919e-9
153,batt_bel51,1,51,battery,0.002297106728168109,0.0,0.002297106728168109,0.002014934086980191
154,pltd_bel52,1,52,diesel,1.4457524570090823e-8,0.1602,-0.16019998554247544,7.743672482509213e-9
155,plts_bel52,1,52,solar,2.354558242381257e-9,0.0,2.354558242381257e-9,3.6201872401209146e-9
156,batt_bel52,1,52,battery,0.002295981655405473,0.0,0.002295981655405473,0.0020143680145584967
157,pltd_bel53,1,53,diesel,1.4124559883209351e-8,0.1374,-0.1373999858754401,7.576472102299194e-9
158,plts_bel53,1,53,solar,1.826651493790068e-9,0.0,1.826651493790068e-9,2.7396895913021627e-9
159,batt_bel53,1,53,battery,0.0022978639352177013,0.0,0.0022978639352177013,0.002015022770210964
160,pltd_bel54,1,54,diesel,1.3937926232220857e-8,0.1263,-0.12629998606207377,7.491172097508988e-9
161,plts_bel54,1,54,solar,2.4316162012071973e-9,0.0,2.4316162012071973e-9,3.737831620291655e-9
162,batt_bel54,1,54,battery,0.0022990537017856722,0.0,0.0022990537017856722,0.002017016257234981
163,pltd_bel55,1,55,diesel,1.5054162182383057e-8,0.2064,-0.2063999849458378,8.026918596724238e-9
164,plts_bel55,1,55,solar,1.824219788508457e-9,0.0,1.824219788508457e-9,2.7355439983486806e-9
165,batt_bel55,1,55,battery,0.0022933366389959334,0.0,0.0022933366389959334,0.0020142730823435326
166,pltd_bel56,1,56,diesel,1.4458752485837172e-8,0.1596,-0.15959998554124752,7.72776861841242e-9
167,plts_bel56,1,56,solar,1.2501897074545503e-9,0.0,1.2501897074545503e-9,1.7879609976795452e-9
