Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.6601600416511505e-12,5.185974633045909e-9,7.602647233971033e-13
1,2,2000.0,1.6853295175694497e-12,5.4482768539357534e-9,7.987182715769441e-13
1,3,2000.0,1.6852899011203524e-12,5.447734371132434e-9,7.986387435098792e-13
1,4,2000.0,1.6734922135808985e-12,5.29538805013473e-9,7.763047481108587e-13
1,5,2000.0,1.676778889346903e-12,5.325502847664433e-9,7.807195823192997e-13
1,6,2000.0,1.6733179403564122e-12,5.2923127849994675e-9,7.758539137426118e-13
1,7,2000.0,1.6707978528342333e-12,5.272644727230003e-9,7.729705732795526e-13
1,8,2000.0,1.6899377579076557e-12,5.425484229893794e-9,7.953768691909135e-13
1,9,2000.0,1.6836002214158217e-12,5.419206927947231e-9,7.944566157061252e-13
1,10,2000.0,1.6741391214806913e-12,5.300556580368966e-9,7.770624554825572e-13
1,11,2000.0,1.68297791921977e-12,5.4131905851596715e-9,7.935746188764261e-13
1,12,2000.0,1.6610363680017056e-12,5.1958354256904575e-9,7.617103172001683e-13
1,13,2000.0,1.681537604766198e-12,5.382324216787033e-9,7.89049604260357e-13
1,14,2000.0,1.63722965942925e-12,5.051745555177658e-9,7.405867187830666e-13
1,15,2000.0,1.6729317531512542e-12,5.249744289653456e-9,7.696133654118427e-13
1,16,2000.0,1.6788932302206143e-12,5.352840047464996e-9,7.847272202495724e-13
1,17,2000.0,1.6555389355799874e-12,5.331298146580511e-9,7.815691740815427e-13
1,18,2000.0,1.6556765398872084e-12,4.839998013187388e-9,7.095444947398887e-13
1,19,2000.0,1.6350708545897753e-12,5.047310453950051e-9,7.399365322228473e-13
1,20,2000.0,6.719431207935996e-13,4.525557532033833e-9,6.63447469138232e-13
1,21,2000.0,1.6071436584482974e-12,4.950096587678747e-9,7.256849636401243e-13
1,22,2000.0,1.547391715450946e-12,4.788515848001865e-9,7.019972009630837e-13
1,23,2000.0,1.542750651841626e-12,4.7704959487182505e-9,6.993554808017079e-13
1,24,2000.0,1.4547666673735092e-12,4.5034504004735265e-9,6.602065600613342e-13
1,25,2000.0,6.731295405785262e-13,4.5704864418521015e-9,6.70034054613961e-13
1,26,2000.0,1.572407308219606e-12,4.859513040356773e-9,7.124054008921243e-13
1,27,2000.0,1.5570059519319386e-12,4.819552701687812e-9,7.065472087537706e-13
1,28,2000.0,1.5145890386465935e-12,4.674246453172828e-9,6.85245289124011e-13
1,29,2000.0,1.4484879046398887e-12,4.497850915801336e-9,6.593856746990453e-13
1,30,2000.0,6.736661490603769e-13,4.583031845941667e-9,6.718732128908414e-13
1,31,2000.0,1.527771549567205e-12,4.724729462691274e-9,6.926461065177615e-13
1,32,2000.0,1.5956266956510307e-12,4.919860471789707e-9,7.212523441405025e-13
1,33,2000.0,1.5121905033313483e-12,4.667475231668747e-9,6.842526269518791e-13
