ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,0.0,122.131,-122.131,0.0,0.0,0.0,0,0,1,0
2,pltd_kefamenanu,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,33.0,33.0,0.0,26.75060411780966,147.26186930874672,22.177013499035038,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,0.0,16.8,-16.8,0.0,0.0,0.0,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
7,pltd_ruteng,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
9,pltd_bajawa,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
10,pltmg_maumere,1,gas,,0.0,16.8,-16.8,0.0,0.0,0.0,0,0,0,1
11,pltmg_alor,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,0.0,0.9954,-0.9954,0.0,0.0,0.0,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,0.0,0.42,-0.42,0.0,0.0,0.0,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,0.0,0.672,-0.672,0.0,0.0,0.0,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
17,plts_adonara,1,solar,PLN,0.0,0.42,-0.42,0.0,0.0,0.0,0,1,0,1
18,plts_adonara,1,solar,PLN,1.68,1.68,0.0,1.3618489369066737,2.1531456899999997,0.32425461700751984,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,0.504,0.504,0.0,0.4085546810720021,0.648918666,0.09772440132133406,0,1,0,1
20,plts_betun,1,solar,IPP,0.252,0.252,0.0,0.20427734053600105,0.31486870800000005,0.047417893175724965,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
22,plts_flores,1,solar,PLN,0.0,12.6,-12.6,0.0,0.0,0.0,0,1,0,1
23,plts_lembata,1,solar,PLN,1.26,1.26,0.0,1.0213867026800052,1.6583589224999993,0.24974182646982918,0,1,0,1
24,pltb_maubesi,1,wind,PLN,0.0,0.84,-0.84,0.0,0.0,0.0,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,0.8967825291795578,1.8312,-0.9344174708204421,0.7269537702378922,1.1754151189659425,0.17701253612111595,0,1,0,1
26,plts_rote,1,solar,PLN,0.504,0.504,0.0,0.4085546810720021,0.6633435690000001,0.09989673058793175,0,1,0,1
27,plts_rote,1,solar,PLN,0.84,0.84,0.0,0.6809244684533369,1.1009901149999999,0.16580444589812696,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,0.252,0.252,0.0,0.20427734053600105,0.3308331870000001,0.04982207606400393,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,0.0,1.26,-1.26,0.0,0.0,0.0,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,0.0,0.84,-0.84,0.0,0.0,0.0,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.0,100.0,0.0,81.06243672063533,411.56021879969455,61.97922497405462,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,2.851330935884249,12.39,-9.538669064115751,2.3113583355970686,3.752801665495176,0.5651560284108416,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,17.1192,17.1192,0.0,13.877240667079004,22.531569893700002,3.3931589489700804,0,1,0,1
34,plts_lembata,1,solar,PLN,1.26,1.26,0.0,1.0213867026800052,1.615778392499999,0.24332937908586827,0,1,0,1
35,plts_sumba,1,solar,PLN,1.0552396986061157,2.1,-1.0447603013938844,0.8554030129336054,1.3714573758794264,0.206535669287628,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,0.0,1.26,-1.26,0.0,0.0,0.0,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,1.1334965523018776,2.1,-0.9665034476981225,0.9188399254402927,1.4692801907071384,0.2212673706787017,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,0.0,0.735,-0.735,0.0,0.0,0.0,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,0.0,12.6,-12.6,0.0,0.0,0.0,0,0,0,1
40,plts_sumba,1,solar,PLN,0.8742741726444334,2.1,-1.2257258273555667,0.7087079479647519,1.1252324506647418,0.16945523892288442,0,1,0,1
41,plts_sumba,1,solar,PLN,2.1,2.1,0.0,1.702311171133342,2.7153559500000006,0.4089210998101761,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,0.0,4.62,-4.62,0.0,0.0,0.0,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,0.0,4.62,-4.62,0.0,0.0,0.0,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,0.0,9.24,-9.24,0.0,0.0,0.0,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,2.1,2.1,0.0,1.702311171133342,2.6653949624999997,0.40139718680123787,0,1,0,1
48,pltm_flores,1,hydropower,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
52,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
53,plts_sumba,1,solar,PLN,2.1,2.1,0.0,1.702311171133342,2.7264391500000005,0.4105901827653652,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,0.0,21.0,-21.0,0.0,0.0,0.0,0,0,0,1
55,pltu_atambua,1,coal,PLN,24.0,24.0,0.0,19.454984812952482,144.25226917498705,21.723780472003774,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
58,plts_rote,1,solar,PLN,0.42,0.42,0.0,0.34046223422666844,0.5527863074999999,0.08324727548994308,0,1,0,1
