ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.0,0.2773,-0.2773,0.0
2,plts_bel1,1,1,solar,0.8148501172196588,0.0,0.8148501172196588,1.215777617656164
3,batt_bel1,1,1,battery,0.0,0.0,0.0,0.0
4,pltd_bel2,1,2,diesel,0.0,0.846,-0.846,0.0
5,plts_bel2,1,2,solar,0.0,0.0,0.0,0.0
6,batt_bel2,1,2,battery,0.0,0.0,0.0,0.0
7,pltd_bel3,1,3,diesel,0.0,0.842,-0.842,0.0
8,plts_bel3,1,3,solar,0.0,0.0,0.0,0.0
9,batt_bel3,1,3,battery,0.19308232448794801,0.0,0.19308232448794801,0.4735652057124052
10,pltd_bel4,1,4,diesel,0.0,0.3891,-0.3891,0.0
11,plts_bel4,1,4,solar,0.0,0.0,0.0,0.0
12,batt_bel4,1,4,battery,0.1486664470369607,0.0,0.1486664470369607,0.3662629714984519
13,pltd_bel5,1,5,diesel,0.0,0.4381,-0.4381,0.0
14,plts_bel5,1,5,solar,0.0,0.0,0.0,0.0
15,batt_bel5,1,5,battery,0.03835266391896236,0.0,0.03835266391896236,0.09273084709950187
16,pltd_bel6,1,6,diesel,0.0,0.3851,-0.3851,0.0
17,plts_bel6,1,6,solar,1.238773071703379,0.0,1.238773071703379,1.8556514037513978
18,batt_bel6,1,6,battery,0.14095637298110386,0.0,0.14095637298110386,0.34507277156230165
19,pltd_bel7,1,7,diesel,0.0,0.3586,-0.3586,0.0
20,plts_bel7,1,7,solar,0.0,0.0,0.0,0.0
21,batt_bel7,1,7,battery,0.03685006716591682,0.0,0.03685006716591682,0.08909779907829302
22,pltd_bel8,1,8,diesel,0.0,0.7089,-0.7089,0.0
23,plts_bel8,1,8,solar,0.0,0.0,0.0,0.0
24,batt_bel8,1,8,battery,0.03797495726064472,0.0,0.03797495726064472,0.09205811561712794
