ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,0.0,122.131,-122.131,0.0,0.0,0.0,0,0,1,0
2,pltd_kefamenanu,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,29.701805223280253,33.0,-3.298194776719747,24.077007064007915,230.24873089075467,34.674483198324204,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,0.0,16.8,-16.8,0.0,0.0,0.0,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
7,pltd_ruteng,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
9,pltd_bajawa,1,diesel,,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
10,pltmg_maumere,1,gas,,0.0,16.8,-16.8,0.0,0.0,0.0,0,0,0,1
11,pltmg_alor,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,0.0,0.9954,-0.9954,0.0,0.0,0.0,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,0.0,0.42,-0.42,0.0,0.0,0.0,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,0.0,0.672,-0.672,0.0,0.0,0.0,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
17,plts_adonara,1,solar,PLN,0.0,0.42,-0.42,0.0,0.0,0.0,0,1,0,1
18,plts_adonara,1,solar,PLN,0.0,1.68,-1.68,0.0,0.0,0.0,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,0.0,0.504,-0.504,0.0,0.0,0.0,0,1,0,1
20,plts_betun,1,solar,IPP,0.0,0.252,-0.252,0.0,0.0,0.0,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
22,plts_flores,1,solar,PLN,0.0,12.6,-12.6,0.0,0.0,0.0,0,1,0,1
23,plts_lembata,1,solar,PLN,0.0,1.26,-1.26,0.0,0.0,0.0,0,1,0,1
24,pltb_maubesi,1,wind,PLN,0.0,0.84,-0.84,0.0,0.0,0.0,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,0.0,1.8312,-1.8312,0.0,0.0,0.0,0,1,0,1
26,plts_rote,1,solar,PLN,0.0,0.504,-0.504,0.0,0.0,0.0,0,1,0,1
27,plts_rote,1,solar,PLN,0.0,0.84,-0.84,0.0,0.0,0.0,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,0.0,0.252,-0.252,0.0,0.0,0.0,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,0.0,1.26,-1.26,0.0,0.0,0.0,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,0.0,0.84,-0.84,0.0,0.0,0.0,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.0,100.0,0.0,81.06243672063533,772.9070634332139,116.39652857672797,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,0.0,12.39,-12.39,0.0,0.0,0.0,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,0.0,17.1192,-17.1192,0.0,0.0,0.0,0,1,0,1
34,plts_lembata,1,solar,PLN,0.0,1.26,-1.26,0.0,0.0,0.0,0,1,0,1
35,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,0.0,1.26,-1.26,0.0,0.0,0.0,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,0.0,0.735,-0.735,0.0,0.0,0.0,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,0.0,12.6,-12.6,0.0,0.0,0.0,0,0,0,1
40,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
41,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,0.0,4.62,-4.62,0.0,0.0,0.0,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,0.0,4.62,-4.62,0.0,0.0,0.0,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,0.0,9.24,-9.24,0.0,0.0,0.0,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
48,pltm_flores,1,hydropower,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
52,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
53,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,0.0,21.0,-21.0,0.0,0.0,0.0,0,0,0,1
55,pltu_atambua,1,coal,PLN,22.096115177793468,24.0,-1.9038848222065319,17.911649383717528,168.44785292778857,25.367532856933206,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,0.0,8.4,-8.4,0.0,0.0,0.0,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,0.0,4.2,-4.2,0.0,0.0,0.0,0,0,0,1
58,plts_rote,1,solar,PLN,0.0,0.42,-0.42,0.0,0.0,0.0,0,1,0,1
59,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
60,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
61,plt_ebt_base_timor_3,1,gas,PLN,0.0,21.0,-21.0,0.0,0.0,0.0,0,0,0,1
62,pltp_gunung_sirung,1,geothermal,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,0,0,1
63,plts_sumba,1,solar,PLN,0.0,2.1,-2.1,0.0,0.0,0.0,0,1,0,1
