ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,0.0071918478260869535,0.0,0.0071918478260869535
6,1,2,batt_bel2,0.5519850205640954,0.0,0.5519850205640954
9,1,3,batt_bel3,0.613697268784844,0.0,0.613697268784844
12,1,4,batt_bel4,0.0,0.0,0.0
15,1,5,batt_bel5,0.3025390386090056,0.0,0.3025390386090056
18,1,6,batt_bel6,0.009157647313691526,0.0,0.009157647313691526
21,1,7,batt_bel7,0.24681122557654817,0.0,0.24681122557654817
24,1,8,batt_bel8,0.4107718957180795,0.0,0.4107718957180795
27,1,9,batt_bel9,0.4665971907612783,0.0,0.4665971907612783
30,1,10,batt_bel10,0.0,0.0,0.0
33,1,11,batt_bel11,0.49700239999999996,0.0,0.49700239999999996
36,1,12,batt_bel12,0.0,0.0,0.0
39,1,13,batt_bel13,0.22463272,0.0,0.22463272
42,1,14,batt_bel14,0.0053298913043478315,0.0,0.0053298913043478315
45,1,15,batt_bel15,0.008512274122059292,0.0,0.008512274122059292
48,1,16,batt_bel16,0.0,0.0,0.0
51,1,17,batt_bel17,0.010871087623593585,0.0,0.010871087623593585
54,1,18,batt_bel18,0.0033641304347826243,0.0,0.0033641304347826243
57,1,19,batt_bel19,0.0631934782608693,0.0,0.0631934782608693
60,1,20,batt_bel20,0.22083831131518142,0.0,0.22083831131518142
63,1,21,batt_bel21,0.26357354108975484,0.0,0.26357354108975484
66,1,22,batt_bel22,0.23341929196177996,0.0,0.23341929196177996
69,1,23,batt_bel23,0.0085836956521739,0.0,0.0085836956521739
72,1,24,batt_bel24,0.17383765488172603,0.0,0.17383765488172603
75,1,25,batt_bel25,0.243865735279667,0.0,0.243865735279667
78,1,26,batt_bel26,0.21470596536116446,0.0,0.21470596536116446
81,1,27,batt_bel27,0.15761064685827403,0.0,0.15761064685827403
84,1,28,batt_bel28,0.21757923112935748,0.0,0.21757923112935748
87,1,29,batt_bel29,0.16704708320493467,0.0,0.16704708320493467
90,1,30,batt_bel30,0.29357715157188835,0.0,0.29357715157188835
93,1,31,batt_bel31,0.26135726886370136,0.0,0.26135726886370136
96,1,32,batt_bel32,0.2488975580576991,0.0,0.2488975580576991
99,1,33,batt_bel33,0.22778274556814093,0.0,0.22778274556814093
102,1,34,batt_bel34,0.20319581998104536,0.0,0.20319581998104536
