ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.0,0.2773,-0.2773,0.0
2,plts_bel1,1,1,solar,0.0,0.0,0.0,0.0
3,batt_bel1,1,1,battery,0.0,0.0,0.0,0.0
4,pltd_bel2,1,2,diesel,0.0,0.846,-0.846,0.0
5,plts_bel2,1,2,solar,0.0,0.0,0.0,0.0
6,batt_bel2,1,2,battery,0.0,0.0,0.0,0.0
7,pltd_bel3,1,3,diesel,0.0,0.842,-0.842,0.0
8,plts_bel3,1,3,solar,0.0,0.0,0.0,0.0
9,batt_bel3,1,3,battery,0.0,0.0,0.0,0.0
10,pltd_bel4,1,4,diesel,0.0,0.3891,-0.3891,0.0
11,plts_bel4,1,4,solar,0.0,0.0,0.0,0.0
12,batt_bel4,1,4,battery,0.0,0.0,0.0,0.0
13,pltd_bel5,1,5,diesel,0.0,0.4381,-0.4381,0.0
14,plts_bel5,1,5,solar,0.0,0.0,0.0,0.0
15,batt_bel5,1,5,battery,0.0,0.0,0.0,0.0
16,pltd_bel6,1,6,diesel,0.0,0.3851,-0.3851,0.0
17,plts_bel6,1,6,solar,0.0,0.0,0.0,0.0
18,batt_bel6,1,6,battery,0.0,0.0,0.0,0.0
19,pltd_bel7,1,7,diesel,0.0,0.3586,-0.3586,0.0
20,plts_bel7,1,7,solar,0.0,0.0,0.0,0.0
21,batt_bel7,1,7,battery,0.0,0.0,0.0,0.0
22,pltd_bel8,1,8,diesel,0.0,0.7089,-0.7089,0.0
23,plts_bel8,1,8,solar,0.0,0.0,0.0,0.0
24,batt_bel8,1,8,battery,0.0,0.0,0.0,0.0
25,pltd_bel9,1,9,diesel,0.0,0.6833,-0.6833,0.0
26,plts_bel9,1,9,solar,0.0,0.0,0.0,0.0
27,batt_bel9,1,9,battery,0.0,0.0,0.0,0.0
28,pltd_bel10,1,10,diesel,0.0,0.3968,-0.3968,0.0
29,plts_bel10,1,10,solar,0.0,0.0,0.0,0.0
30,batt_bel10,1,10,battery,0.0,0.0,0.0,0.0
31,pltd_bel11,1,11,diesel,0.0,0.6602,-0.6602,0.0
32,plts_bel11,1,11,solar,0.0,0.0,0.0,0.0
33,batt_bel11,1,11,battery,0.0,0.0,0.0,0.0
34,pltd_bel12,1,12,diesel,0.0,0.284,-0.284,0.0
35,plts_bel12,1,12,solar,0.0,0.0,0.0,0.0
36,batt_bel12,1,12,battery,0.0,0.0,0.0,0.0
37,pltd_bel13,1,13,diesel,0.0,0.2672,-0.2672,0.0
38,plts_bel13,1,13,solar,0.0,0.0,0.0,0.0
39,batt_bel13,1,13,battery,0.0,0.0,0.0,0.0
40,pltd_bel14,1,14,diesel,0.0,0.2055,-0.2055,0.0
41,plts_bel14,1,14,solar,0.0,0.0,0.0,0.0
42,batt_bel14,1,14,battery,0.0,0.0,0.0,0.0
43,pltd_bel15,1,15,diesel,0.0,0.1749,-0.1749,0.0
44,plts_bel15,1,15,solar,0.0,0.0,0.0,0.0
45,batt_bel15,1,15,battery,0.0,0.0,0.0,0.0
46,pltd_bel16,1,16,diesel,0.0,0.4908,-0.4908,0.0
47,plts_bel16,1,16,solar,0.0,0.0,0.0,0.0
48,batt_bel16,1,16,battery,0.0,0.0,0.0,0.0
49,pltd_bel17,1,17,diesel,0.0,0.2234,-0.2234,0.0
50,plts_bel17,1,17,solar,0.0,0.0,0.0,0.0
51,batt_bel17,1,17,battery,0.0,0.0,0.0,0.0
52,pltd_bel18,1,18,diesel,0.0,0.1297,-0.1297,0.0
53,plts_bel18,1,18,solar,0.0,0.0,0.0,0.0
54,batt_bel18,1,18,battery,0.0,0.0,0.0,0.0
55,pltd_bel19,1,19,diesel,0.0,0.203,-0.203,0.0
