ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,0.0,0.0,0.0
6,1,2,batt_bel2,0.0,0.0,0.0
9,1,3,batt_bel3,0.0,0.0,0.0
12,1,4,batt_bel4,0.0,0.0,0.0
15,1,5,batt_bel5,0.0,0.0,0.0
18,1,6,batt_bel6,0.0,0.0,0.0
21,1,7,batt_bel7,0.0,0.0,0.0
24,1,8,batt_bel8,0.0,0.0,0.0
27,1,9,batt_bel9,0.0,0.0,0.0
30,1,10,batt_bel10,0.0,0.0,0.0
33,1,11,batt_bel11,0.0,0.0,0.0
36,1,12,batt_bel12,0.0,0.0,0.0
39,1,13,batt_bel13,0.0,0.0,0.0
42,1,14,batt_bel14,0.0,0.0,0.0
45,1,15,batt_bel15,0.0,0.0,0.0
48,1,16,batt_bel16,0.0,0.0,0.0
51,1,17,batt_bel17,0.0,0.0,0.0
54,1,18,batt_bel18,0.0,0.0,0.0
57,1,19,batt_bel19,0.0,0.0,0.0
60,1,20,batt_bel20,0.0,0.0,0.0
63,1,21,batt_bel21,0.0,0.0,0.0
66,1,22,batt_bel22,0.0,0.0,0.0
69,1,23,batt_bel23,0.0,0.0,0.0
72,1,24,batt_bel24,0.0,0.0,0.0
75,1,25,batt_bel25,0.0,0.0,0.0
78,1,26,batt_bel26,0.0,0.0,0.0
81,1,27,batt_bel27,0.0,0.0,0.0
84,1,28,batt_bel28,0.0,0.0,0.0
87,1,29,batt_bel29,0.0,0.0,0.0
90,1,30,batt_bel30,0.0,0.0,0.0
93,1,31,batt_bel31,0.0,0.0,0.0
96,1,32,batt_bel32,0.0,0.0,0.0
99,1,33,batt_bel33,0.0,0.0,0.0
102,1,34,batt_bel34,0.0,0.0,0.0
105,1,35,batt_bel35,0.0,0.0,0.0
108,1,36,batt_bel36,0.0,0.0,0.0
111,1,37,batt_bel37,0.0,0.0,0.0
114,1,38,batt_bel38,0.0,0.0,0.0
117,1,39,batt_bel39,0.0,0.0,0.0
120,1,40,batt_bel40,0.0,0.0,0.0
123,1,41,batt_bel41,0.0,0.0,0.0
126,1,42,batt_bel42,0.0,0.0,0.0
129,1,43,batt_bel43,0.0,0.0,0.0
132,1,44,batt_bel44,0.0,0.0,0.0
135,1,45,batt_bel45,0.0,0.0,0.0
138,1,46,batt_bel46,0.0,0.0,0.0
141,1,47,batt_bel47,0.0,0.0,0.0
