ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,128.27471975765863,25.35770414495483,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,125.9575375722174,24.899637111798278,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,124.34897016631801,24.581651023400852,0,0,1,0
4,pltd_tenau,1,diesel,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,0
5,pltd_kuanino,1,diesel,pln,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,1,0
6,pltd_soe,2,diesel,pln,0.0,8.0,-8.0,0.0,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,0.0,6.0,-6.0,0.0,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,10.91704353561541,2.1581115954626675,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,37.00179320556058,0.0,37.00179320556058,49.63352542664062,80.4772925557466,15.908975508744053,0,1,0,1
10,plts_candidate_soe,2,solar,pln,16.8,0.0,16.8,22.535211267605636,36.50899745211401,7.217200378754621,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,3.72968996298429,0.0,3.72968996298429,5.002937576102334,3.6489382140379254,0.7213322769256656,1,0,0,1
