ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_amfoang,2,1,diesel,0.0,0.4,-0.4,0.0
2,plts_amfoang,2,1,solar,0.30485805627828017,0.0,0.30485805627828017,0.5825689449016391
3,batt_amfoang,2,1,battery,0.15562269655630626,0.0,0.15562269655630626,0.2818324772318921
4,pltd_boking,2,2,diesel,0.0,0.25,-0.25,0.0
5,plts_boking,2,2,solar,0.2032366234249629,0.0,0.2032366234249629,0.3883793388181716
6,batt_boking,2,2,battery,0.10374694271067536,0.0,0.10374694271067536,0.18788854324589582
7,pltd_raijua,2,3,diesel,0.0,0.15,-0.15,0.0
8,plts_raijua,2,3,solar,0.1270236699258108,0.0,0.1270236699258108,0.24274196219516486
9,batt_raijua,2,3,battery,0.06484240981674541,0.0,0.06484240981674541,0.11743207806632158
10,pltd_wini,2,4,diesel,0.0,0.5,-0.5,0.0
11,plts_wini,2,4,solar,0.38107100977743236,0.0,0.38107100977743236,0.7282124979335551
12,batt_wini,2,4,battery,0.19452722945023634,0.0,0.19452722945023634,0.35229030842396514
