Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,0.0,0.0,0.0
1,2,2000.0,0.0,0.0,0.0
1,3,2000.0,0.0,0.0,0.0
1,4,2000.0,0.0,0.0,0.0
2,1,1800.0,0.0,0.0,0.0
2,2,1800.0,0.0,0.0,0.0
2,3,1800.0,0.0,0.0,0.0
2,4,1800.0,0.0,0.0,0.0
3,1,1100.0,0.0,0.0,0.0
3,2,1100.0,0.0,0.0,0.0
3,3,1100.0,0.0,0.0,0.0
3,4,1100.0,0.0,0.0,0.0
4,1,400.0,0.00037800000000012823,0.30845739375000386,6.097671736733175e-5
4,2,400.0,0.000252,0.20563689374999589,4.0650874333238025e-5
4,3,400.0,0.0001575,0.12852562499999987,2.5407303792615154e-5
4,4,400.0,0.0004725,0.3855713999999895,7.622082906458287e-5
