ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,125.65841950743885,24.840506619013762,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,126.47767569886771,25.002459466468224,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,119.55624850428529,23.63421244638002,0,0,1,0
4,pltd_tenau,1,diesel,pln,0.0,30.0,-30.0,0.0,0.0,0.0,0,0,1,0
5,pltd_kuanino,1,diesel,pln,0.0,10.0,-10.0,0.0,0.0,0.0,0,0,1,0
6,pltd_soe,2,diesel,pln,-0.0,8.0,-8.0,-0.0,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,-0.0,6.0,-6.0,-0.0,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,10.264092288963402,2.029034373037533,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,38.92141780555773,0.0,38.92141780555773,52.208474588273276,84.82438637795278,16.768321132278604,0,1,0,1
10,plts_candidate_soe,2,solar,pln,18.42935083113374,0.0,18.42935083113374,24.720792530025136,40.24287785154657,7.955324263650526,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.8529186781655748,0.0,0.8529186781655748,1.144089440865962,0.4113351191287106,0.08131387287379234,1,0,0,1
12,batt_candidate_soe,2,battery,pln,6.606595988448387,0.0,6.606595988448387,8.861966449964303,6.086304283929504,1.2031575953518383,1,0,0,1
