ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,144.5400000000001,28.57307007987397,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,144.5400000000001,28.57307007987397,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,206.39349351607171,40.80044108388492,0,0,1,0
4,pltd_tenau,1,diesel,pln,30.0,30.0,0.0,40.24144869215292,0.06364190901360538,0.012580909964457642,0,0,1,0
5,pltd_kuanino,1,diesel,pln,10.0,10.0,0.0,13.41381623071764,0.036003090986394565,0.007117191378485747,0,0,1,0
6,pltd_soe,2,diesel,pln,8.0,8.0,0.0,10.731052984574111,0.0,0.0,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,6.0,6.0,0.0,8.048289738430583,0.0,0.0,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,10.93076906249998,2.1608248958747054,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,0.0,0.0,0.0,0.0,-0.0,-0.0,0,1,0,1
10,plts_candidate_soe,2,solar,pln,0.0,0.0,0.0,0.0,-0.0,-0.0,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,-0.0,-0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,0.0,0.0,0.0,0.0,-0.0,-0.0,1,0,0,1
