ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pltu_bolok_1,1,coal,pln,16.5,16.5,0.0,22.132796780684107,144.5399999999968,28.573070079873315,0,0,1,0
2,pltu_bolok_2,1,coal,pln,16.5,16.5,0.0,22.132796780684107,144.5399999999968,28.573070079873315,0,0,1,0
3,pltmg_kupang_peaker,1,gas,pln,40.0,40.0,0.0,53.65526492287056,207.09362380578617,40.93884479104593,0,0,1,0
4,pltd_tenau,1,diesel,pln,30.0,30.0,0.0,40.24144869215292,0.04325381925830868,0.00855053555340982,0,0,1,0
5,pltd_kuanino,1,diesel,pln,10.0,10.0,0.0,13.41381623071764,0.06255968075629456,0.012366972066031172,0,0,1,0
6,pltd_soe,2,diesel,pln,8.0,8.0,0.0,10.731052984574111,7.602693247262223e-12,1.502921592291462e-12,0,0,1,0
7,pltd_kefamenanu,2,diesel,pln,6.0,6.0,0.0,8.048289738430583,7.609315384412625e-12,1.5042306748213982e-12,0,0,1,0
8,plts_kupang,1,solar,pln,5.0,5.0,0.0,6.70690811535882,10.930769062499438,2.1608248958745984,0,1,0,0
9,plts_candidate_kupang,1,solar,pln,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
10,plts_candidate_soe,2,solar,pln,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
11,batt_candidate_kupang,1,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
12,batt_candidate_soe,2,battery,pln,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1
