Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,5.439981369656254e-15,4.5485880641597055e-11,8.9917756691375e-15
1,2,2000.0,5.441476351375295e-15,4.550571605327457e-11,8.995696788605639e-15
1,3,2000.0,5.4420988673934734e-15,4.666302677697468e-11,9.224477198267137e-15
1,4,2000.0,5.562123825518079e-15,4.375120940786904e-11,8.648861024562628e-15
2,1,1800.0,6.135887283329834e-15,5.098934384134279e-11,1.0079715614400694e-14
2,2,1800.0,6.153880064108504e-15,5.0989880543521935e-11,1.0079821711183432e-14
2,3,1800.0,6.1345855047389014e-15,5.2428480614107936e-11,1.0364208182982e-14
2,4,1800.0,6.294134252164517e-15,4.882122726516762e-11,9.651116286378074e-15
3,1,1100.0,1.1083518703526627e-14,8.863818194800286e-11,1.752224287085169e-14
3,2,1100.0,1.1162539644017792e-14,8.865860458523124e-11,1.7526280074703512e-14
3,3,1100.0,1.107911175126491e-14,9.291320401219924e-11,1.836734114837549e-14
3,4,1100.0,1.160992920173475e-14,8.217475954071025e-11,1.6244535513722872e-14
4,1,400.0,5.730897218622165e-14,3.534826479904882e-10,6.987743512558206e-14
4,2,400.0,5.776306432826474e-14,3.543136708807193e-10,7.004171404685337e-14
4,3,400.0,5.727284694984121e-14,4.10046993824243e-10,8.105923267318205e-14
4,4,400.0,7.467565520006663e-14,2.650354482484347e-10,5.239294614953182e-14
