Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
1,70091.18683122331,52943.93536499314,7055.58801244747,10091.663453782703,73342.58940996382,143433.77624118712
2,212961.3136225316,160644.224463194,21527.078821563326,30790.010337774256,223776.0458231819,436737.35944571346
3,209620.33024512324,157554.25013136986,21425.164204849792,30640.91590890358,222715.96933982958,432336.2995849528
4,97457.70654037004,73395.11701927886,9901.287365021082,14161.302156070094,102926.23982350205,200383.9463638721
5,110068.24091070512,82977.01045137893,11147.815251575543,15943.415207750646,115878.3061218555,225946.54703256063
6,97348.85797864647,73533.31195300327,9799.35252437832,14016.193501264872,101864.7394471707,199213.59742581716
7,89682.0701324105,67506.04129392433,9125.231510014693,13050.797328471477,94850.94088640549,184533.01101881597
8,176750.9071375998,132914.35734668074,18038.535716913473,25798.014074005605,187508.4624138843,364259.3695514841
9,172965.83702600028,130709.94802106336,17387.955857608442,24867.933147328473,180750.3808759656,353716.2179019659
10,100308.26321395386,75768.77145185022,10097.191467106593,14442.30029499705,104961.43935603638,205269.70256999024
11,166678.70321982176,125850.37896143555,16799.94192377407,24028.382334612146,174634.19309117334,341312.8963109951
12,71514.81166623054,53950.35034501386,7227.909404164148,10336.551917052524,75133.49859330391,146648.31025953445
13,89856.62110654594,75378.67100935495,6617.428505357828,7860.521591833167,84016.06866740203,173872.68977394796
14,51945.28993156566,39237.40482120857,5228.819587315489,7479.0655230416,54355.11181134866,106300.40174291431
15,59246.37422712836,49767.78901885973,4332.378033979351,5146.207174289279,55006.123281695305,114252.49750882367
16,121092.94927517776,90744.5951116069,12488.230938594324,17860.123224976527,129817.75495284815,250910.70422802592
17,75369.1177290318,63262.20257602771,5533.411281892986,6573.503871111104,70255.89672722216,145625.01445625396
18,31774.80077460908,23754.242159905,3300.4179703179157,4720.140644386165,34307.24901925653,66082.04979386562
19,52107.03831856078,39552.834465901695,5166.151070394505,7388.052782264581,53701.29769643251,105808.33601499329
20,11291.947701379739,8548.420431957027,1128.8984106292503,1614.628858793461,11735.160774432912,23027.108475812653
21,42322.04840801527,32034.09255544073,4233.352540325168,6054.603312249368,44005.65630029653,86327.7047083118
22,30330.55440026318,23014.502983625178,3010.345313488824,4305.706103149177,31293.35398636783,61623.90838663101
23,28893.155554935074,21824.704814289427,2908.44121764193,4160.009523003719,30233.492482251146,59126.64803718622
24,17000.351970140495,12847.023210214531,1709.1529755193042,2444.175784406659,17765.28938181184,34765.641351952334
25,12655.78924230755,9626.550789747225,1246.4413067654652,1782.7971457948597,12956.61683800159,25612.40608030914
