ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,2.184413366410149,122.131,-119.94658663358985,1.8295654820379288,1.0845056826908972,0.15970832145639108,0,0,1,0
2,pltd_kefamenanu,1,diesel,,2.6760815785564773e-12,4.2,-4.199999999997324,2.2413644590037768e-12,4.004406835248421e-12,5.897037740726192e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,10.452940809150167,33.0,-22.547059190849833,8.754908747713616,54.784727913864224,8.067801834711206,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,7.51754214434186e-12,16.8,-16.799999999992483,6.296352068041144e-12,2.8397564874157873e-11,4.181930525479203e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,2.6760815785564773e-12,4.2,-4.199999999997324,2.2413644590037768e-12,4.004406835248421e-12,5.897037740726192e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.48894230278529e-11,8.4,-8.399999999985111,1.2470704875784704e-11,5.653291713442139e-11,8.325246650777622e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,2.6760815785564773e-12,4.2,-4.199999999997324,2.2413644590037768e-12,4.004406835248421e-12,5.897037740726192e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,4.2127268783381283e-13,2.1,-2.0999999999995786,3.528388811558696e-13,2.0171096572395254e-12,2.9704703506198136e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,2.6760815785564773e-12,4.2,-4.199999999997324,2.2413644590037768e-12,4.004406835248421e-12,5.897037740726192e-13,0,0,0,1
10,pltmg_maumere,1,gas,,7.51754214434186e-12,16.8,-16.799999999992483,6.296352068041144e-12,2.8397564874157873e-11,4.181930525479203e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,4.980904577678302e-12,4.2,-4.199999999995019,4.171779583834444e-12,1.8877262064580737e-11,2.7799354914822363e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,4.7393921500335095e-11,0.9954,-0.9953999999526061,3.969499737035919e-11,5.794671554713479e-11,8.533447838633015e-12,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,4.2127268783381283e-13,2.1,-2.0999999999995786,3.528388811558696e-13,2.0171096572395254e-12,2.9704703506198136e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,6.7860717045675756e-12,0.42,-0.4199999999932139,5.683705630182432e-12,3.917988149948332e-11,5.7697743857062355e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.947144183873393e-12,0.672,-0.6719999999980529,1.6308395847348914e-12,4.5789620681733435e-12,6.743149045618071e-13,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,4.980904577678302e-12,4.2,-4.199999999995019,4.171779583834444e-12,1.8877262064580737e-11,2.7799354914822363e-12,0,0,0,1
17,plts_adonara,1,solar,PLN,2.3678876766487747e-11,0.42,-0.4199999999763211,1.9832352361307446e-11,2.8953799566600593e-11,4.263843705358002e-12,0,1,0,1
18,plts_adonara,1,solar,PLN,4.75316210730062e-11,1.68,-1.6799999999524684,3.9810328282046686e-11,5.8105279065069105e-11,8.556798489254482e-12,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,2.369811547677306e-11,0.504,-0.5039999999763018,1.984846583176967e-11,2.8974287425862966e-11,4.2668608233549404e-12,0,1,0,1
20,plts_betun,1,solar,IPP,2.3643119259879294e-11,0.252,-0.25199999997635686,1.9802403496856904e-11,2.8920088143097235e-11,4.2588792363399435e-12,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,4.980904577678302e-12,4.2,-4.199999999995019,4.171779583834444e-12,1.8877262064580737e-11,2.7799354914822363e-12,0,0,0,1
22,plts_flores,1,solar,PLN,4.816342686141717e-11,12.6,-12.599999999951836,4.0339500131845477e-11,5.886560515039078e-11,8.668766923154189e-12,0,1,0,1
23,plts_lembata,1,solar,PLN,2.381994847991212e-11,1.26,-1.25999999997618,1.9950507625023553e-11,2.91138458575738e-11,4.2874127146261056e-12,0,1,0,1
24,pltb_maubesi,1,wind,PLN,2.481327059297841e-11,0.84,-0.8399999999751867,2.0782469138607255e-11,7.463165451083333e-12,1.0990533714737292e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,4.755557245370649e-11,1.8312,-1.8311999999524444,3.983038887133359e-11,5.813239135110522e-11,8.560791144860423e-12,0,1,0,1
26,plts_rote,1,solar,PLN,2.369811547677306e-11,0.504,-0.5039999999763018,1.984846583176967e-11,2.8974287425862966e-11,4.2668608233549404e-12,0,1,0,1
27,plts_rote,1,solar,PLN,4.73572439206188e-11,0.84,-0.8399999999526427,3.9664277894436964e-11,5.790751141089547e-11,8.527674492404534e-12,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,2.3643119259879294e-11,0.252,-0.25199999997635686,1.9802403496856904e-11,2.8920088143097235e-11,4.2588792363399435e-12,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,1.2522663027910901e-12,1.26,-1.2599999999987477,1.0488414130476687e-12,6.006875211466893e-12,8.845946798923436e-13,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.9494179949645288e-12,0.84,-0.8399999999980505,1.632744025693268e-12,4.583970867620956e-12,6.750525189100372e-13,0,0,0,1
31,pltu_timor_1,1,coal,PLN,99.99999999998951,100.0,-1.0487610779819079e-11,83.75546085603904,584.1142372533449,86.01882485211519,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,4.816008730236194e-11,12.39,-12.38999999995184,4.0336703068768206e-11,5.886154849207755e-11,8.668169524634044e-12,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,4.822064145777847e-11,17.1192,-17.11919999995178,4.0387420480704806e-11,5.893596134245511e-11,8.679127836442146e-12,0,1,0,1
34,plts_lembata,1,solar,PLN,2.381994847991212e-11,1.26,-1.25999999997618,1.9950507625023553e-11,2.91138458575738e-11,4.2874127146261056e-12,0,1,0,1
35,plts_sumba,1,solar,PLN,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,2.4881403854059935e-11,1.26,-1.2599999999751186,2.083953446542234e-11,7.483669595655161e-12,1.1020728877056227e-12,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,1.9480869779898786e-12,0.735,-0.7349999999980519,1.6316292262920775e-12,4.581105477556823e-12,6.746305509620915e-13,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,2.12376361781357e-12,12.6,-12.599999999997875,1.7787680055928294e-12,1.0527412970823983e-11,1.5503058044627524e-12,0,0,0,1
40,plts_sumba,1,solar,PLN,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
41,plts_sumba,1,solar,PLN,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,1.2543324188292902e-11,4.62,-4.619999999987456,1.0505718980572838e-11,3.767423973445383e-12,5.548048005803038e-13,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,1.2543324188292902e-11,4.62,-4.619999999987456,1.0505718980572838e-11,3.767423973445383e-12,5.548048005803038e-13,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,1.2632782314218672e-12,9.24,-9.239999999998737,1.058064504621515e-12,6.053403441033789e-12,8.914465992165733e-13,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,6.266973786325954e-13,4.2,-4.199999999999373,5.248932776465012e-13,2.9816686186641154e-12,4.390915583259019e-13,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
48,pltm_flores,1,hydropower,PLN,9.855663193369536e-13,2.1,-2.0999999999990147,8.254656128026534e-13,2.3113140746617325e-12,3.4037266665754043e-13,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,9.855663193369536e-13,2.1,-2.0999999999990147,8.254656128026534e-13,2.3113140746617325e-12,3.4037266665754043e-13,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,4.252064891759547e-13,8.4,-8.399999999999576,3.5613365459914193e-13,2.0367929586095377e-12,2.999456708853779e-13,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,4.252064891759547e-13,8.4,-8.399999999999576,3.5613365459914193e-13,2.0367929586095377e-12,2.999456708853779e-13,0,0,0,1
52,plts_sumba,1,solar,PLN,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
53,plts_sumba,1,solar,PLN,4.01537407691351e-12,2.1,-2.0999999999959846,3.363095063213186e-12,4.917474362986855e-12,7.241654782009181e-13,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,7.482015007553855e-12,21.0,-20.999999999992518,6.2665961508953925e-12,2.8325035362866487e-11,4.171249561156676e-12,0,0,0,1
55,pltu_atambua,1,coal,PLN,9.790139288455885,24.0,-14.209860711544115,8.199776279495225,51.50901609873023,7.5854083867839925,0,0,1,-1
