ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.0052544176019747885,0.2773,-0.2720455823980252,0.005421902164849726
2,plts_bel1,1,1,solar,0.7755422299492446,0.0,0.7755422299492446,1.2264984610669125
3,batt_bel1,1,1,battery,0.3187331810433388,0.0,0.3187331810433388,0.599006156266169
4,pltd_bel2,1,2,diesel,0.016032374507796127,0.846,-0.8299676254922038,0.016543406447077344
5,plts_bel2,1,2,solar,2.3531695209306425,0.0,2.3531695209306425,3.742177979271758
6,batt_bel2,1,2,battery,0.9724636413251392,0.0,0.9724636413251392,1.8276287793246162
7,pltd_bel3,1,3,diesel,0.015956511254922045,0.842,-0.8260434887450779,0.01646512505284414
8,plts_bel3,1,3,solar,2.3079062822503245,0.0,2.3079062822503245,3.7244609446864225
9,batt_bel3,1,3,battery,0.967750694582829,0.0,0.967750694582829,1.8189713734604942
10,pltd_bel4,1,4,diesel,0.0073737780290092465,0.3891,-0.38172622197099076,0.007608817205352524
11,plts_bel4,1,4,solar,1.0751162379326618,0.0,1.0751162379326618,1.721188032590568
12,batt_bel4,1,4,battery,0.44726602173136015,0.0,0.44726602173136015,0.8406221470003648
13,pltd_bel5,1,5,diesel,0.008302225921806922,0.4381,-0.4297977740781931,0.008566859374791543
14,plts_bel5,1,5,solar,1.2154754778194534,0.0,1.2154754778194534,1.9378614316824656
15,batt_bel5,1,5,battery,0.5035527391442687,0.0,0.5035527391442687,0.9464052665844606
16,pltd_bel6,1,6,diesel,0.007298160961780412,0.3851,-0.37780183903821957,0.0075307898442520515
17,plts_bel6,1,6,solar,1.0771401720021072,0.0,1.0771401720021072,1.703467354815606
18,batt_bel6,1,6,battery,0.44268411635895905,0.0,0.44268411635895905,0.8319522153172345
19,pltd_bel7,1,7,diesel,0.0067958540819699625,0.3586,-0.35180414591803,0.007012471932473533
20,plts_bel7,1,7,solar,0.9888516464901451,0.0,0.9888516464901451,1.5862612196937735
21,batt_bel7,1,7,battery,0.41219385382196466,0.0,0.41219385382196466,0.7746708699832461
22,pltd_bel8,1,8,diesel,0.013434222188417236,0.7089,-0.6954657778115827,0.013862438022344272
23,plts_bel8,1,8,solar,1.9469738325501031,0.0,1.9469738325501031,3.1357379497327695
24,batt_bel8,1,8,battery,0.8147951425261156,0.0,0.8147951425261156,1.531424353397793
25,pltd_bel9,1,9,diesel,0.0129495682157167,0.6833,-0.6703504317842833,0.013362335704506683
26,plts_bel9,1,9,solar,1.9146836209527989,0.0,1.9146836209527989,3.0226368953126173
27,batt_bel9,1,9,battery,0.7854200708469746,0.0,0.7854200708469746,1.4762296632808656
28,pltd_bel10,1,10,diesel,0.007519945068510573,0.3968,-0.3892800549314894,0.007759643319392647
29,plts_bel10,1,10,solar,1.1098852419279592,0.0,1.1098852419279592,1.7552527726873226
30,batt_bel10,1,10,battery,0.4561417074717752,0.0,0.4561417074717752,0.8572433947447249
31,pltd_bel11,1,11,diesel,0.0125115697088021,0.6602,-0.6476884302911979,0.01291037599513281
32,plts_bel11,1,11,solar,1.8434985298815012,0.0,1.8434985298815012,2.920422702167578
33,batt_bel11,1,11,battery,0.7589064736635072,0.0,0.7589064736635072,1.4262774318647835
34,pltd_bel12,1,12,diesel,0.005383024108924791,0.284,-0.2786169758910752,0.005554608004146045
35,plts_bel12,1,12,solar,0.7902821996574683,0.0,0.7902821996574683,1.256474464168868
36,batt_bel12,1,12,battery,0.32646481183598736,0.0,0.32646481183598736,0.613632587843345
37,pltd_bel13,1,13,diesel,0.008239580907436877,0.2672,-0.2589604190925631,0.00850221754856641
38,plts_bel13,1,13,solar,1.0844093421627896,0.0,1.0844093421627896,1.8447564753042236
39,batt_bel13,1,13,battery,0.48484094467449834,0.0,0.48484094467449834,0.8518909957754686
40,pltd_bel14,1,14,diesel,0.0038942385086129004,0.2055,-0.2016057614913871,0.004018367362893325
41,plts_bel14,1,14,solar,0.5747619986764803,0.0,0.5747619986764803,0.9089704982517988
42,batt_bel14,1,14,battery,0.23621686541298142,0.0,0.23621686541298142,0.4439301300521327
43,pltd_bel15,1,15,diesel,0.005393879147532226,0.1749,-0.16950612085246777,0.005565809045010621
44,plts_bel15,1,15,solar,0.7159686513307322,0.0,0.7159686513307322,1.2077464219033434
45,batt_bel15,1,15,battery,0.3174204879282988,0.0,0.3174204879282988,0.5577420595979349
46,pltd_bel16,1,16,diesel,0.00930069546788152,0.4908,-0.4814993045321185,0.009597155137392994
47,plts_bel16,1,16,solar,1.3292563519594052,0.0,1.3292563519594052,2.1709013254806524
48,batt_bel16,1,16,battery,0.5640870282796397,0.0,0.5640870282796397,1.060250400637495
49,pltd_bel17,1,17,diesel,0.0068894506672136984,0.2234,-0.2165105493327863,0.0071090519069011236
