Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.5336702105431623e-14,8.086718479513674e-11,1.1908800987090931e-14
1,2,2000.0,2.550660295034283e-14,8.143027799855224e-11,1.199172417668442e-14
1,3,2000.0,2.5506893462002997e-14,8.140165929870405e-11,1.1987509681004067e-14
1,4,2000.0,2.5374613105924903e-14,8.103222839897818e-11,1.1933105919151064e-14
1,5,2000.0,2.5390225614533282e-14,8.109689791759794e-11,1.1942629391856643e-14
1,6,2000.0,2.5388473112890915e-14,8.099649980169932e-11,1.192784439365565e-14
1,7,2000.0,2.5361068299595124e-14,8.09972370423e-11,1.1927952962435624e-14
1,8,2000.0,2.547124835732291e-14,8.13264479253791e-11,1.197643377575076e-14
1,9,2000.0,2.5464114992610756e-14,8.133974869646821e-11,1.1978392496538138e-14
1,10,2000.0,2.5372959734705744e-14,8.106969558291065e-11,1.1938623475352987e-14
1,11,2000.0,2.545973929910372e-14,8.131106746095004e-11,1.197416879162353e-14
1,12,2000.0,2.5326344706274066e-14,8.091791875091278e-11,1.1916272257225479e-14
1,13,2000.0,2.5348006339656148e-14,8.054961843481556e-11,1.1862034989302824e-14
1,14,2000.0,2.5297906211843978e-14,8.076794989732424e-11,1.1894187288691301e-14
1,15,2000.0,2.5291518192866448e-14,8.03668403949004e-11,1.1835118418537138e-14
1,16,2000.0,2.541237243508513e-14,8.110548552357368e-11,1.1943894034502233e-14
1,17,2000.0,2.5324069942231677e-14,8.04400078948175e-11,1.1845893335426393e-14
1,18,2000.0,2.525379560365691e-14,8.062279767186946e-11,1.1872811634646296e-14
1,19,2000.0,2.5285599693689194e-14,8.083889121523028e-11,1.1904634369776726e-14
1,20,2000.0,2.529688722914048e-14,8.059732342075784e-11,1.186906020212701e-14
1,21,2000.0,2.52702322920863e-14,8.074921312313519e-11,1.1891428041964427e-14
1,22,2000.0,2.5255373257153867e-14,8.067874566546841e-11,1.188105074329197e-14
1,23,2000.0,2.525660886640105e-14,8.06332058660813e-11,1.1874344383854985e-14
1,24,2000.0,2.5248979001454237e-14,8.058649833008897e-11,1.186746605920279e-14
1,25,2000.0,2.5278383730301212e-14,8.061114793121115e-11,1.1871096050711941e-14
1,26,2000.0,2.5261898781208055e-14,8.069155551383146e-11,1.188293716898141e-14
1,27,2000.0,2.5252786504805305e-14,8.073696374803162e-11,1.1889624153641936e-14
1,28,2000.0,2.524421498908139e-14,8.065335505950968e-11,1.1877311628667537e-14
1,29,2000.0,2.5249132564794922e-14,8.059622272576879e-11,1.186889810970837e-14
1,30,2000.0,2.5274916357698515e-14,8.068850199018477e-11,1.1882487495785664e-14
1,31,2000.0,2.5251750498401683e-14,8.070810169154458e-11,1.1885373820362087e-14
1,32,2000.0,2.526596805672071e-14,8.07632752326146e-11,1.1893498880261484e-14
1,33,2000.0,2.524550887514143e-14,8.06574921862986e-11,1.187792087727329e-14
1,34,2000.0,2.524538370592557e-14,8.060676908438797e-11,1.1870451205519142e-14
1,35,2000.0,2.5243647309153688e-14,8.062208366778155e-11,1.1872706487761209e-14
1,36,2000.0,2.5295449964698312e-14,8.062589102123076e-11,1.1873267172724201e-14
1,37,2000.0,2.5242073015871175e-14,8.064018383084062e-11,1.1875371984776473e-14
