ID,Zone,Village,Resource,Total_Storage_MWh,Start_Storage_MWh,Change_in_Storage_MWh
3,1,1,batt_bel1,1.788826661952659,0.0,1.788826661952659
6,1,2,batt_bel2,5.457892808114843,0.0,5.457892808114843
9,1,3,batt_bel3,5.432039068397537,0.0,5.432039068397537
12,1,4,batt_bel4,2.510370358545987,0.0,2.510370358545987
15,1,5,batt_bel5,2.8262739255411873,0.0,2.8262739255411873
18,1,6,batt_bel6,2.4844796641775306,0.0,2.4844796641775306
21,1,7,batt_bel7,2.3134188489709215,0.0,2.3134188489709215
24,1,8,batt_bel8,4.573330571113443,0.0,4.573330571113443
27,1,9,batt_bel9,4.408500903975789,0.0,4.408500903975789
30,1,10,batt_bel10,2.5600072282850177,0.0,2.5600072282850177
33,1,11,batt_bel11,4.2593273003907255,0.0,4.2593273003907255
36,1,12,batt_bel12,1.8325065705041035,0.0,1.8325065705041035
39,1,13,batt_bel13,2.5462889688044,0.0,2.5462889688044
42,1,14,batt_bel14,1.3257196985567934,0.0,1.3257196985567934
45,1,15,batt_bel15,1.667081682060473,0.0,1.667081682060473
48,1,16,batt_bel16,3.1662521099212477,0.0,3.1662521099212477
51,1,17,batt_bel17,2.129256343274989,0.0,2.129256343274989
54,1,18,batt_bel18,0.8367543237770989,0.0,0.8367543237770989
57,1,19,batt_bel19,1.3097759052342377,0.0,1.3097759052342377
60,1,20,batt_bel20,0.28621969009463377,0.0,0.28621969009463377
63,1,21,batt_bel21,1.0732983742234838,0.0,1.0732983742234838
66,1,22,batt_bel22,0.7632437930847189,0.0,0.7632437930847189
69,1,23,batt_bel23,0.7373939348049399,0.0,0.7373939348049399
72,1,24,batt_bel24,0.4332962565916132,0.0,0.4332962565916132
75,1,25,batt_bel25,0.3160104457481487,0.0,0.3160104457481487
78,1,26,batt_bel26,0.8844679699350118,0.0,0.8844679699350118
81,1,27,batt_bel27,0.8089478415175452,0.0,0.8089478415175452
84,1,28,batt_bel28,0.6002609964212069,0.0,0.6002609964212069
87,1,29,batt_bel29,0.42733944272988955,0.0,0.42733944272988955
90,1,30,batt_bel30,0.327932974747002,0.0,0.327932974747002
93,1,31,batt_bel31,0.667850314023006,0.0,0.667850314023006
96,1,32,batt_bel32,1.001749068668864,0.0,1.001749068668864
99,1,33,batt_bel33,0.5923033295152748,0.0,0.5923033295152748
102,1,34,batt_bel34,0.4770184624932813,0.0,0.4770184624932813
105,1,35,batt_bel35,0.48893550101105526,0.0,0.48893550101105526
108,1,36,batt_bel36,0.28622184959897723,0.0,0.28622184959897723
111,1,37,batt_bel37,0.5008546476030911,0.0,0.5008546476030911
114,1,38,batt_bel38,1.0236259881757146,0.0,1.0236259881757146
117,1,39,batt_bel39,0.45913239916465826,0.0,0.45913239916465826
120,1,40,batt_bel40,0.4114140647485117,0.0,0.4114140647485117
123,1,41,batt_bel41,0.4452221641939062,0.0,0.4452221641939062
126,1,42,batt_bel42,0.5008705807412929,0.0,0.5008705807412929
129,1,43,batt_bel43,0.8804949691205234,0.0,0.8804949691205234
132,1,44,batt_bel44,0.6897034458298281,0.0,0.6897034458298281
135,1,45,batt_bel45,0.5227396241277976,0.0,0.5227396241277976
138,1,46,batt_bel46,0.7055615805670183,0.0,0.7055615805670183
141,1,47,batt_bel47,0.7294443255993636,0.0,0.7294443255993636
144,1,48,batt_bel48,0.7075560848561816,0.0,0.7075560848561816
147,1,49,batt_bel49,1.2899394202311927,0.0,1.2899394202311927
150,1,50,batt_bel50,1.5145709028857577,0.0,1.5145709028857577
153,1,51,batt_bel51,0.9500732014027616,0.0,0.9500732014027616
156,1,52,batt_bel52,1.033564192797319,0.0,1.033564192797319
159,1,53,batt_bel53,0.8864500684208139,0.0,0.8864500684208139
162,1,54,batt_bel54,0.8149336786177861,0.0,0.8149336786177861
165,1,55,batt_bel55,1.3316437647135335,0.0,1.3316437647135335
168,1,56,batt_bel56,1.0295169859510485,0.0,1.0295169859510485
171,1,57,batt_bel57,1.117019283944702,0.0,1.117019283944702
174,1,58,batt_bel58,1.5979784027840747,0.0,1.5979784027840747
177,1,59,batt_bel59,0.5048236799987016,0.0,0.5048236799987016
180,1,60,batt_bel60,2.7270151456428064,0.0,2.7270151456428064
183,1,61,batt_bel61,0.35974864527866446,0.0,0.35974864527866446
186,1,62,batt_bel62,1.8485015532983453,0.0,1.8485015532983453
189,1,63,batt_bel63,0.7294443255993636,0.0,0.7294443255993636
192,1,64,batt_bel64,0.6817632687364932,0.0,0.6817632687364932
195,1,65,batt_bel65,0.3339082522587679,0.0,0.3339082522587679
198,1,66,batt_bel66,2.8859625361503833,0.0,2.8859625361503833
201,1,67,batt_bel67,2.3294354237821033,0.0,2.3294354237821033
204,1,68,batt_bel68,1.1746776907114143,0.0,1.1746776907114143
207,1,69,batt_bel69,2.2222088771310085,0.0,2.2222088771310085
210,1,70,batt_bel70,0.4074477821152078,0.0,0.4074477821152078
213,1,71,batt_bel71,0.9579664826399674,0.0,0.9579664826399674
216,1,72,batt_bel72,0.8308117164439386,0.0,0.8308117164439386
219,1,73,batt_bel73,0.6360068104569173,0.0,0.6360068104569173
222,1,74,batt_bel74,4.589443488671502,0.0,4.589443488671502
225,1,75,batt_bel75,0.9858438304998527,0.0,0.9858438304998527
228,1,76,batt_bel76,0.4432444816882725,0.0,0.4432444816882725
231,1,77,batt_bel77,2.0313455586449667,0.0,2.0313455586449667
234,1,78,batt_bel78,0.6439658755044275,0.0,0.6439658755044275
237,1,79,batt_bel79,0.42732249269234474,0.0,0.42732249269234474
240,1,80,batt_bel80,0.6956538074498616,0.0,0.6956538074498616
243,1,81,batt_bel81,1.079257185620819,0.0,1.079257185620819
246,1,82,batt_kup82,4.307027845953388,0.0,4.307027845953388
249,1,83,batt_kup83,2.3651875066304284,0.0,2.3651875066304284
252,1,84,batt_kup84,3.116483508978747,0.0,3.116483508978747
255,1,85,batt_kup85,0.4770118262815301,0.0,0.4770118262815301
258,1,86,batt_kup86,3.019090542077182,0.0,3.019090542077182
261,1,87,batt_kup87,2.760710284257758,0.0,2.760710284257758
264,1,88,batt_kup88,1.27600912258474,0.0,1.27600912258474
267,1,89,batt_kup89,6.081908261408143,0.0,6.081908261408143
270,1,90,batt_kup90,1.9497887951506394,0.0,1.9497887951506394
273,1,91,batt_kup91,1.8464350004618302,0.0,1.8464350004618302
276,1,92,batt_kup92,1.5562518116254338,0.0,1.5562518116254338
279,1,93,batt_kup93,6.95643388543975,0.0,6.95643388543975
282,1,94,batt_kup94,1.0216015836475665,0.0,1.0216015836475665
285,1,95,batt_kup95,0.341862720633216,0.0,0.341862720633216
288,1,96,batt_kup96,0.3498148219692374,0.0,0.3498148219692374
291,1,97,batt_kup97,0.6518982719320628,0.0,0.6518982719320628
294,1,98,batt_kup98,0.3378877701543307,0.0,0.3378877701543307
297,1,99,batt_kup99,0.3597466501086241,0.0,0.3597466501086241
300,1,100,batt_kup100,1.4508692559188647,0.0,1.4508692559188647
303,1,101,batt_kup101,0.7751679461439912,0.0,0.7751679461439912
306,1,102,batt_kup102,0.9460948467118242,0.0,0.9460948467118242
309,1,103,batt_kup103,1.1508541037073252,0.0,1.1508541037073252
312,1,104,batt_kup104,1.3515655299254339,0.0,1.3515655299254339
