ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,2.1844131791311288,122.131,-119.94658682086887,1.829565325181522,1.0845055735158078,0.1597083053788633,0,0,1,0
2,pltd_kefamenanu,1,diesel,,1.2434497875801753e-14,4.2,-4.199999999999988,1.0414571001013234e-14,2.0569359214990812e-14,3.0291199816571568e-15,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,10.666762794793067,33.0,-22.333237205206935,8.93399633720038,59.80896581149903,8.807689706241653,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,3.552713678800501e-14,16.8,-16.799999999999965,2.9755917145752094e-14,1.471673529948109e-13,2.167240918614941e-14,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,1.2434497875801753e-14,4.2,-4.199999999999988,1.0414571001013234e-14,2.0569359214990812e-14,3.0291199816571568e-15,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,7.283063041541027e-14,8.4,-8.399999999999928,6.09996301487918e-14,2.844405083014972e-13,4.188776219440283e-14,0,0,0,1
7,pltd_ruteng,1,diesel,,1.2434497875801753e-14,4.2,-4.199999999999988,1.0414571001013234e-14,2.0569359214990812e-14,3.0291199816571568e-15,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,2.0431379730249833e-15,2.1,-2.099999999999998,1.7112396252319885e-15,1.0191198618456621e-14,1.500793634334785e-15,0,0,0,1
9,pltd_bajawa,1,diesel,,1.2434497875801753e-14,4.2,-4.199999999999988,1.0414571001013234e-14,2.0569359214990812e-14,3.0291199816571568e-15,0,0,0,1
10,pltmg_maumere,1,gas,,3.552713678800501e-14,16.8,-16.799999999999965,2.9755917145752094e-14,1.471673529948109e-13,2.167240918614941e-14,0,0,0,1
11,pltmg_alor,1,gas,PLN,2.4868995751603507e-14,4.2,-4.199999999999975,2.0829142002026468e-14,9.584367439614655e-14,1.4114294285707512e-14,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,2.40111003419988e-13,0.9954,-0.9953999999997598,2.0110607748049165e-13,3.001174304195162e-13,4.41964037783354e-14,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,2.0431379730249833e-15,2.1,-2.099999999999998,1.7112396252319885e-15,1.0191198618456621e-14,1.500793634334785e-15,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,3.22519788653608e-14,0.42,-0.41999999999996773,2.7012793533878075e-14,1.9129171753783163e-13,2.817032644833518e-14,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,9.396413826694597e-15,0.672,-0.6719999999999906,7.870009704489458e-15,2.3983716193511773e-14,3.531930829581426e-15,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,2.4868995751603507e-14,4.2,-4.199999999999975,2.0829142002026468e-14,9.584367439614655e-14,1.4114294285707512e-14,0,0,0,1
17,plts_adonara,1,solar,PLN,1.1954013632041318e-13,0.42,-0.41999999999988047,1.0012139208310985e-13,1.4951020206102508e-13,2.2017425812399202e-14,0,1,0,1
18,plts_adonara,1,solar,PLN,2.434134500905973e-13,1.68,-1.6799999999997566,2.0387205690898572e-13,3.043468160797955e-13,4.4819238767008717e-14,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,1.2002562775460812e-13,0.504,-0.50399999999988,1.0052801767123645e-13,1.5034312821734775e-13,2.2140085601505473e-14,0,1,0,1
20,plts_betun,1,solar,IPP,1.1812157248616016e-13,0.252,-0.2519999999998819,9.893326740619402e-14,1.4751851171031445e-13,2.172412211851386e-14,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,2.4868995751603507e-14,4.2,-4.199999999999975,2.0829142002026468e-14,9.584367439614655e-14,1.4114294285707512e-14,0,0,0,1
22,plts_flores,1,solar,PLN,2.5267835130643075e-13,12.6,-12.599999999999747,2.116319176201646e-13,3.128612178810093e-13,4.6073101094869564e-14,0,1,0,1
23,plts_lembata,1,solar,PLN,1.2170968233179382e-13,1.26,-1.2599999999998783,1.0193850534342571e-13,1.5237658169946315e-13,2.243953948872025e-14,0,1,0,1
24,pltb_maubesi,1,wind,PLN,1.200061418179048e-13,0.84,-0.83999999999988,1.0051169713514849e-13,3.684555197194097e-14,5.426012378258887e-15,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,2.4351748866927545e-13,1.8312,-1.8311999999997564,2.0395919490002565e-13,3.043833720000638e-13,4.482462212715014e-14,0,1,0,1
26,plts_rote,1,solar,PLN,1.2002562775460812e-13,0.504,-0.50399999999988,1.0052801767123645e-13,1.5034312821734775e-13,2.2140085601505473e-14,0,1,0,1
27,plts_rote,1,solar,PLN,2.3902810976120475e-13,0.84,-0.8399999999997609,2.0019909490599682e-13,2.983385446057846e-13,4.393443846832546e-14,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,1.1812157248616016e-13,0.252,-0.2519999999998819,9.893326740619402e-14,1.4751851171031445e-13,2.172412211851386e-14,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,6.049070684569493e-15,1.26,-1.259999999999994,5.066427029369265e-15,2.998913611487345e-14,4.4163111980656815e-15,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,9.340874498382953e-15,0.84,-0.8399999999999906,7.823492484105687e-15,2.3806330275805184e-14,3.5058083226927317e-15,0,0,0,1
31,pltu_timor_1,1,coal,PLN,99.99999999999994,100.0,-5.684341886080802e-14,83.75546085604778,577.3999418294396,85.0300528530109,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,2.525347878080059e-13,12.39,-12.389999999999748,2.115116753504378e-13,3.1271612167104635e-13,4.605173368987325e-14,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,2.550066606785453e-13,17.1192,-17.119199999999744,2.1358200386493369e-13,3.1506412496453274e-13,4.639750934671106e-14,0,1,0,1
34,plts_lembata,1,solar,PLN,1.2170968233179382e-13,1.26,-1.2599999999998783,1.0193850534342571e-13,1.5237658169946315e-13,2.243953948872025e-14,0,1,0,1
35,plts_sumba,1,solar,PLN,2.0080110952124663e-14,2.1,-2.09999999999998,1.6818189468357744e-14,2.4849295685160902e-14,3.659399269723992e-15,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,1.2027073433699086e-13,1.26,-1.2599999999998797,1.0073330781889964e-13,3.69440246779791e-14,5.4405138334763426e-15,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,2.0080110952124663e-14,2.1,-2.09999999999998,1.6818189468357744e-14,2.4849295685160902e-14,3.659399269723992e-15,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,9.382412649698977e-15,0.735,-0.7349999999999905,7.858282954171505e-15,2.3952247892152125e-14,3.52729669103384e-15,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,1.0540376675933643e-14,12.6,-12.599999999999989,8.828141060891596e-15,5.395319002688341e-14,7.945346487287313e-15,0,0,0,1
40,plts_sumba,1,solar,PLN,2.0080110952124663e-14,2.1,-2.09999999999998,1.6818189468357744e-14,2.4849295685160902e-14,3.659399269723992e-15,0,1,0,1
41,plts_sumba,1,solar,PLN,2.0080110952124663e-14,2.1,-2.09999999999998,1.6818189468357744e-14,2.4849295685160902e-14,3.659399269723992e-15,0,1,0,1
