Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.345405444807693e-16,4.0007477053734955e-13,5.891649170618701e-17
1,2,2000.0,1.390244046935824e-16,4.172712163869112e-13,6.144890397979977e-17
1,3,2000.0,1.3901133579243486e-16,4.170836634451427e-13,6.142128423931142e-17
1,4,2000.0,1.363944347106425e-16,4.056270576603192e-13,5.973414206137298e-17
1,5,2000.0,1.3692313221232263e-16,4.075448182742942e-13,6.001655858855353e-17
1,6,2000.0,1.3635720934064266e-16,4.05560578191027e-13,5.97243520486313e-17
1,7,2000.0,1.3602270832212884e-16,4.0430204835335904e-13,5.953901628591034e-17
1,8,2000.0,1.3863837246355948e-16,4.1476126950528746e-13,6.107927991069005e-17
1,9,2000.0,1.3856216326036215e-16,4.1439291941449127e-13,6.102503531276097e-17
1,10,2000.0,1.3652583969379006e-16,4.0582796821793837e-13,5.976372889381873e-17
1,11,2000.0,1.3848609442906855e-16,4.1384705503074296e-13,6.094464930292931e-17
1,12,2000.0,1.3468421439074545e-16,4.004624304790112e-13,5.897357994423575e-17
1,13,2000.0,1.341651775572887e-16,4.037816210846156e-13,5.946237623979743e-17
1,14,2000.0,1.3258419522059185e-16,3.9513696320827803e-13,5.818933192013188e-17
1,15,2000.0,1.3108917779061328e-16,3.9677174136217113e-13,5.843007540269625e-17
1,16,2000.0,1.3744177771503263e-16,4.0909807123833774e-13,6.024529636987067e-17
1,17,2000.0,1.329857826111144e-16,4.0082413373486017e-13,5.902684570464524e-17
1,18,2000.0,1.2895872067128263e-16,3.878554537352335e-13,5.711702988043828e-17
1,19,2000.0,1.3249650206700206e-16,3.9511776048516787e-13,5.818650405604204e-17
1,20,2000.0,1.2235820314644608e-16,3.757968076898481e-13,5.5341229025096755e-17
1,21,2000.0,1.3091038966115931e-16,3.9186289530445777e-13,5.770718056067018e-17
1,22,2000.0,1.2823792312884665e-16,3.869552671658803e-13,5.698446507392453e-17
1,23,2000.0,1.2802008015790949e-16,3.8637949874791056e-13,5.689967528531468e-17
1,24,2000.0,1.2456189163654032e-16,3.79898109323661e-13,5.594520188589115e-17
1,25,2000.0,1.2284015813220162e-16,3.7684146127951386e-13,5.549506857980977e-17
1,26,2000.0,1.2939152899720873e-16,3.891898563246527e-13,5.73135389454479e-17
1,27,2000.0,1.286824754226053e-16,3.879272165416572e-13,5.71275979369638e-17
1,28,2000.0,1.2658432942718264e-16,3.838558448829911e-13,5.65280326751043e-17
1,29,2000.0,1.2452114988459802e-16,3.79712883146553e-13,5.591792479337993e-17
1,30,2000.0,1.2299578864247352e-16,3.775354860997404e-13,5.559727324397753e-17
1,31,2000.0,1.2727802585087674e-16,3.854220932959219e-13,5.675868421433115e-17
1,32,2000.0,1.3034633892700333e-16,3.90980893377016e-13,5.757729369184019e-17
1,33,2000.0,1.265264756606615e-16,3.8373339456943656e-13,5.651000018864367e-17
1,34,2000.0,1.2516319094537413e-16,3.8119045959655195e-13,5.613551817109954e-17
1,35,2000.0,1.2528168038536726e-16,3.813818827974775e-13,5.616370786027828e-17
1,36,2000.0,1.2235529122512065e-16,3.7592099827920164e-13,5.535951779101369e-17
1,37,2000.0,1.2547179511995154e-16,3.8164872371822423e-13,5.620300384205921e-17
1,38,2000.0,1.3052876300477237e-16,3.9130091473360417e-13,5.762442122146649e-17
1,39,2000.0,1.2491785982887246e-16,3.805320549258829e-13,5.603855906201429e-17
1,40,2000.0,1.242901956356628e-16,3.795049813271214e-13,5.588730840183945e-17
1,41,2000.0,1.2471100298130832e-16,3.8029110327809306e-13,5.60030756304059e-17
1,42,2000.0,1.2544854538645345e-16,3.815288613214377e-13,5.61853524618018e-17
1,43,2000.0,1.293501607738903e-16,3.889522555994165e-13,5.727854898309921e-17
1,44,2000.0,1.2758976410455078e-16,3.856791610451327e-13,5.679654096269337e-17
1,45,2000.0,1.2570602709629782e-16,3.821853915544418e-13,5.628203553425771e-17
1,46,2000.0,1.2771340821100392e-16,3.8584868882192385e-13,5.682150625066159e-17
1,47,2000.0,6.366175983813719e-17,1.9218854675560516e-13,2.830239683882707e-17
1,48,2000.0,1.27721848689273e-16,3.8586042458300225e-13,5.682323450228144e-17
1,49,2000.0,1.3236662035957073e-16,3.944753293767053e-13,5.809189727285825e-17
1,50,2000.0,1.335298798150378e-16,3.970924749289028e-13,5.847730781502472e-17
1,51,2000.0,1.2994592245264312e-16,3.8996903206863153e-13,5.742828324985912e-17
1,52,2000.0,1.3067678410933716e-16,3.9099953028899175e-13,5.758003823248788e-17
1,53,2000.0,1.2944137639049252e-16,3.8880020942761936e-13,5.725615810099582e-17
1,54,2000.0,1.2872940551788968e-16,3.8751751420381503e-13,5.706726365405698e-17
1,55,2000.0,1.3259641490451833e-16,3.9512237897013826e-13,5.818718419123548e-17
1,56,2000.0,1.3062700823971138e-16,3.9124107744682713e-13,5.761560936111002e-17
1,57,2000.0,1.31278288116292e-16,3.9273840731672446e-13,5.783611170056708e-17
1,58,2000.0,1.3386382745779976e-16,3.9810987613496535e-13,5.862713408284546e-17
1,59,2000.0,1.2547919539113535e-16,3.8168884087317625e-13,5.620891164280315e-17
