ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.4277323429155215,122.131,-116.70326765708448,4.373641101131756,0.9290260671187011,0.13619537231169587,0,0,1,0
2,pltd_kefamenanu,1,diesel,,9.78950254193478e-12,4.2,-4.199999999990211,7.888334938424977e-12,1.4727461588488255e-11,2.1590482605845724e-12,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,12.415753736004605,33.0,-20.584246263995396,10.004555753784905,69.86702547996501,10.242517281637028,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,2.8251179173821583e-11,16.8,-16.79999999997175,2.2764666822847184e-11,1.1136365434095849e-10,1.6325929811633523e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,9.78950254193478e-12,4.2,-4.199999999990211,7.888334938424977e-12,1.4727461588488255e-11,2.1590482605845724e-12,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,5.3294257895686314e-11,8.4,-8.399999999946706,4.294426144486049e-11,2.1425611866032222e-10,3.140998179039586e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,9.78950254193478e-12,4.2,-4.199999999990211,7.888334938424977e-12,1.4727461588488255e-11,2.1590482605845724e-12,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.5148570098322134e-12,2.1,-2.0999999999984853,1.2206646278694076e-12,7.150782013264271e-12,1.0483058044181558e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,9.78950254193478e-12,4.2,-4.199999999990211,7.888334938424977e-12,1.4727461588488255e-11,2.1590482605845724e-12,0,0,0,1
10,pltmg_maumere,1,gas,,2.8251179173821583e-11,16.8,-16.79999999997175,2.2764666822847184e-11,1.1136365434095849e-10,1.6325929811633523e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.7918999617450027e-11,4.2,-4.199999999982081,1.4439045307813818e-11,7.189607503779862e-11,1.0539976276329286e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,1.557891293052576e-10,0.9954,-0.9953999998442108,1.2553414501515507e-10,1.6145561278808959e-10,2.3669419054823225e-11,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.5148570098322134e-12,2.1,-2.0999999999984853,1.2206646278694076e-12,7.150782013264271e-12,1.0483058044181558e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,2.385491804091089e-11,0.42,-0.41999999997614507,1.922218035383348e-11,1.3521753767470997e-10,1.9822912982187493e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,6.900188128735956e-12,0.672,-0.6719999999930999,5.560139022841038e-12,1.633036357454928e-11,2.3940339520494013e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,1.7918999617450027e-11,4.2,-4.199999999982081,1.4439045307813818e-11,7.189607503779862e-11,1.0539976276329286e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,7.753944257102015e-11,0.42,-0.41999999992246057,6.248091681051736e-11,8.05027756225e-11,1.1801719979758572e-11,0,1,0,1
18,plts_adonara,1,solar,PLN,1.5955322513681374e-10,1.68,-1.6799999998404467,1.2856723566837795e-10,1.6510261702489117e-10,2.4204070468205e-11,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,7.780199360808641e-11,0.504,-0.503999999922198,6.269247919685289e-11,8.077696158603295e-11,1.184191568653979e-11,0,1,0,1
20,plts_betun,1,solar,IPP,7.588875064808634e-11,0.252,-0.25199999992411126,6.115079705085886e-11,7.854820576226085e-11,1.1515179720829024e-11,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,1.7918999617450027e-11,4.2,-4.199999999982081,1.4439045307813818e-11,7.189607503779862e-11,1.0539976276329286e-11,0,0,0,1
22,plts_flores,1,solar,PLN,1.6122159199953732e-10,12.6,-12.599999999838777,1.299115978110872e-10,1.6484497217669255e-10,2.4166299691618042e-11,0,1,0,1
23,plts_lembata,1,solar,PLN,7.948539402122072e-11,1.26,-1.2599999999205147,6.404895530351949e-11,8.23042228598033e-11,1.2065812437298893e-11,0,1,0,1
24,pltb_maubesi,1,wind,PLN,7.687779788988415e-11,0.84,-0.8399999999231221,6.194776664965161e-11,1.7915072349157286e-11,2.626352515760673e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,1.5965947669061126e-10,1.8312,-1.8311999998403405,1.286528526688836e-10,1.6515885332805645e-10,2.4212314719381703e-11,0,1,0,1
