Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,3.717956791132085e-14,2.6182046527049016e-10,3.8382922727807325e-14
1,2,2000.0,3.725646847811806e-14,2.681454614400367e-10,3.931016819343039e-14
1,3,2000.0,3.725659671961519e-14,2.6802252762143535e-10,3.929214607565921e-14
1,4,2000.0,3.7228043615613155e-14,2.641880060762241e-10,3.873000459441212e-14
1,5,2000.0,3.7237126083423544e-14,2.649879495705585e-10,3.884727644059087e-14
1,6,2000.0,3.7227627543008947e-14,2.642075549278443e-10,3.873287045923434e-14
1,7,2000.0,3.722253546061565e-14,2.636099016565639e-10,3.864525439260686e-14
1,8,2000.0,3.7257147156373335e-14,2.674266379853525e-10,3.9204788558238103e-14
1,9,2000.0,3.7257364310210733e-14,2.6742419982324607e-10,3.920443112327735e-14
1,10,2000.0,3.7230879932848703e-14,2.6440145735139004e-10,3.876129658601554e-14
1,11,2000.0,3.725798821430745e-14,2.672493214315386e-10,3.9178793922653115e-14
1,12,2000.0,3.7185685590557055e-14,2.619658697223026e-10,3.840423904405644e-14
1,13,2000.0,3.715920655029197e-14,2.6180385400662104e-10,3.838048751382648e-14
1,14,2000.0,3.706895013047498e-14,2.5948609176315993e-10,3.8040703192534833e-14
1,15,2000.0,3.695698732036827e-14,2.5849170020839314e-10,3.789492522911869e-14
1,16,2000.0,3.7247543369580185e-14,2.6549600972837893e-10,3.892175814223536e-14
1,17,2000.0,3.7086271714549746e-14,2.6048769396161497e-10,3.818753823748666e-14
1,18,2000.0,3.673246719681815e-14,2.553552403706795e-10,3.743511970755467e-14
1,19,2000.0,3.706278694899294e-14,2.5953553693267434e-10,3.804795186241545e-14
1,20,2000.0,3.5304253749164714e-14,2.473695975892958e-10,3.6264423178950377e-14
1,21,2000.0,3.693511109344889e-14,2.5778303491300483e-10,3.779103478172885e-14
1,22,2000.0,3.664687314711186e-14,2.549824013036037e-10,3.7380461439772984e-14
1,23,2000.0,3.661651009383692e-14,2.545648433602946e-10,3.731924737747324e-14
1,24,2000.0,3.59684255201098e-14,2.502599391418704e-10,3.668814771994386e-14
1,25,2000.0,3.547443190624865e-14,2.4816341208388473e-10,3.63807965127711e-14
1,26,2000.0,3.6785129095789953e-14,2.5630433089909377e-10,3.757425653315072e-14
1,27,2000.0,3.670095961730847e-14,2.556073281956258e-10,3.747207582363039e-14
1,28,2000.0,3.6367538543389355e-14,2.529804789060205e-10,3.708697929117884e-14
1,29,2000.0,3.595437580609454e-14,2.50176659540884e-10,3.667593891691481e-14
1,30,2000.0,3.553706372883899e-14,2.4878465880849825e-10,3.647187138348875e-14
1,31,2000.0,3.6502026313380306e-14,2.541014950899963e-10,3.725132044580062e-14
1,32,2000.0,3.687898569920596e-14,2.573761979818009e-10,3.77313924215448e-14
1,33,2000.0,3.635408711156103e-14,2.529348796407399e-10,3.7080294431483466e-14
1,34,2000.0,3.609397117786372e-14,2.5118227031308195e-10,3.6823361619428333e-14
1,35,2000.0,3.611591386924939e-14,2.513134174347996e-10,3.6842587808770194e-14
1,36,2000.0,3.530443261493121e-14,2.4748970357139717e-10,3.628203073543142e-14
1,37,2000.0,3.614882056761381e-14,2.515504243440477e-10,3.687733306015544e-14
1,38,2000.0,3.6896755392254014e-14,2.5754488645179066e-10,3.775612217863998e-14
1,39,2000.0,3.6044284209713385e-14,2.506896387726396e-10,3.675114175559704e-14
1,40,2000.0,3.590083266524075e-14,2.500749393552442e-10,3.6661026721180846e-14
1,41,2000.0,3.600411261725507e-14,2.5056849982450824e-10,3.673338276612825e-14
1,42,2000.0,3.614585863557216e-14,2.513691142383109e-10,3.685075296921001e-14
1,43,2000.0,3.677749940411486e-14,2.5613438316385246e-10,3.754934216756515e-14
1,44,2000.0,3.655210815814541e-14,2.541840151220641e-10,3.7263417895902856e-14
1,45,2000.0,3.619646417908795e-14,2.518509840180518e-10,3.692139515717477e-14
1,46,2000.0,3.65702720670331e-14,2.5423373137695336e-10,3.727070630694345e-14
