ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.427676963280591,122.131,-116.70332303671941,4.373596476483342,0.9289909781981701,0.13619022827024765,0,0,1,0
2,pltd_kefamenanu,1,diesel,,9.978684545330907e-12,4.2,-4.1999999999900215,8.040776903756544e-12,1.4811257568771564e-11,2.1713327649024162e-12,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,12.38246624243708,33.0,-20.61753375756292,9.977732848596771,69.4568363075068,10.1823834823407,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,1.3912426766182762e-11,16.8,-16.79999999998609,1.1210567816683799e-11,5.4509241681048884e-11,7.991063682640582e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,9.978684545330907e-12,4.2,-4.1999999999900215,8.040776903756544e-12,1.4811249864685485e-11,2.1713316354821453e-12,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.3997691894473974e-11,8.4,-8.399999999986003,1.1279274054579716e-11,5.4184073534638017e-11,7.943393979570051e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,9.978684545330907e-12,4.2,-4.1999999999900215,8.040776903756544e-12,1.4811258714013685e-11,2.171332932795097e-12,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.198877165509455e-12,2.1,-2.099999999998801,9.660495608491913e-13,5.61713009584235e-12,8.234721842619017e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,9.978684545330907e-12,4.2,-4.1999999999900215,8.040776903756544e-12,1.4811247629726446e-11,2.1713313078367876e-12,0,0,0,1
10,pltmg_maumere,1,gas,,1.3912426766182762e-11,16.8,-16.79999999998609,1.1210567816683799e-11,5.45092084102339e-11,7.991058805133703e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,1.3799628106880846e-11,4.2,-4.1999999999862005,1.1119675189467326e-11,5.460010282403449e-11,8.004383940957952e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,4.072331303830915e-11,0.9954,-0.9953999999592766,3.2814653418029783e-11,4.159274531940662e-11,6.097503218408995e-12,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.198877165509455e-12,2.1,-2.099999999998801,9.660495608491913e-13,5.617130095842345e-12,8.234721842619009e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,6.4241389985397745e-12,0.42,-0.41999999999357585,5.176540880846871e-12,3.621515452711379e-11,5.3091475349481874e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.8267274982330223e-12,0.672,-0.6719999999981733,1.4719683952853097e-12,4.320374831753415e-12,6.333676519558363e-13,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,1.3799628106880846e-11,4.2,-4.1999999999862005,1.1119675189467326e-11,5.460008513560505e-11,8.004381347831324e-12,0,0,0,1
17,plts_adonara,1,solar,PLN,4.014745760375906e-11,0.42,-0.41999999995985254,3.235063182710781e-11,4.1334541710177426e-11,6.059650527364212e-12,0,1,0,1
18,plts_adonara,1,solar,PLN,4.099215756123745e-11,1.68,-1.6799999999590078,3.303128706556551e-11,4.166244273341939e-11,6.107720870621996e-12,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,4.025772007059304e-11,0.504,-0.5039999999597423,3.243948080240533e-11,4.140239233496919e-11,6.069597439977499e-12,0,1,0,1
20,plts_betun,1,solar,IPP,3.9818257564234e-11,0.252,-0.25199999996018174,3.2085363989197514e-11,4.109058428359719e-11,6.023886329009321e-12,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,1.3799628106880846e-11,4.2,-4.1999999999862005,1.1119675189467326e-11,5.4600102411915904e-11,8.0043838805413e-12,0,0,0,1
22,plts_flores,1,solar,PLN,4.125916927009143e-11,12.6,-12.59999999995874,3.3246443840171655e-11,4.188501874242594e-11,6.1403505496882835e-12,0,1,0,1
23,plts_lembata,1,solar,PLN,4.086274593531662e-11,1.26,-1.2599999999591374,3.292700778826651e-11,4.162182601756707e-11,6.101766453481968e-12,0,1,0,1
24,pltb_maubesi,1,wind,PLN,2.0149952808834213e-11,0.84,-0.83999999997985,1.6236736858554093e-11,4.566907650048554e-12,6.69509403154372e-13,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,4.101726447814793e-11,1.8312,-1.8311999999589827,3.3051518100698566e-11,4.1672875588791324e-11,6.1092503289137984e-12,0,1,0,1
26,plts_rote,1,solar,PLN,4.025772007059304e-11,0.504,-0.5039999999597423,3.243948080240533e-11,4.140239233496914e-11,6.069597439977492e-12,0,1,0,1
27,plts_rote,1,solar,PLN,4.062109126687871e-11,0.84,-0.8399999999593789,3.2732283597133554e-11,4.157138423139626e-11,6.094371679437676e-12,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,3.981825756423483e-11,0.252,-0.25199999996018174,3.208536398919818e-11,4.10905842835972e-11,6.023886329009321e-12,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,1.1979447774918557e-12,1.26,-1.259999999998802,9.652982469858065e-13,5.6031996662500544e-12,8.214299810213954e-13,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.8382312224537695e-12,0.84,-0.8399999999981618,1.4812380419607976e-12,4.182239065084049e-12,6.131169261291172e-13,0,0,0,1
31,pltu_timor_1,1,coal,PLN,99.99999999998693,100.0,-1.3073986337985843e-11,80.57952796511465,558.0631287868032,81.81214530855286,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,4.126188579197533e-11,12.39,-12.38999999995874,3.3248632800682774e-11,4.188812382721702e-11,6.140805755622917e-12,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,4.13137973481757e-11,17.1192,-17.119199999958685,3.3290462887628384e-11,4.1946112379385224e-11,6.149306886788007e-12,0,1,0,1
34,plts_lembata,1,solar,PLN,4.086274593531579e-11,1.26,-1.2599999999591374,3.292700778826584e-11,4.162182601756716e-11,6.10176645348198e-12,0,1,0,1
35,plts_sumba,1,solar,PLN,4.105944421426793e-11,2.1,-2.0999999999589405,3.3085506332961e-11,4.1699030216561246e-11,6.1130846015923314e-12,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,2.0518825712983247e-11,1.26,-1.259999999979481,1.653397290350863e-11,4.6107987801310456e-12,6.759438499523025e-13,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,4.105944421426793e-11,2.1,-2.0999999999589405,3.3085506332961e-11,4.16990302165613e-11,6.113084601592339e-12,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,1.831196285493867e-12,0.735,-0.7349999999981688,1.475569322965864e-12,4.261176020416083e-12,6.246890966000072e-13,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,2.0037133110102013e-12,12.6,-12.599999999997996,1.6145827277864006e-12,9.258269679173166e-12,1.357263838492452e-12,0,0,0,1
40,plts_sumba,1,solar,PLN,4.105944421426793e-11,2.1,-2.0999999999589405,3.3085506332961e-11,4.1699030216561285e-11,6.113084601592336e-12,0,1,0,1
