Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,6.486397641861158e-14,5.386278218807221e-10,7.89629261598639e-14
1,2,2000.0,6.597795485823946e-14,5.402246127303827e-10,7.919701595773998e-14
1,3,2000.0,6.597777162360224e-14,5.402206009174027e-10,7.919642782530561e-14
1,4,2000.0,6.5900431787709e-14,5.396569000152999e-10,7.911378918151336e-14
1,5,2000.0,6.591296801667123e-14,5.397367707072826e-10,7.912549823792888e-14
1,6,2000.0,6.488780530663998e-14,5.388733124370041e-10,7.899891511528205e-14
1,7,2000.0,6.589028817434526e-14,5.396006403939464e-10,7.910554151188648e-14
1,8,2000.0,6.489592079502324e-14,5.398607895518466e-10,7.91436794206824e-14
1,9,2000.0,6.557063244416593e-14,5.399481408054281e-10,7.915648512864313e-14
1,10,2000.0,6.590356607583836e-14,5.396701472577203e-10,7.911573122940353e-14
1,11,2000.0,6.595703213523508e-14,5.400229084792297e-10,7.916744608176456e-14
1,12,2000.0,6.586281364497013e-14,5.394230383597271e-10,7.90795050248277e-14
1,13,2000.0,6.481042001164839e-14,5.342142073098198e-10,7.83158895470069e-14
1,14,2000.0,6.482650049764147e-14,5.38332901377937e-10,7.891969076626107e-14
1,15,2000.0,6.47689486949442e-14,5.339476213173219e-10,7.827680799721362e-14
1,16,2000.0,6.592565696613042e-14,5.398122868482366e-10,7.913656891645642e-14
1,17,2000.0,6.581569594757691e-14,5.343398585396577e-10,7.833431003770665e-14
1,18,2000.0,6.472025911926912e-14,5.378911623636101e-10,7.885493175502315e-14
1,19,2000.0,6.582752010807215e-14,5.390918610626311e-10,7.903095437929086e-14
1,20,2000.0,6.531223569776078e-14,5.302378747828946e-10,7.773295855281069e-14
1,21,2000.0,6.54284675251432e-14,5.392999000139654e-10,7.906145292334159e-14
1,22,2000.0,6.540026350892917e-14,5.382517912171143e-10,7.890780000351232e-14
1,23,2000.0,6.476025206466458e-14,5.368092515184961e-10,7.869632344942915e-14
1,24,2000.0,6.535315498598515e-14,5.346006252631235e-10,7.837253848171475e-14
1,25,2000.0,6.532549244038095e-14,5.314681296358798e-10,7.79133141140494e-14
1,26,2000.0,6.541241249253801e-14,5.388093572720802e-10,7.898953927771802e-14
1,27,2000.0,6.539493700500592e-14,5.378785529312239e-10,7.885308321018759e-14
1,28,2000.0,6.536968188839943e-14,5.363687819396518e-10,7.863175053763914e-14
1,29,2000.0,6.573706667858728e-14,5.339727607285445e-10,7.828049343898144e-14
1,30,2000.0,6.531785798822973e-14,5.313793482780531e-10,7.790029875257408e-14
1,31,2000.0,6.537778041435856e-14,5.370728743086042e-10,7.873497059327083e-14
1,32,2000.0,6.541135134833206e-14,5.385331079940124e-10,7.89490410886909e-14
1,33,2000.0,6.536875013631823e-14,5.362867857441518e-10,7.861972988206282e-14
1,34,2000.0,6.535022530911801e-14,5.348587736691284e-10,7.84103830799579e-14
1,35,2000.0,6.535234766614228e-14,5.349668831646058e-10,7.842623194955166e-14
1,36,2000.0,6.570149030638154e-14,5.297371475061036e-10,7.765955185271596e-14
1,37,2000.0,6.574711948976801e-14,5.352383162521031e-10,7.846602408425899e-14
1,38,2000.0,6.580488112887072e-14,5.386852263987635e-10,7.897134167153116e-14
1,39,2000.0,6.471953770753861e-14,5.33786539989011e-10,7.825319344832393e-14
1,40,2000.0,6.573531732892148e-14,5.336420474956248e-10,7.823201082532822e-14
1,41,2000.0,6.573931761727702e-14,5.343170966206999e-10,7.833097313669093e-14
1,42,2000.0,6.47260383767961e-14,5.34460680618526e-10,7.835202257409002e-14
1,43,2000.0,6.540142881973924e-14,5.381790360376996e-10,7.889713408239481e-14
1,44,2000.0,6.538061663837473e-14,5.371568515189302e-10,7.874728166594237e-14
1,45,2000.0,6.535901072482544e-14,5.354571591828798e-10,7.849810649345053e-14
1,46,2000.0,6.538256520126425e-14,5.372725413027838e-10,7.876424180704312e-14
1,47,2000.0,6.475944073575031e-14,5.367584967747515e-10,7.868888279575371e-14
1,48,2000.0,6.538281812921234e-14,5.372864879906656e-10,7.87662863937515e-14
1,49,2000.0,6.541661211604724e-14,5.387216026600556e-10,7.897667443734402e-14
1,50,2000.0,6.543431760980334e-14,5.38896277082419e-10,7.90022817360293e-14
1,51,2000.0,6.54070575774261e-14,5.383999103921333e-10,7.892951429862438e-14
1,52,2000.0,6.5395378975173e-14,5.383577242692785e-10,7.892332980616292e-14
1,53,2000.0,6.540192477681997e-14,5.382003160448382e-10,7.890025373489717e-14
1,54,2000.0,6.537573933045157e-14,5.376614908921033e-10,7.882126188000205e-14
1,55,2000.0,6.543702936970081e-14,5.390078248445009e-10,7.901863465606564e-14
1,56,2000.0,6.542498643872928e-14,5.392127655092284e-10,7.904867899079667e-14
1,57,2000.0,6.581224484776397e-14,5.388600203584744e-10,7.899696649441098e-14
1,58,2000.0,6.546521542135816e-14,5.398153268080126e-10,7.913701457505327e-14
1,59,2000.0,6.574773295172731e-14,5.352967202528571e-10,7.847458612025422e-14
1,60,2000.0,6.590919243743825e-14,5.397127496048083e-10,7.912197674040517e-14
1,61,2000.0,6.5724269330466e-14,5.323760220074313e-10,7.804641128315887e-14
1,62,2000.0,6.547124463598499e-14,5.39326644620368e-10,7.90653736869835e-14
1,63,2000.0,6.475944073573739e-14,5.367584967721739e-10,7.868888279537584e-14
1,64,2000.0,6.537964236798866e-14,5.370963649852147e-10,7.873841433027678e-14
1,65,2000.0,6.532120791599068e-14,5.315277614427221e-10,7.792205614661657e-14
1,66,2000.0,6.550711482442936e-14,5.393987699631262e-10,7.907594727394487e-14
1,67,2000.0,6.549853460444865e-14,5.395025589772339e-10,7.909116276026819e-14
1,68,2000.0,6.54073593240553e-14,5.385930910543187e-10,7.895783461507294e-14
1,69,2000.0,6.547699593201392e-14,5.392195439136041e-10,7.904967270597895e-14
1,70,2000.0,6.573489476660392e-14,5.335557987637249e-10,7.821936674722505e-14
1,71,2000.0,6.540770210500311e-14,5.384218796349014e-10,7.893273499318195e-14
1,72,2000.0,6.477363991297553e-14,5.373054291709328e-10,7.876906317385468e-14
1,73,2000.0,6.576540690227231e-14,5.368084222711053e-10,7.869620188162699e-14
1,74,2000.0,6.55742433094907e-14,5.399801167182098e-10,7.916117280264974e-14
1,75,2000.0,6.47934725539039e-14,5.378243791340805e-10,7.884514132272865e-14
1,76,2000.0,6.573907327065085e-14,5.342803251367507e-10,7.832558243117236e-14
1,77,2000.0,6.587316044890531e-14,5.395055579690987e-10,7.909160241296262e-14
1,78,2000.0,6.537492369607837e-14,5.36782708798537e-10,7.869243228237265e-14
1,79,2000.0,6.53411612912933e-14,5.338889710136679e-10,7.826820985317324e-14
1,80,2000.0,6.57729602865779e-14,5.372982910001853e-10,7.876801671686387e-14
1,81,2000.0,6.580919548489808e-14,5.387961150906438e-10,7.898759797176892e-14
1,82,2000.0,6.489878467607038e-14,5.392478916324775e-10,7.905382848616942e-14
1,83,2000.0,6.488575451644059e-14,5.388398094067535e-10,7.899400356560648e-14
1,84,2000.0,6.489478620636513e-14,5.390230034465763e-10,7.902085984159488e-14
1,85,2000.0,6.472236260969948e-14,5.340886012056164e-10,7.829747567173246e-14
1,86,2000.0,6.489426521462762e-14,5.390023022580746e-10,7.901782504399868e-14
1,87,2000.0,6.48917358145948e-14,5.38943551998062e-10,7.900921224633992e-14
1,88,2000.0,6.482227173426047e-14,5.382866796018686e-10,7.89129146463831e-14
1,89,2000.0,6.491452234584415e-14,5.395288214884609e-10,7.909501284867905e-14
1,90,2000.0,6.487281886896024e-14,5.386984487205644e-10,7.897328006605445e-14
1,91,2000.0,6.486739161545297e-14,5.386543879490877e-10,7.896682074980057e-14
1,92,2000.0,6.484528739326803e-14,5.385010824695068e-10,7.894434614159749e-14
1,93,2000.0,6.49200378261092e-14,5.396376478172892e-10,7.911096680615849e-14
1,94,2000.0,6.479757059587282e-14,5.379086190679538e-10,7.885749091071488e-14
1,95,2000.0,6.564346369120601e-14,5.316476825863527e-10,7.793963660574778e-14
1,96,2000.0,6.632296473649863e-14,5.312143824522408e-10,7.787611473571985e-14
1,97,2000.0,6.56894681732477e-14,5.367433300759208e-10,7.86866593552421e-14
1,98,2000.0,6.632297504711271e-14,5.308419946217273e-10,7.782152261929149e-14
1,99,2000.0,6.632424902971602e-14,5.315043659380813e-10,7.791862636183686e-14
1,100,2000.0,6.643348178448504e-14,5.384946643302433e-10,7.894340524133917e-14
1,101,2000.0,6.476202167121779e-14,5.365853032908938e-10,7.866349260289387e-14
1,102,2000.0,6.638548243301863e-14,5.377796463945444e-10,7.883858349584813e-14
1,103,2000.0,6.64066847091928e-14,5.382010210244046e-10,7.89003570850161e-14
1,104,2000.0,6.642649744174983e-14,5.384181092146899e-10,7.893218224896663e-14
1,105,2000.0,6.476202169825626e-14,5.365853044938458e-10,7.866349277924683e-14
1,106,2000.0,6.472418526891592e-14,5.341067583599931e-10,7.830013751351278e-14
1,107,2000.0,6.633606281633241e-14,5.345949696403973e-10,7.837170936650464e-14
1,108,2000.0,6.476004859584702e-14,5.367966481830197e-10,7.869447579840155e-14
1,109,2000.0,6.638141010551324e-14,5.373118433870395e-10,7.877000349897759e-14
1,110,2000.0,6.63376672621884e-14,5.35667340434406e-10,7.852891909905732e-14
