ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.427676961728542,122.131,-116.70332303827146,4.3735964752327074,0.9289909772129517,0.13619022812581447,0,0,1,0
2,pltd_kefamenanu,1,diesel,,1.8916423982773267e-11,4.2,-4.199999999981084,1.5242765153200432e-11,2.741887945989607e-11,4.019612181595464e-12,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,12.410083568784927,33.0,-20.589916431215073,9.999986759804456,69.53989241500452,10.194559521188022,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,2.5625723765188013e-11,16.8,-16.799999999974375,2.0649087247635407e-11,1.0077911364296998e-10,1.4774234426398813e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,1.8916423982773267e-11,4.2,-4.199999999981084,1.5242765153200432e-11,2.7418879325885328e-11,4.019612161949467e-12,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,2.6416202558721125e-11,8.4,-8.399999999973584,2.1286051328128804e-11,9.920455438546689e-11,1.454340378354338e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,1.8916423982773267e-11,4.2,-4.199999999981084,1.5242765153200432e-11,2.741887922535958e-11,4.019612147212376e-12,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,2.0168549788534575e-12,2.1,-2.099999999997983,1.6251722217012412e-12,1.0400151615912765e-11,1.5246639158579663e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,1.8916423982773267e-11,4.2,-4.199999999981084,1.5242765153200432e-11,2.741887942617601e-11,4.019612176652098e-12,0,0,0,1
10,pltmg_maumere,1,gas,,2.5625723765188013e-11,16.8,-16.799999999974375,2.0649087247635407e-11,1.0077911256262853e-10,1.477423426802058e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,2.6492585902815335e-11,4.2,-4.199999999973508,2.1347600666243897e-11,9.85734271425754e-11,1.4450880427241609e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,8.104947291201801e-11,0.9954,-0.9953999999189505,6.530928269072611e-11,7.490780458138374e-11,1.0981496316518104e-11,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,2.016854978853459e-12,2.1,-2.099999999997983,1.6251722217012426e-12,1.0400151615912759e-11,1.5246639158579653e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,1.2599532528412283e-11,0.42,-0.41999999998740045,1.015264383720702e-11,6.804325003565994e-11,9.975151505324187e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,3.4174639764036222e-12,0.672,-0.6719999999965826,2.7537763405642356e-12,7.449739738476643e-12,1.0921330554844646e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,2.6492585902815335e-11,4.2,-4.199999999973508,2.1347600666243897e-11,9.85734272772662e-11,1.4450880446987299e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,8.002682959663346e-11,0.42,-0.41999999991997317,6.448524153442234e-11,7.269421753540588e-11,1.0656984096095358e-11,0,1,0,1
18,plts_adonara,1,solar,PLN,8.060386707465574e-11,1.68,-1.679999999919396,6.495021561039455e-11,7.628106628957948e-11,1.1182816705954729e-11,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,8.037158016835184e-11,0.504,-0.5039999999196284,6.476303991777008e-11,7.314296596660197e-11,1.072277068898461e-11,0,1,0,1
20,plts_betun,1,solar,IPP,7.908845178849648e-11,0.252,-0.25199999992091154,6.372910112609607e-11,7.154351912437763e-11,1.0488291522167348e-11,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,2.6492585902815335e-11,4.2,-4.199999999973508,2.1347600666243897e-11,9.857342740570682e-11,1.4450880465816715e-11,0,0,0,1
22,plts_flores,1,solar,PLN,7.844932894684573e-11,12.6,-12.59999999992155,6.32140989571766e-11,7.728005147714137e-11,1.1329268096684627e-11,0,1,0,1
23,plts_lembata,1,solar,PLN,8.090448464285456e-11,1.26,-1.2599999999190956,6.51924518278294e-11,7.56241690139286e-11,1.1086515458665423e-11,0,1,0,1
24,pltb_maubesi,1,wind,PLN,4.0125260114479805e-11,0.84,-0.8399999999598747,3.2332745195026474e-11,7.269094948999752e-12,1.0656505000107767e-12,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,8.046544300849599e-11,1.8312,-1.8311999999195345,6.48386741512929e-11,7.640984042694602e-11,1.1201695015405344e-11,0,1,0,1
26,plts_rote,1,solar,PLN,8.037158016835189e-11,0.504,-0.5039999999196284,6.476303991777012e-11,7.314296596660197e-11,1.072277068898461e-11,0,1,0,1
27,plts_rote,1,solar,PLN,8.097693507957427e-11,0.84,-0.8399999999190231,6.525083204774681e-11,7.454427126690572e-11,1.0928202273578497e-11,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,7.908845178849642e-11,0.252,-0.25199999992091154,6.372910112609602e-11,7.154351912437762e-11,1.0488291522167345e-11,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,2.1311303044332242e-12,1.26,-1.2599999999978688,1.7172547396340271e-12,1.0364222242496024e-11,1.519396663880209e-12,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,3.4193873772868657e-12,0.84,-0.8399999999965806,2.7553262079168305e-12,7.578825295551014e-12,1.1110570191148202e-12,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.00000000002937,100.0,2.937383669632254e-11,80.57952796514884,558.1999369400113,81.83220140603056,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,7.849048020431301e-11,12.39,-12.38999999992151,6.324725844619546e-11,7.727225897502826e-11,1.1328125714609357e-11,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,7.786510090373054e-11,17.1192,-17.119199999922134,6.27433307577945e-11,7.739548730812666e-11,1.1346191008253634e-11,0,1,0,1
34,plts_lembata,1,solar,PLN,8.090448464285456e-11,1.26,-1.2599999999190956,6.51924518278294e-11,7.56241690139286e-11,1.1086515458665423e-11,0,1,0,1
35,plts_sumba,1,solar,PLN,8.015124009412123e-11,2.1,-2.0999999999198486,6.458549092603705e-11,7.659473170435112e-11,1.1228800106698929e-11,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,4.1163432036300595e-11,1.26,-1.2599999999588365,3.316929922909614e-11,7.518951348666576e-12,1.1022794887781446e-12,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,8.015124009412118e-11,2.1,-2.0999999999198486,6.4585490926037e-11,7.659473170435103e-11,1.1228800106698916e-11,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,3.4171705721581196e-12,0.735,-0.7349999999965828,2.75353991680818e-12,7.516124322696368e-12,1.1018650463118084e-12,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,3.676415573567459e-12,12.6,-12.599999999996323,2.962438315217008e-12,1.7230185799619444e-11,2.525948036374132e-12,0,0,0,1
40,plts_sumba,1,solar,PLN,8.015124009412108e-11,2.1,-2.0999999999198486,6.458549092603692e-11,7.659473170435092e-11,1.12288001066989e-11,0,1,0,1
41,plts_sumba,1,solar,PLN,8.015124009412118e-11,2.1,-2.0999999999198486,6.4585490926037e-11,7.6594731704351e-11,1.1228800106698911e-11,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,8.015124009412113e-11,2.1,-2.0999999999198486,6.458549092603696e-11,7.659473170435099e-11,1.122880010669891e-11,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,4.041514333975456e-11,4.62,-4.619999999959585,3.256633172960295e-11,8.158976011558672e-12,1.1961072082969332e-12,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,4.041514333975456e-11,4.62,-4.619999999959585,3.256633172960295e-11,8.158976011558674e-12,1.1961072082969336e-12,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,1.6138345474658821e-12,9.24,-9.239999999998386,1.300420260486122e-12,1.0439604215821707e-11,1.5304476734116455e-12,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,1.8541291497790695e-12,4.2,-4.199999999998146,1.4940485167557629e-12,1.0414751314967958e-11,1.5268042341104212e-12,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,8.015124009412108e-11,2.1,-2.0999999999198486,6.458549092603692e-11,7.659473170435099e-11,1.122880010669891e-11,0,1,0,1
48,pltm_flores,1,hydropower,PLN,3.465796374596481e-12,2.1,-2.0999999999965344,2.7927223588822662e-12,7.660486971260003e-12,1.1230286340354614e-12,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,3.4657963745964744e-12,2.1,-2.0999999999965344,2.7927223588822606e-12,7.660486971259945e-12,1.1230286340354529e-12,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,1.6090225386946619e-12,8.4,-8.399999999998391,1.2965427665326321e-12,1.043625742711149e-11,1.5299570336432156e-12,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,1.6090225386946619e-12,8.4,-8.399999999998391,1.2965427665326321e-12,1.043625742711149e-11,1.5299570336432156e-12,0,0,0,1
52,plts_sumba,1,solar,PLN,8.015124009412108e-11,2.1,-2.0999999999198486,6.458549092603692e-11,7.659473170435091e-11,1.1228800106698898e-11,0,1,0,1
53,plts_sumba,1,solar,PLN,8.015124009412118e-11,2.1,-2.0999999999198486,6.4585490926037e-11,7.659473170435101e-11,1.1228800106698913e-11,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,2.5831781158558442e-11,21.0,-20.999999999974168,2.0815127322550537e-11,9.982650742112858e-11,1.4634582199575396e-11,0,0,0,1
55,pltu_atambua,1,coal,PLN,11.797443106939951,24.0,-12.202556893060049,9.506323967526411,65.96413618196206,9.67035307672788,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,1.609022538694623e-12,8.4,-8.399999999998391,1.2965427665326008e-12,1.0436257427111497e-11,1.5299570336432165e-12,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,1.854129149779121e-12,4.2,-4.199999999998146,1.4940485167558047e-12,1.0414751314967952e-11,1.5268042341104204e-12,0,0,0,1
58,plts_rote,1,solar,PLN,8.002682959663346e-11,0.42,-0.41999999991997317,6.448524153442234e-11,7.269421753540586e-11,1.0656984096095353e-11,0,1,0,1
59,plts_sumba,1,solar,PLN,8.015124009412113e-11,2.1,-2.0999999999198486,6.458549092603696e-11,7.659473170435099e-11,1.122880010669891e-11,0,1,0,1
60,plts_sumba,1,solar,PLN,8.015124009412118e-11,2.1,-2.0999999999198486,6.4585490926037e-11,7.659473170435097e-11,1.1228800106698906e-11,0,1,0,1
61,plt_ebt_base_timor_3,1,gas,PLN,2.5831781158558442e-11,21.0,-20.999999999974168,2.0815127322550537e-11,9.982650924610376e-11,1.463458246711705e-11,0,0,0,1
62,pltp_gunung_sirung,1,geothermal,PLN,2.0168549788534543e-12,2.1,-2.099999999997983,1.6251722217012388e-12,1.0400151615912762e-11,1.5246639158579659e-12,0,0,0,1
63,plts_sumba,1,solar,PLN,8.015124009412113e-11,2.1,-2.0999999999198486,6.458549092603696e-11,7.659473170435103e-11,1.1228800106698916e-11,0,1,0,1
64,plts_sumba,1,solar,PLN,8.015124009412118e-11,2.1,-2.0999999999198486,6.4585490926037e-11,7.659473170435107e-11,1.122880010669892e-11,0,1,0,1
65,east_nusa_tenggara_solar_potential_ruen,1,solar,,8.708373108198987e-11,3054.24,-3054.239999999913,7.017165944028643e-11,7.709642345603873e-11,1.1302348198970133e-11,0,1,0,1
66,east_nusa_tenggara_wind_potential_ruen,1,wind,,5.555100646720433e-11,4278.96,-4278.959999999945,4.476273879114941e-11,6.565390005909527e-12,9.624872410733842e-13,0,1,0,1
