Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,9.888885676369716e-13,8.061708451731615e-9,1.1818477682302171e-12
1,2,2000.0,9.98259326918793e-13,8.198002518911818e-9,1.2018285006127361e-12
1,3,2000.0,9.981761703491393e-13,8.19742254135998e-9,1.2017434758094494e-12
1,4,2000.0,9.857987615703837e-13,8.106364763227322e-9,1.188394390747589e-12
1,5,2000.0,9.872990927361356e-13,8.12010447090834e-9,1.1904086341249292e-12
1,6,2000.0,9.961802078510378e-13,8.099763937900174e-9,1.1874267086826673e-12
1,7,2000.0,9.845299213998478e-13,8.096987109054392e-9,1.187019625122924e-12
1,8,2000.0,9.94633073829741e-13,8.180122550905585e-9,1.1992072943993493e-12
1,9,2000.0,9.945500906299057e-13,8.172470732026074e-9,1.1980855365089716e-12
1,10,2000.0,9.86079462927164e-13,8.108614405268237e-9,1.1887241886361249e-12
1,11,2000.0,9.935553377001864e-13,8.167707598114715e-9,1.1973872603040425e-12
1,12,2000.0,9.80370878381257e-13,8.069934871659194e-9,1.183053762727555e-12
1,13,2000.0,9.817916594833783e-13,8.045202131920399e-9,1.1794279390652973e-12
1,14,2000.0,9.836341263068576e-13,8.023617597394459e-9,1.1762636427985066e-12
1,15,2000.0,9.745580084227717e-13,7.997859609435262e-9,1.1724875175806392e-12
1,16,2000.0,9.883632706506334e-13,8.13331571219293e-9,1.1923454042427308e-12
1,17,2000.0,9.911801908452989e-13,8.024627322614796e-9,1.1764116686797856e-12
1,18,2000.0,9.668641429148864e-13,7.95251357413237e-9,1.165839781441124e-12
1,19,2000.0,9.743648583590239e-13,8.02729164604502e-9,1.1768022589273374e-12
1,20,2000.0,9.547834144027097e-13,7.0437539073860605e-9,1.032615466715246e-12
1,21,2000.0,9.718397595486514e-13,8.001890199649111e-9,1.1730784027605497e-12
1,22,2000.0,9.657524631901508e-13,7.929474508470344e-9,1.16246225067357e-12
1,23,2000.0,9.743010121350681e-13,7.909726053016033e-9,1.1595671238968557e-12
1,24,2000.0,9.603747819710935e-13,7.597975172090746e-9,1.113864394125449e-12
1,25,2000.0,9.561654670051764e-13,7.197760446319582e-9,1.0551928503332741e-12
1,26,2000.0,9.683248323917853e-13,7.965394121925888e-9,1.1677280718394305e-12
1,27,2000.0,9.667517683363177e-13,7.941457954681413e-9,1.1642190258342019e-12
1,28,2000.0,9.6284076646385e-13,7.834139292743954e-9,1.1484860925658205e-12
1,29,2000.0,9.605864407626512e-13,7.580394624186828e-9,1.1112870829476866e-12
1,30,2000.0,9.57028842684025e-13,7.250741417641159e-9,1.062959869333028e-12
1,31,2000.0,9.634712672995984e-13,7.878405597701776e-9,1.1549755400614022e-12
1,32,2000.0,9.706036897065714e-13,7.985791722354008e-9,1.170718363374725e-12
1,33,2000.0,9.627563920757299e-13,7.827362409749398e-9,1.1474926004182655e-12
1,34,2000.0,9.614003930854258e-13,7.678894046820082e-9,1.1257271143018434e-12
1,35,2000.0,9.618825170437206e-13,7.704363621211282e-9,1.1294609580438046e-12
1,36,2000.0,9.550007258528728e-13,7.04179422925755e-9,1.0323281775833584e-12
1,37,2000.0,9.617596711695442e-13,7.718064503505915e-9,1.1314695096131955e-12
1,38,2000.0,9.705226693657462e-13,7.989201537709651e-9,1.17121824285961e-12
1,39,2000.0,9.6898925624303e-13,7.644025312285032e-9,1.1206153521563878e-12
1,40,2000.0,9.603086256889918e-13,7.541562660660248e-9,1.1055943107884518e-12
1,41,2000.0,9.610690949897306e-13,7.619636545192012e-9,1.117039954939861e-12
1,42,2000.0,9.695922509400453e-13,7.714201552780605e-9,1.130903200409529e-12
1,43,2000.0,9.681909046875908e-13,7.960545063687156e-9,1.1670171991141544e-12
1,44,2000.0,9.640930834941828e-13,7.893799607547413e-9,1.157232304404731e-12
1,45,2000.0,9.62135540475638e-13,7.752743959264077e-9,1.1365535234592207e-12
1,46,2000.0,9.644857921881197e-13,7.901903126766598e-9,1.15842028163826e-12
1,47,2000.0,9.741157517688065e-13,7.906314807914127e-9,1.1590670348109363e-12
1,48,2000.0,9.645326567011388e-13,7.90287887218422e-9,1.1585633260749424e-12
1,49,2000.0,9.740420950352375e-13,8.023410287963257e-9,1.1762332512022256e-12
1,50,2000.0,9.76841437823866e-13,8.045009397537774e-9,1.179399684173505e-12
1,51,2000.0,9.696063193665663e-13,7.975905139542457e-9,1.169268988728989e-12
1,52,2000.0,9.706556911241046e-13,7.989352153805287e-9,1.17124032320369e-12
1,53,2000.0,9.682973272467545e-13,7.961971200077132e-9,1.1672262709405269e-12
1,54,2000.0,9.665012990337665e-13,7.941335526747336e-9,1.164201077879184e-12
