ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,3.3076907782005267,122.131,-118.82330922179948,2.6812947439930923,0.7525737215995358,0.11333441345865519,0,0,1,0
2,pltd_kefamenanu,1,diesel,,6.213252135012226e-11,4.2,-4.199999999937868,5.0366135802378094e-11,1.0118006533377227e-10,1.5237289091012773e-11,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,14.036303149797916,33.0,-18.963696850202084,11.37816935872148,83.113428296723,12.516530110201638,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,9.992007221626409e-11,16.8,-16.79999999990008,8.099764531152221e-11,4.058282677294716e-10,6.111601743189289e-11,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,6.213252135012226e-11,4.2,-4.199999999937868,5.0366135802378094e-11,1.0118005250258774e-10,1.5237287158690754e-11,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,9.553602353662427e-11,8.4,-8.399999999904464,7.744382862478733e-11,3.9406517899698953e-10,5.934454611460528e-11,0,0,0,1
7,pltd_ruteng,1,diesel,,6.213252135012226e-11,4.2,-4.199999999937868,5.0366135802378094e-11,1.0118006458418251e-10,1.5237288978127732e-11,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,7.530986813978564e-12,2.1,-2.0999999999924692,6.104801420520764e-12,3.826965519130808e-11,5.763247905007044e-12,0,0,0,1
9,pltd_bajawa,1,diesel,,6.213252135012226e-11,4.2,-4.199999999937868,5.0366135802378094e-11,1.0118006681203788e-10,1.5237289313633306e-11,0,0,0,1
10,pltmg_maumere,1,gas,,9.992007221626409e-11,16.8,-16.79999999990008,8.099764531152221e-11,4.0582827908907373e-10,6.111601914260085e-11,0,0,0,1
11,pltmg_alor,1,gas,PLN,9.297718150946821e-11,4.2,-4.199999999907023,7.536956892574292e-11,3.837142638098209e-10,5.77857421491882e-11,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,2.8722149023128217e-10,0.9954,-0.9953999997127785,2.3282873876679893e-10,3.00167163443094e-10,4.520390286291963e-11,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,7.530986813978977e-12,2.1,-2.0999999999924692,6.1048014205211e-12,3.826965519130815e-11,5.763247905007055e-12,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,4.2033043712308427e-11,0.42,-0.41999999995796694,3.407300946104701e-11,2.602878081317908e-10,3.919824094090941e-11,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.1326491628731736e-11,0.672,-0.6719999999886735,9.181530109208721e-12,2.958982429062186e-11,4.4561021519521054e-12,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,9.297718150946821e-11,4.2,-4.199999999907023,7.536956892574292e-11,3.837142583203939e-10,5.778574132250376e-11,0,0,0,1
17,plts_adonara,1,solar,PLN,2.716483779242678e-10,0.42,-0.4199999997283516,2.2020479445749192e-10,2.847802774138298e-10,4.288670302849626e-11,0,1,0,1
18,plts_adonara,1,solar,PLN,3.0479235867808836e-10,1.68,-1.6799999996952075,2.4707211288275726e-10,3.146970480750456e-10,4.73920419184319e-11,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,2.73357752183948e-10,0.504,-0.5039999997266422,2.21590454885064e-10,2.870710995111988e-10,4.3231691129052864e-11,0,1,0,1
20,plts_betun,1,solar,IPP,2.738247786585914e-10,0.252,-0.2519999997261752,2.219690379255404e-10,2.838679515229275e-10,4.2749310615286825e-11,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,9.297718150946821e-11,4.2,-4.199999999907023,7.536956892574292e-11,3.8371427588776227e-10,5.7785743968075e-11,0,0,0,1
22,plts_flores,1,solar,PLN,3.0805819096639084e-10,12.6,-12.599999999691942,2.4971947611486455e-10,3.070701455078276e-10,4.624346271063712e-11,0,1,0,1
23,plts_lembata,1,solar,PLN,2.9541852172117697e-10,1.26,-1.2599999997045814,2.3947345223126543e-10,3.0724297783146827e-10,4.6269490526204325e-11,0,1,0,1
24,pltb_maubesi,1,wind,PLN,1.5662592620482294e-10,0.84,-0.839999999843374,1.269647923178936e-10,7.985444795051327e-11,1.2025741479918441e-11,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,3.070279418687572e-10,1.8312,-1.831199999692972,2.488843310920304e-10,3.1627577116639936e-10,4.7629790926186154e-11,0,1,0,1
26,plts_rote,1,solar,PLN,2.73357752183948e-10,0.504,-0.5039999997266422,2.21590454885064e-10,2.870710995111991e-10,4.323169112905291e-11,0,1,0,1
27,plts_rote,1,solar,PLN,2.8201570513962273e-10,0.84,-0.8399999997179842,2.286088025210602e-10,2.954727334569896e-10,4.449694159955389e-11,0,1,0,1
