Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,1.2222974109908117e-12,3.43127728706204e-9,5.167358194711402e-13
1,2,2000.0,1.2027683184663208e-12,3.814661050925e-9,5.744717897288173e-13
1,3,2000.0,1.2024290222616723e-12,3.813264034555271e-9,5.742614049833616e-13
1,4,2000.0,1.1372326016835911e-12,3.569585101716901e-9,5.375643902819054e-13
1,5,2000.0,1.1429913420932957e-12,3.6074898199233104e-9,5.43272680223399e-13
1,6,2000.0,1.2340909995925956e-12,3.5482045096574912e-9,5.343445637175368e-13
1,7,2000.0,1.1332807205313957e-12,3.542606225576609e-9,5.335014858575589e-13
1,8,2000.0,1.188483357652716e-12,3.7693056548271146e-9,5.676414592689475e-13
1,9,2000.0,1.1609141066408064e-12,3.734123420638098e-9,5.623431638840085e-13
1,10,2000.0,1.138201527078605e-12,3.576050267010963e-9,5.385380167791986e-13
1,11,2000.0,1.1830304580501725e-12,3.741445846670258e-9,5.63445890215836e-13
1,12,2000.0,1.123322664867391e-12,3.462098215397456e-9,5.213773206754626e-13
1,13,2000.0,1.1489226543858544e-12,3.5988139980734636e-9,5.419661382164123e-13
1,14,2000.0,1.2104489921294627e-12,3.314259283864676e-9,4.991134040507764e-13
1,15,2000.0,1.1264639360828892e-12,3.44476753817429e-9,5.187673941240092e-13
1,16,2000.0,1.153797611178621e-12,3.6448432622748232e-9,5.488979503571643e-13
1,17,2000.0,1.1487424959857814e-12,3.5224106454529657e-9,5.304601170692552e-13
1,18,2000.0,1.1009953035775214e-12,3.184965874060769e-9,4.796423644122268e-13
1,19,2000.0,1.1126829618110237e-12,3.3360170509117968e-9,5.023900315700238e-13
1,20,2000.0,9.818297405010754e-13,2.927862900930333e-9,4.409237461268546e-13
1,21,2000.0,1.0837616464066397e-12,3.265196503837114e-9,4.917247572810534e-13
1,22,2000.0,1.0750605628953495e-12,3.1574095916439803e-9,4.75492505049386e-13
1,23,2000.0,1.1861826585893817e-12,3.1165687624256037e-9,4.693420492311946e-13
1,24,2000.0,1.0301511440230646e-12,3.0101522680305214e-9,4.53316176112799e-13
1,25,2000.0,9.932564422482697e-13,2.9449951833025654e-9,4.4350379525445125e-13
1,26,2000.0,1.0795768567089816e-12,3.2017004706144976e-9,4.821625237407414e-13
1,27,2000.0,1.0777356999470662e-12,3.156491866291866e-9,4.753542995001981e-13
1,28,2000.0,1.059543148764409e-12,3.0730795981489304e-9,4.627927653754839e-13
1,29,2000.0,1.0533603488748357e-12,3.006844977258309e-9,4.528181121370741e-13
1,30,2000.0,9.976588056945074e-13,2.936512355456794e-9,4.422263173266705e-13
1,31,2000.0,1.0679063565894928e-12,3.1027276708743513e-9,4.672576394948904e-13
1,32,2000.0,1.0826720787601981e-12,3.224753245731489e-9,4.856341739877438e-13
1,33,2000.0,1.0583035314394812e-12,3.0694913483516134e-9,4.622523901611359e-13
1,34,2000.0,1.038446194207621e-12,3.0157295057421494e-9,4.5415608447875065e-13
1,35,2000.0,1.0409072437884704e-12,3.021259441912052e-9,4.549888694329578e-13
1,36,2000.0,1.0044661793049842e-12,2.9288854283272467e-9,4.41077734419893e-13
1,37,2000.0,1.0679823875047529e-12,3.0437879020204875e-9,4.583815600614447e-13
1,38,2000.0,1.1069088607022057e-12,3.248644858010128e-9,4.892321495567367e-13
1,39,2000.0,1.1768545526271107e-12,2.997501659066018e-9,4.51411048009416e-13
1,40,2000.0,1.0497186410880237e-12,2.998508468599411e-9,4.515626692588122e-13
1,41,2000.0,1.0570895613482225e-12,3.015952753725316e-9,4.5418970467900725e-13
1,42,2000.0,1.178524476824261e-12,3.0168800817630933e-9,4.543293563519648e-13
1,43,2000.0,1.0800199321623716e-12,3.1827896214173805e-9,4.793146299859542e-13
1,44,2000.0,1.069666703778969e-12,3.110357662672385e-9,4.684066839277555e-13
1,45,2000.0,1.0470839235258945e-12,3.0377518337114046e-9,4.574725537518006e-13
1,46,2000.0,1.0709138252750142e-12,3.1167574620117634e-9,4.6937046658926e-13
1,47,2000.0,1.1860109377053147e-12,3.1134836984497252e-9,4.688774516693165e-13
1,48,2000.0,1.0710462940487738e-12,3.1174361311902896e-9,4.694726712917006e-13
1,49,2000.0,1.0875291297428604e-12,3.304835170785299e-9,4.976941725554896e-13
1,50,2000.0,1.092666527326355e-12,3.3663620638541645e-9,5.069598619328339e-13
1,51,2000.0,1.081570783025866e-12,3.207224003537107e-9,4.829943443930398e-13
1,52,2000.0,1.0816983473663643e-12,3.224941728296004e-9,4.856625586632692e-13
1,53,2000.0,1.0801305153289416e-12,3.1847184253134357e-9,4.796050996794369e-13
1,54,2000.0,1.076586963748524e-12,3.148653815681599e-9,4.741739222918552e-13
1,55,2000.0,1.0902404969745993e-12,3.3262493033962857e-9,5.009190501847984e-13
1,56,2000.0,1.0828928165425012e-12,3.251103911295591e-9,4.896024725613443e-13
1,57,2000.0,1.1087152094919668e-12,3.278610507467517e-9,4.937448493862532e-13
1,58,2000.0,1.0969351148558338e-12,3.4084733128362182e-9,5.133016375840598e-13
1,59,2000.0,1.0687167581653907e-12,3.0456775092484204e-9,4.586661269028032e-13
1,60,2000.0,1.1412072734960517e-12,3.595830232567402e-9,5.415167957748387e-13
1,61,2000.0,1.0341377022770757e-12,2.970819158975054e-9,4.473927765622114e-13
1,62,2000.0,1.1019257386305349e-12,3.449184621493484e-9,5.194325881545885e-13
1,63,2000.0,1.1860109377053147e-12,3.1134836984497252e-9,4.688774516693165e-13
1,64,2000.0,1.068946066228282e-12,3.107288251025928e-9,4.679444435403619e-13
1,65,2000.0,9.997603217898667e-13,2.9399964909324055e-9,4.4275101336535177e-13
1,66,2000.0,1.121415000401132e-12,3.5938826413093804e-9,5.412234967842548e-13
1,67,2000.0,1.1120858289164817e-12,3.5287710285772e-9,5.314179638157844e-13
1,68,2000.0,1.0848011638273178e-12,3.2702211761341315e-9,4.924814516370483e-13
1,69,2000.0,1.1082986778262735e-12,3.508132099342863e-9,5.283098285300921e-13
1,70,2000.0,1.048749535209787e-12,2.996411714336777e-9,4.512469069518086e-13
1,71,2000.0,1.0817457790433444e-12,3.2099993730900558e-9,4.834123032871478e-13
1,72,2000.0,1.188663518970436e-12,3.1518042745373988e-9,4.746483680455401e-13
1,73,2000.0,1.0891366124805839e-12,3.1048927492571935e-9,4.675836911248755e-13
1,74,2000.0,1.1642049607238003e-12,3.746106019448948e-9,5.641476924889292e-13
1,75,2000.0,1.1950960299844241e-12,3.2067809706220274e-9,4.829276255133708e-13
1,76,2000.0,1.0566841059021948e-12,3.0149457901570976e-9,4.54038060232619e-13
1,77,2000.0,1.1274380575698008e-12,3.498187458006457e-9,5.268122076850235e-13
1,78,2000.0,1.0650850856835835e-12,3.09185815841023e-9,4.656207369771086e-13
1,79,2000.0,1.0284821981056964e-12,2.990246397813377e-9,4.5031843640877484e-13
1,80,2000.0,1.095327237843027e-12,3.1293711027540266e-9,4.712700274350255e-13
