ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,2.184413348922837,122.131,-119.94658665107717,1.82956546739135,1.0845056719762742,0.15970831987851605,0,0,1,0
2,pltd_kefamenanu,1,diesel,,2.3663579776234123e-14,4.2,-4.199999999999976,1.9819540296623415e-14,2.958360493790006e-14,4.356591175749197e-15,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,10.496858964120436,33.0,-22.503141035879565,8.791692600808439,54.93927343056914,8.090560779597794,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,7.628229645173512e-14,16.8,-16.799999999999926,6.389058894472736e-14,2.209271956947747e-13,3.253455666634494e-14,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,2.3663579776234123e-14,4.2,-4.199999999999976,1.9819540296623415e-14,2.958360493790006e-14,4.356591175749197e-15,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,1.4085802836627526e-13,8.4,-8.39999999999986,1.1797629081091641e-13,4.680020475263023e-13,6.891971396878628e-14,0,0,0,1
7,pltd_ruteng,1,diesel,,2.3663579776234123e-14,4.2,-4.199999999999976,1.9819540296623415e-14,2.958360493790006e-14,4.356591175749197e-15,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,2.4108123865214135e-15,2.1,-2.099999999999998,2.0191870247056947e-15,1.4853968558156334e-14,2.187450396297559e-15,0,0,0,1
9,pltd_bajawa,1,diesel,,2.3663579776234123e-14,4.2,-4.199999999999976,1.9819540296623415e-14,2.958360493790006e-14,4.356591175749197e-15,0,0,0,1
10,pltmg_maumere,1,gas,,7.628229645173512e-14,16.8,-16.799999999999926,6.389058894472736e-14,2.209271956947747e-13,3.253455666634494e-14,0,0,0,1
11,pltmg_alor,1,gas,PLN,4.844735723708027e-14,4.2,-4.199999999999951,4.0577307326492415e-14,1.5067982010960883e-13,2.2189668095925948e-14,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,4.2863401566456993e-13,0.9954,-0.9953999999995713,3.590043952056447e-13,5.055208641306752e-13,7.444487378910821e-14,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,2.4108123865214135e-15,2.1,-2.099999999999998,2.0191870247056947e-15,1.4853968558156334e-14,2.187450396297559e-15,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,6.483702463810914e-14,0.42,-0.41999999999993515,5.430454879099758e-14,3.384281339466046e-13,4.983817979830358e-14,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.499821156944404e-14,0.672,-0.671999999999985,1.2561821220152939e-14,3.183102572910094e-14,4.687554680964125e-15,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,4.844735723708027e-14,4.2,-4.199999999999951,4.0577307326492415e-14,1.5067982010960883e-13,2.2189668095925948e-14,0,0,0,1
17,plts_adonara,1,solar,PLN,2.2190169347157664e-13,0.42,-0.4199999999997781,1.8585478601449355e-13,2.513423206583004e-13,3.701360055918875e-14,0,1,0,1
18,plts_adonara,1,solar,PLN,4.2639495980929597e-13,1.68,-1.6799999999995736,3.571290636552357e-13,5.053646940186443e-13,7.44218756003e-14,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,2.2245372474278627e-13,0.504,-0.5039999999997775,1.8631714234976472e-13,2.518339255478144e-13,3.708599611504165e-14,0,1,0,1
20,plts_betun,1,solar,IPP,2.2025079441878264e-13,0.252,-0.25199999999977973,1.8447206790455785e-13,2.4980659385337554e-13,3.6787443744941756e-14,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,4.844735723708027e-14,4.2,-4.199999999999951,4.0577307326492415e-14,1.5067982010960883e-13,2.2189668095925948e-14,0,0,0,1
22,plts_flores,1,solar,PLN,4.222763047229258e-13,12.6,-12.599999999999577,3.536794651065753e-13,4.983324713329449e-13,7.338628445572071e-14,0,1,0,1
23,plts_lembata,1,solar,PLN,2.189281796226079e-13,1.26,-1.259999999999781,1.833643057866714e-13,2.5105492677118134e-13,3.697127787149685e-14,0,1,0,1
24,pltb_maubesi,1,wind,PLN,2.7861861697591295e-13,0.84,-0.8399999999997213,2.3335830667892254e-13,4.9183362820060795e-14,7.24292407586341e-15,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,4.2556882508473664e-13,1.8312,-1.8311999999995743,3.564371307093892e-13,5.049152450746487e-13,7.435568808503701e-14,0,1,0,1
26,plts_rote,1,solar,PLN,2.2245372474278627e-13,0.504,-0.5039999999997775,1.8631714234976472e-13,2.518339255478144e-13,3.708599611504165e-14,0,1,0,1
27,plts_rote,1,solar,PLN,4.2799286423126935e-13,0.84,-0.839999999999572,3.584673958678987e-13,5.048905730323914e-13,7.435205478876324e-14,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,2.2025079441878264e-13,0.252,-0.25199999999977973,1.8447206790455785e-13,2.4980659385337554e-13,3.6787443744941756e-14,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,1.0952591346032347e-14,1.26,-1.2599999999999891,9.173393357549003e-15,5.6679822308531305e-14,8.346880450530648e-15,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,1.5035338200781154e-14,0.84,-0.839999999999985,1.2592916801329661e-14,3.1815192695729235e-14,4.685223049859081e-15,0,0,0,1
31,pltu_timor_1,1,coal,PLN,100.00000000000011,100.0,1.1368683772161603e-13,83.7554608560479,584.4152634515716,86.06315508440488,0,0,1,-1
32,plts_dedieselisasi,1,solar,IPP,4.222707394749256e-13,12.39,-12.389999999999578,3.53674803907465e-13,4.983174725669568e-13,7.338407568191886e-14,0,1,0,1
33,plts_dedieselisasi,1,solar,IPP,4.225989403393314e-13,17.1192,-17.119199999999577,3.539496900539816e-13,4.987679837065828e-13,7.345041962004241e-14,0,1,0,1
34,plts_lembata,1,solar,PLN,2.189281796226079e-13,1.26,-1.259999999999781,1.833643057866714e-13,2.5105492677118134e-13,3.697127787149685e-14,0,1,0,1
35,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
36,pltb_sumba_kuota_tersebar,1,wind,IPP,2.673399673927264e-13,1.26,-1.2599999999997327,2.2391182174218593e-13,5.1101840000255725e-14,7.525446127238083e-15,0,1,0,1
37,plts_timor_kuota_tersebar,1,solar,IPP,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
38,pltm_wae_lega_ruteng,1,hydropower,IPP,1.5041966125077662e-14,0.735,-0.734999999999985,1.2598468049869392e-14,3.180498216793361e-14,4.683719409738564e-15,0,0,0,1
39,pltmg_kupang_2,1,hydropower,PLN,1.6937973279966136e-14,12.6,-12.599999999999982,1.4186477580309875e-14,6.956928253167644e-14,1.0245030077197153e-14,0,0,0,1
40,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
41,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
42,plts_timor_kuota_tersebar,1,solar,IPP,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
43,pltb_timor_kuota_tersebar,1,wind,IPP,1.3673693236132092e-13,4.62,-4.619999999999863,1.1452464785964672e-13,2.4280256690476678e-14,3.5756004808981425e-15,0,1,0,1
44,pltb_timor_kuota_tersebar,1,wind,IPP,1.3673693236132092e-13,4.62,-4.619999999999863,1.1452464785964672e-13,2.4280256690476678e-14,3.5756004808981425e-15,0,1,0,1
45,pltp_sokoria,1,geothermal,IPP,9.45657105241208e-15,9.24,-9.239999999999991,7.920394666127349e-15,4.7947844851469384e-14,7.060977126168003e-15,0,0,0,1
46,pltp_atadei,1,geothermal,PLN,4.048182431443861e-15,4.2,-4.199999999999996,3.390573851749368e-15,2.2893540261285282e-14,3.3713874861882918e-15,0,0,0,1
47,plts_dedieselisasi,1,solar,IPP,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
48,pltm_flores,1,hydropower,PLN,8.195474259616522e-15,2.1,-2.099999999999992,6.86415723548059e-15,1.6309543246300612e-14,2.4018037131203253e-15,0,0,0,1
49,pltm_sumba,1,hydropower,PLN,8.195474259616522e-15,2.1,-2.099999999999992,6.86415723548059e-15,1.6309543246300612e-14,2.4018037131203253e-15,0,0,0,1
50,pltp_ulumbu_5,1,geothermal,PLN,2.3017267749873082e-15,8.4,-8.399999999999999,1.9278218680376666e-15,1.581519132335426e-14,2.329003618955209e-15,0,0,0,1
51,pltp_mataloko_ftp2,1,geothermal,PLN,2.3017267749873082e-15,8.4,-8.399999999999999,1.9278218680376666e-15,1.581519132335426e-14,2.329003618955209e-15,0,0,0,1
52,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
53,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
54,plt_ebt_base_timor_2,1,gas,PLN,7.591063194700709e-14,21.0,-20.999999999999925,6.357929962595405e-14,2.1610379266239278e-13,3.182424448052217e-14,0,0,0,1
55,pltu_atambua,1,coal,PLN,9.746221158426842,24.0,-14.253778841573158,8.162992447290044,51.05344440141509,7.518319212201975,0,0,1,-1
56,pltp_ulumbu_6,1,geothermal,PLN,2.3017267749873082e-15,8.4,-8.399999999999999,1.9278218680376666e-15,1.581519132335426e-14,2.329003618955209e-15,0,0,0,1
57,pltp_oka_ile_ange_ftp2,1,geothermal,PLN,4.048182431443861e-15,4.2,-4.199999999999996,3.390573851749368e-15,2.2893540261285282e-14,3.3713874861882918e-15,0,0,0,1
58,plts_rote,1,solar,PLN,2.2190169347157664e-13,0.42,-0.4199999999997781,1.8585478601449355e-13,2.513423206583004e-13,3.701360055918875e-14,0,1,0,1
59,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
60,plts_sumba,1,solar,PLN,4.159033603512596e-14,2.1,-2.0999999999999583,3.483417761779867e-14,3.4862562908704227e-14,5.133990068177377e-15,0,1,0,1
