ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.005254417600013793,0.2773,-0.2720455823999862,0.005421902161031694
2,plts_bel1,1,1,solar,0.7755422299502849,0.0,0.7755422299502849,1.2264984610702672
3,batt_bel1,1,1,battery,0.31873318104341963,0.0,0.31873318104341963,0.5990061562598231
4,pltd_bel2,1,2,diesel,0.0160323745066809,0.846,-0.829967625493319,0.016543406444097533
5,plts_bel2,1,2,solar,2.353169520930769,0.0,2.353169520930769,3.742177979275291
6,batt_bel2,1,2,battery,0.972463641324977,0.0,0.972463641324977,1.8276287793174684
7,pltd_bel3,1,3,diesel,0.015956511253347044,0.842,-0.8260434887466529,0.016465125049562237
8,plts_bel3,1,3,solar,2.307906282252278,0.0,2.307906282252278,3.7244609446911863
9,batt_bel3,1,3,battery,0.9677506945835866,0.0,0.9677506945835866,1.8189713734534143
10,pltd_bel4,1,4,diesel,0.007373778026680698,0.3891,-0.3817262219733193,0.007608817201296572
11,plts_bel4,1,4,solar,1.07511623793427,0.0,1.07511623793427,1.721188032594735
12,batt_bel4,1,4,battery,0.44726602173160857,0.0,0.44726602173160857,0.840622146994135
13,pltd_bel5,1,5,diesel,0.008302225920014361,0.4381,-0.42979777407998565,0.008566859371230473
14,plts_bel5,1,5,solar,1.2154754778198418,0.0,1.2154754778198418,1.9378614316850364
15,batt_bel5,1,5,battery,0.5035527391441275,0.0,0.5035527391441275,0.9464052665778986
16,pltd_bel6,1,6,diesel,0.007298160960014473,0.3851,-0.37780183903998554,0.007530789840631634
17,plts_bel6,1,6,solar,1.0771401720028029,0.0,1.0771401720028029,1.703467354818542
18,batt_bel6,1,6,battery,0.442684116358873,0.0,0.442684116358873,0.8319522153107557
19,pltd_bel7,1,7,diesel,0.006795854080013807,0.3586,-0.35180414591998616,0.007012471928829669
20,plts_bel7,1,7,solar,0.9888516464909697,0.0,0.9888516464909697,1.586261219696806
21,batt_bel7,1,7,battery,0.4121938538219534,0.0,0.4121938538219534,0.7746708699766384
22,pltd_bel8,1,8,diesel,0.013434222186680618,0.7089,-0.6954657778133193,0.013862438018895792
23,plts_bel8,1,8,solar,1.9469738325517336,0.0,1.9469738325517336,3.1357379497369755
24,batt_bel8,1,8,battery,0.8147951425263545,0.0,0.8147951425263545,1.5314243533909375
25,pltd_bel9,1,9,diesel,0.01294956821334802,0.6833,-0.670350431786652,0.0133623357001652
26,plts_bel9,1,9,solar,1.9146836209558875,0.0,1.9146836209558875,3.0226368953181577
27,batt_bel9,1,9,battery,0.7854200708478024,0.0,0.7854200708478024,1.4762296632750573
28,pltd_bel10,1,10,diesel,0.007519945066681222,0.3968,-0.38928005493331874,0.007759643315698289
29,plts_bel10,1,10,solar,1.1098852419289271,0.0,1.1098852419289271,1.7552527726908418
30,batt_bel10,1,10,battery,0.4561417074719096,0.0,0.4561417074719096,0.8572433947383405
31,pltd_bel11,1,11,diesel,0.012511569706681153,0.6602,-0.6476884302933189,0.01291037599109794
32,plts_bel11,1,11,solar,1.8434985298848616,0.0,1.8434985298848616,2.920422702173533
33,batt_bel11,1,11,battery,0.758906473664371,0.0,0.758906473664371,1.426277431858583
34,pltd_bel12,1,12,diesel,0.005383024106680276,0.284,-0.2786169758933197,0.0055546080000975695
35,plts_bel12,1,12,solar,0.7902821996595026,0.0,0.7902821996595026,1.2564744641731627
36,batt_bel12,1,12,battery,0.3264648118363192,0.0,0.3264648118363192,0.6136325878371675
