Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,2.1368744689702844e-16,6.837018912597141e-13,1.0068447143468848e-16
1,2,2000.0,2.1368747091475067e-16,6.836276863892418e-13,1.0067354375077112e-16
1,3,2000.0,2.136874708618402e-16,6.834335742035257e-13,1.0064495807173805e-16
1,4,2000.0,2.1368745736764866e-16,6.835394376629285e-13,1.0066054791665509e-16
1,5,2000.0,2.1368746016665337e-16,6.835932093667764e-13,1.0066846653681582e-16
1,6,2000.0,2.1368745710269237e-16,6.837019031937211e-13,1.0068447319213453e-16
1,7,2000.0,2.1368745521689828e-16,6.835113625499244e-13,1.0065641347158564e-16
1,8,2000.0,2.136874687272457e-16,6.834593954946068e-13,1.006487606106479e-16
1,9,2000.0,2.1368746821348898e-16,6.837257105075156e-13,1.0068797914529381e-16
1,10,2000.0,2.136874578656534e-16,6.837019040902368e-13,1.0068447332415874e-16
1,11,2000.0,2.1368746771306087e-16,6.836786422927311e-13,1.0068104770574752e-16
1,12,2000.0,2.136874477678299e-16,6.83629866491601e-13,1.0067386480071485e-16
1,13,2000.0,2.1368745986978923e-16,6.789871831293115e-13,9.9990166062498e-17
1,14,2000.0,2.1368743367021658e-16,6.83701875825655e-13,1.006844691618118e-16
1,15,2000.0,2.1368744789263401e-16,6.790791769261547e-13,1.0000371340956377e-16
1,16,2000.0,2.1368746256903143e-16,6.832786692071948e-13,1.0062214618855103e-16
1,17,2000.0,2.1368745551457021e-16,6.790282442454333e-13,9.999621287445815e-17
1,18,2000.0,2.1368740018798102e-16,6.831554215048553e-13,1.0060399627566614e-16
1,19,2000.0,2.1368743295410758e-16,6.839730130251372e-13,1.0072439782950328e-16
1,20,2000.0,2.1368707033759486e-16,6.838244129978039e-13,1.0070251443939058e-16
1,21,2000.0,2.1368742023822514e-16,6.838147763942014e-13,1.0070109531747129e-16
1,22,2000.0,2.1368739172432392e-16,6.839546802201652e-13,1.0072169807277873e-16
1,23,2000.0,2.1368738850647825e-16,6.837018233709144e-13,1.0068446143713253e-16
1,24,2000.0,2.1368731469312938e-16,6.837255320039147e-13,1.0068795285819278e-16
1,25,2000.0,2.1368716670979078e-16,6.840928535815626e-13,1.0074204599346829e-16
1,26,2000.0,2.136874050133359e-16,6.838924347046115e-13,1.0071253156773783e-16
1,27,2000.0,2.136873970375861e-16,6.841940769469772e-13,1.0075695252096791e-16
1,28,2000.0,2.136873663628371e-16,6.839808639578021e-13,1.007255539869101e-16
