ID,Resource,Zone,Village,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh
1,pltd_bel1,1,1,diesel,0.01371213045333328,0.2773,-0.2635878695466667,0.034562282597999906
2,plts_bel1,1,1,solar,0.7567202939020413,0.0,0.7567202939020413,1.185342855314847
3,batt_bel1,1,1,battery,0.30476024690110476,0.0,0.30476024690110476,0.5676009772944915
4,pltd_bel2,1,2,diesel,0.041836697599999924,0.846,-0.8041633024,0.10545186938800094
5,plts_bel2,1,2,solar,2.2960655250757194,0.0,2.2960655250757194,3.61661366503056
6,batt_bel2,1,2,battery,0.9298326102053105,0.0,0.9298326102053105,1.7318114358650232
7,pltd_bel3,1,3,diesel,0.04163870101333325,0.842,-0.8003612989866667,0.10495262735200027
8,plts_bel3,1,3,solar,2.2519009523470443,0.0,2.2519009523470443,3.5994910589410245
9,batt_bel3,1,3,battery,0.9253242582651251,0.0,0.9253242582651251,1.7236075137526237
10,pltd_bel4,1,4,diesel,0.01924257802666671,0.3891,-0.36985742197333327,0.04850213688200024
11,plts_bel4,1,4,solar,1.0490261847780638,0.0,1.0490261847780638,1.6634346006419063
12,batt_bel4,1,4,battery,0.4276583737103057,0.0,0.4276583737103057,0.7965503188296774
13,pltd_bel5,1,5,diesel,0.021665159253333385,0.4381,-0.4164348407466666,0.05460833700299963
14,plts_bel5,1,5,solar,1.1859788529989719,0.0,1.1859788529989719,1.872837649403834
15,batt_bel5,1,5,battery,0.4814767139140832,0.0,0.4814767139140832,0.8967864208577561
16,pltd_bel6,1,6,diesel,0.01904449429333334,0.3851,-0.3660555057066667,0.0480028001650003
17,plts_bel6,1,6,solar,1.051001385715894,0.0,1.051001385715894,1.6463094420395166
18,batt_bel6,1,6,battery,0.4232779246395284,0.0,0.4232779246395284,0.788335077942103
19,pltd_bel7,1,7,diesel,0.01773430026666671,0.3586,-0.34086569973333325,0.044700579245999975
20,plts_bel7,1,7,solar,0.964854445682977,0.0,0.964854445682977,1.5330348441562838
21,batt_bel7,1,7,battery,0.3941231434142449,0.0,0.3941231434142449,0.7340549731360048
22,pltd_bel8,1,8,diesel,0.03505714528000008,0.7089,-0.6738428547199999,0.0883629802319996
23,plts_bel8,1,8,solar,1.8997263967066829,0.0,1.8997263967066829,3.030521827147623
24,batt_bel8,1,8,battery,0.7790751964042498,0.0,0.7790751964042498,1.451135110899212
25,pltd_bel9,1,9,diesel,0.03379236821333334,0.6833,-0.6495076317866667,0.08517610778099932
26,plts_bel9,1,9,solar,1.8682190812530999,0.0,1.8682190812530999,2.921214102178527
27,batt_bel9,1,9,battery,0.7509871342643412,0.0,0.7509871342643412,1.398834214171457
28,pltd_bel10,1,10,diesel,0.01962334506666667,0.3968,-0.3771766549333333,0.04946178305599973
29,plts_bel10,1,10,solar,1.082952496963678,0.0,1.082952496963678,1.6963579696006135
30,batt_bel10,1,10,battery,0.4361460309430847,0.0,0.4361460309430847,0.8123006815270519
31,pltd_bel11,1,11,diesel,0.03264974922666667,0.6602,-0.6275502507733334,0.08229566721099997
32,plts_bel11,1,11,solar,1.7987619375477077,0.0,1.7987619375477077,2.822430453222838
33,batt_bel11,1,11,battery,0.7256369909721887,0.0,0.7256369909721887,1.3515007294935075
34,pltd_bel12,1,12,diesel,0.01404705482666666,0.284,-0.2699529451733333,0.03540640824299975
35,plts_bel12,1,12,solar,0.7711048430381842,0.0,0.7711048430381842,1.2143153502188846
36,batt_bel12,1,12,battery,0.3121529171054418,0.0,0.3121529171054418,0.5814611040568691
37,pltd_bel13,1,13,diesel,0.015861079573333266,0.2672,-0.2513389204266667,0.03214177195799996
38,plts_bel13,1,13,solar,1.0773768456859183,0.0,1.0773768456859183,1.8064132208286732
39,batt_bel13,1,13,battery,0.4755391922805273,0.0,0.4755391922805273,0.8234926243466687
40,pltd_bel14,1,14,diesel,0.010161869226666705,0.2055,-0.19533813077333329,0.025613735789000083
41,plts_bel14,1,14,solar,0.5608147619333692,0.0,0.5608147619333692,0.8784716629323737
42,batt_bel14,1,14,battery,0.225861864826548,0.0,0.225861864826548,0.42065638462090027
43,pltd_bel15,1,15,diesel,0.0103841109333333,0.1749,-0.1645158890666667,0.021042964669999855
44,plts_bel15,1,15,solar,0.7113240765829182,0.0,0.7113240765829182,1.1826411975546607
45,batt_bel15,1,15,battery,0.31132981739833393,0.0,0.31132981739833393,0.5391485363017703
46,pltd_bel16,1,16,diesel,0.02427012618666663,0.4908,-0.4665298738133334,0.06117446026499989
47,plts_bel16,1,16,solar,1.2969998586487193,0.0,1.2969998586487193,2.0980592713330535
48,batt_bel16,1,16,battery,0.5393574131396379,0.0,0.5393574131396379,1.0046647065533758
49,pltd_bel17,1,17,diesel,0.013262572266666627,0.2234,-0.21013742773333335,0.026876573519999832
50,plts_bel17,1,17,solar,0.9041978500018321,0.0,0.9041978500018321,1.5104595944528463
51,batt_bel17,1,17,battery,0.3976809526162161,0.0,0.3976809526162161,0.6886211341875984
52,pltd_bel18,1,18,diesel,0.006414303786666647,0.1297,-0.12328569621333337,0.016167312263000087
53,plts_bel18,1,18,solar,0.33951607455453137,0.0,0.33951607455453137,0.5544763347546593
54,batt_bel18,1,18,battery,0.14254377265363127,0.0,0.14254377265363127,0.26550520410642203
55,pltd_bel19,1,19,diesel,0.010040080426666643,0.203,-0.19295991957333336,0.025306749399999974
56,plts_bel19,1,19,solar,0.5653231539092907,0.0,0.5653231539092907,0.86793235289161
57,batt_bel19,1,19,battery,0.22311146335989837,0.0,0.22311146335989837,0.41559644008214625
58,pltd_bel20,1,20,diesel,0.0021939373866666644,0.0444,-0.04220606261333334,0.0055299876880000225
59,plts_bel20,1,20,solar,0.12218138242820355,0.0,0.12218138242820355,0.18965571881166912
60,batt_bel20,1,20,battery,0.04876036121791162,0.0,0.04876036121791162,0.09081880747603674
61,pltd_bel21,1,21,diesel,0.008227110080000046,0.1664,-0.15817288991999995,0.02073738360400013
62,plts_bel21,1,21,solar,0.45785882301628916,0.0,0.45785882301628916,0.7112056752322609
