ID,Resource,Zone,technology,owner,Total_MW,Start_MW,Change_in_MW,Percent_MW,GWh,Percent_GWh,STOR,VRE,THERM,New_Build
1,pln_timor_diesel,1,diesel,pln,5.427677000895889,122.131,-116.70332299910412,4.373596506793571,0.928990993320701,0.13619023048721315,0,0,1,0
2,pltd_kefamenanu,1,diesel,,1.28214626415879e-12,4.2,-4.199999999998718,1.03314740748164e-12,1.7086159154377018e-12,2.5048337067919343e-13,0,0,0,1
3,pltu_kupang_ftp1,1,coal,,12.434069580110993,33.0,-20.565930419889007,10.01931457450866,69.72861294867381,10.222225982071802,0,0,1,-1
4,pltmg_kupang_peaker,1,gas,,3.912268729464041e-12,16.8,-16.79999999999609,3.1524876749293244e-12,1.2754004712072282e-11,1.8697391620162884e-12,0,0,0,1
5,pltd_labuhan_bajo,1,diesel,,1.28214626415879e-12,4.2,-4.199999999998718,1.03314740748164e-12,1.7086159154377018e-12,2.5048337067919343e-13,0,0,0,1
6,mpp_flores_labuan_bajo,1,gas,,7.520457780824108e-12,8.4,-8.39999999999248,6.059949380604594e-12,2.6911539790451054e-11,3.945236103663812e-12,0,0,0,1
7,pltd_ruteng,1,diesel,,1.28214626415879e-12,4.2,-4.199999999998718,1.03314740748164e-12,1.7086159154377018e-12,2.5048337067919343e-13,0,0,0,1
8,pltp_ulumbu_adb,1,geothermal,,1.5711281754172675e-13,2.1,-2.099999999999843,1.266007667478318e-13,8.977422287088217e-13,1.3160915652037078e-13,0,0,0,1
9,pltd_bajawa,1,diesel,,1.28214626415879e-12,4.2,-4.199999999998718,1.03314740748164e-12,1.7086159154377018e-12,2.5048337067919343e-13,0,0,0,1
10,pltmg_maumere,1,gas,,3.912268729464041e-12,16.8,-16.79999999999609,3.1524876749293244e-12,1.2754004712072282e-11,1.8697391620162884e-12,0,0,0,1
11,pltmg_alor,1,gas,PLN,2.5625447944155333e-12,4.2,-4.199999999997438,2.0648864992349243e-12,8.755326492835812e-12,1.2835322856983637e-12,0,0,0,1
12,plts_lisdes_ntt,1,solar,PLN,2.2775730717784117e-11,0.9954,-0.9953999999772242,1.8352576302998456e-11,1.9060250628509894e-11,2.794235837488575e-12,0,1,0,1
13,pltp_sokoria,1,geothermal,IPP,1.5711281754172675e-13,2.1,-2.099999999999843,1.266007667478318e-13,8.977422287088217e-13,1.3160915652037078e-13,0,0,0,1
14,pltbm_sumba_kuota_tersebar,1,biomass,IPP,3.52046169993514e-12,0.42,-0.4199999999964795,2.8367714200007573e-12,1.8662217661733682e-11,2.735884139919373e-12,0,0,0,1
15,pltm_sumba_kuota_tersebar,1,hydropower,IPP,9.127026941117401e-13,0.672,-0.6719999999990873,7.354515226402206e-13,1.85210527759827e-12,2.715189344743366e-13,0,0,0,1
16,pltmg_waingapu,1,gas,PLN,2.5625447944155333e-12,4.2,-4.199999999997438,2.0648864992349243e-12,8.755326492835812e-12,1.2835322856983637e-12,0,0,0,1
17,plts_adonara,1,solar,PLN,1.1702940722891374e-11,0.42,-0.41999999998829707,9.430174392544278e-12,9.182737382335192e-12,1.3461907915097013e-12,0,1,0,1
18,plts_adonara,1,solar,PLN,2.2653027226006775e-11,1.68,-1.679999999977347,1.825370240852755e-11,1.9036071649499997e-11,2.7906911952391026e-12,0,1,0,1
19,plts_alor_kalabahi,1,solar,PLN,1.1734325074147388e-11,0.504,-0.5039999999882657,9.45546375464129e-12,9.15926908073013e-12,1.342750334683191e-12,0,1,0,1
20,plts_betun,1,solar,IPP,1.1665826571078649e-11,0.252,-0.25199999998833417,9.400267984205323e-12,9.06108963202374e-12,1.3283572115586753e-12,0,1,0,1
21,pltmg_waingapu_2,1,gas,PLN,2.5625447944155333e-12,4.2,-4.199999999997438,2.0648864992349243e-12,8.755326492835812e-12,1.2835322856983637e-12,0,0,0,1
22,plts_flores,1,solar,PLN,2.2362999629073848e-11,12.6,-12.599999999977637,1.8019999539950403e-11,1.915927932058871e-11,2.808753459829403e-12,0,1,0,1
23,plts_lembata,1,solar,PLN,1.163374427683355e-11,1.26,-1.2599999999883662,9.374416222942241e-12,9.113801915242454e-12,1.3360848408389152e-12,0,1,0,1
24,pltb_maubesi,1,wind,PLN,1.2245002833118716e-11,0.84,-0.839999999987755,9.866965482243266e-12,1.917412227203912e-12,2.810929438922501e-13,0,1,0,1
25,plts_reep_1_tersebar,1,solar,PLN,2.26124098195317e-11,1.8312,-1.8311999999773876,1.822097309411826e-11,1.9042796849453634e-11,2.7916771106444655e-12,0,1,0,1
26,plts_rote,1,solar,PLN,1.1734325074147388e-11,0.504,-0.5039999999882657,9.45546375464129e-12,9.15926908073013e-12,1.342750334683191e-12,0,1,0,1
27,plts_rote,1,solar,PLN,2.2764151301568602e-11,0.84,-0.8399999999772358,1.834324566407088e-11,1.909686412242803e-11,2.7996033816429363e-12,0,1,0,1
28,plts_sabu_raijua,1,solar,PLN,1.1665826571078649e-11,0.252,-0.25199999998833417,9.400267984205323e-12,9.06108963202374e-12,1.3283572115586753e-12,0,1,0,1
29,pltp_sokoria,1,geothermal,IPP,5.889271409733116e-13,1.26,-1.2599999999994111,4.745547102548018e-13,2.9334781533725417e-12,4.300483736757757e-13,0,0,0,1
30,pltm_sumba_kuota_tersebar,1,hydropower,IPP,9.138653804189177e-13,0.84,-0.8399999999990861,7.363884097782595e-13,1.8471239842355295e-12,2.707886760584061e-13,0,0,0,1
