Segment,Zone,NSE_Price,Max_NSE_MW,Total_NSE_MWh,NSE_Percent_of_Demand
1,1,2000.0,4.557056638023589e-15,3.332091792338228e-11,4.884851978822541e-15
1,2,2000.0,4.5570809422044624e-15,3.331611223593559e-11,4.884147464262421e-15
1,3,2000.0,4.557081044026337e-15,3.330250437187614e-11,4.882152549181415e-15
1,4,2000.0,4.557059518942959e-15,3.330968929086266e-11,4.8832058594716556e-15
1,5,2000.0,4.5570665273582795e-15,3.331350855125786e-11,4.883765763665833e-15
1,6,2000.0,4.557058988837922e-15,3.3321092554181075e-11,4.8848775797260044e-15
1,7,2000.0,4.557054516181675e-15,3.330768541263439e-11,4.882912090597965e-15
1,8,2000.0,4.557082526564922e-15,3.3304275087528275e-11,4.8824121363835784e-15
1,9,2000.0,4.557082908603872e-15,3.332295743756856e-11,4.885150971933463e-15
1,10,2000.0,4.557061404395294e-15,3.332109791065621e-11,4.8848783649861296e-15
1,11,2000.0,4.55708342853692e-15,3.331963745368482e-11,4.884664261756948e-15
1,12,2000.0,4.557056666238506e-15,3.3315872034856185e-11,4.884112250745173e-15
1,13,2000.0,4.557054457538437e-15,3.28624976359015e-11,4.817647490231262e-15
1,14,2000.0,4.557049755572972e-15,3.332070690397003e-11,4.884821043342437e-15
1,15,2000.0,4.557041779582113e-15,3.286953580085918e-11,4.8186792863570425e-15
1,16,2000.0,4.5570723076160246e-15,3.329154298496171e-11,4.880545608079651e-15
1,17,2000.0,4.557051439755361e-15,3.286565022427544e-11,4.818109660198856e-15
1,18,2000.0,4.557028428714411e-15,3.328206768829853e-11,4.879156528050058e-15
1,19,2000.0,4.5570490993786296e-15,3.333982337156332e-11,4.887623520596091e-15
1,20,2000.0,4.5568943486771755e-15,3.3327650629403257e-11,4.885838994618595e-15
1,21,2000.0,4.557040481064506e-15,3.3328480486687835e-11,4.8859606518312815e-15
1,22,2000.0,4.5570215575491746e-15,3.3338024733735526e-11,4.887359839998441e-15
1,23,2000.0,4.5570193202976926e-15,3.3320155909154696e-11,4.884740267413028e-15
1,24,2000.0,4.5569682887635046e-15,3.332120805448895e-11,4.8848945120898964e-15
1,25,2000.0,4.556915406200347e-15,3.334675394652405e-11,4.888639544010847e-15
1,26,2000.0,4.557032147218623e-15,3.3333794216289806e-11,4.8867396454538706e-15
1,27,2000.0,4.557025796895101e-15,3.3355051885204374e-11,4.889856023168952e-15
1,28,2000.0,4.5570006046286055e-15,3.333961341533823e-11,4.8875927409793966e-15
1,29,2000.0,4.556967436430523e-15,3.3326413897447835e-11,4.885657689513088e-15
1,30,2000.0,4.55692225118459e-15,3.339793473822879e-11,4.896142656386426e-15
1,31,2000.0,4.557010545804054e-15,3.3372227680033385e-11,4.892373997480201e-15
1,32,2000.0,4.557037301297817e-15,3.3352412930115145e-11,4.889469151924309e-15
1,33,2000.0,4.55699979987103e-15,3.334901000041517e-11,4.8889702818776635e-15
1,34,2000.0,4.556979598614239e-15,3.333305649528108e-11,4.886631495434187e-15
1,35,2000.0,4.556981168072523e-15,3.3337783026197945e-11,4.8873244056341786e-15
1,36,2000.0,4.5568942556706515e-15,3.334410224186447e-11,4.888250803677121e-15
1,37,2000.0,4.55698433815407e-15,3.3346271983755724e-11,4.88856888819074e-15
1,38,2000.0,4.55703828529595e-15,3.3350383972733e-11,4.889171706442588e-15
1,39,2000.0,4.556974991876579e-15,3.331960553697963e-11,4.8846595827627834e-15
1,40,2000.0,4.556962520833093e-15,3.335079798310434e-11,4.889232400430261e-15
1,41,2000.0,4.5569710512004595e-15,3.3335635694546627e-11,4.887009606465373e-15
1,42,2000.0,4.5569841245959685e-15,3.331971361785681e-11,4.8846754274369305e-15
1,43,2000.0,4.557031313862176e-15,3.332925966055098e-11,4.886074878846155e-15
1,44,2000.0,4.557014915202674e-15,3.333336565071758e-11,4.886676817671383e-15
1,45,2000.0,4.556987978720491e-15,3.333853979192053e-11,4.887435347612007e-15
1,46,2000.0,4.557015814422216e-15,3.332485653546912e-11,4.885429379994095e-15
1,47,2000.0,2.2785341008021513e-15,1.6660347433690463e-11,2.442409639388259e-15
1,48,2000.0,4.5570159103681495e-15,3.332212181319912e-11,4.8850284692652e-15
1,49,2000.0,4.557048493451261e-15,3.32936070414283e-11,4.880848199092852e-15
1,50,2000.0,4.557054219889205e-15,3.3291092892366044e-11,4.880479624432032e-15
1,51,2000.0,4.5570352674521375e-15,3.331771002878144e-11,4.884381700953102e-15
1,52,2000.0,4.55703974588426e-15,3.32981684745386e-11,4.88151690592759e-15
1,53,2000.0,4.557032284400146e-15,3.331005190186971e-11,4.8832590183041776e-15
1,54,2000.0,4.557026373166903e-15,3.329373920688423e-11,4.880867574570155e-15
1,55,2000.0,4.5570497100345184e-15,3.331222410334673e-11,4.883577463393469e-15
1,56,2000.0,4.5570391679227554e-15,3.333245634751382e-11,4.886543513674043e-15
1,57,2000.0,4.557043045630306e-15,3.333396292094818e-11,4.886764377584186e-15
